Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,121,151,190,138,211,200,245,206,233,245,266,,,
Quarterly Results,Expenses,78,109,143,106,154,153,178,156,165,174,205,,,
Quarterly Results,Operating Profit,43,43,48,32,57,47,68,50,69,71,61,,,
Quarterly Results,OPM %,36%,28%,25%,23%,27%,23%,28%,24%,29%,29%,23%,,,
Quarterly Results,Other Income,2,1,2,1,8,6,1,2,2,3,6,,,
Quarterly Results,Interest,1,1,1,2,2,1,2,1,1,1,2,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,3,2,2,3,3,,,
Quarterly Results,Profit before tax,43,42,48,31,62,51,64,49,67,70,63,,,
Quarterly Results,Tax %,31%,28%,25%,25%,26%,26%,26%,25%,26%,27%,25%,,,
Quarterly Results,Net Profit,30,30,36,23,45,37,47,37,50,51,47,,,
Quarterly Results,EPS in Rs,,,,,8.15,6.72,8.53,6.68,8.94,9.09,8.39,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,538,,,,793,,,,966,326,331,360
Profit & Loss,Expenses,,,388,,,,589,,,,715,230,232,247
Profit & Loss,Operating Profit,,,150,,,,204,,,,251,96,99,113
Profit & Loss,OPM %,,,28%,,,,26%,,,,26%,30%,30%,31%
Profit & Loss,Other Income,,,5,,,,16,,,,16,7,5,3
Profit & Loss,Interest,,,4,,,,6,,,,8,3,4,6
Profit & Loss,Depreciation,,,3,,,,7,,,,10,2,2,3
Profit & Loss,Profit before tax,,,148,,,,207,,,,249,98,98,107
Profit & Loss,Tax %,,,26%,,,,26%,,,,26%,26%,27%,27%
Profit & Loss,Net Profit,,,109,,,,153,,,,184,72,72,79
Profit & Loss,EPS in Rs,,,,,,,27.44,,,,33.05,,,
Profit & Loss,Dividend Payout %,,,0%,,,,7%,,,,5%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,47,,,,56,,,,56,12,12,12
Balance Sheet,Reserves,,,444,,,,743,,,,920,218,290,368
Balance Sheet,Borrowings,,,45,,,,71,,,,86,16,4,4
Balance Sheet,Other Liabilities,,,103,,,,101,,,,104,62,73,119
Balance Sheet,Total Liabilities,,,639,,,,970,,,,1165,308,378,503
Balance Sheet,Fixed Assets,,,54,,,,94,,,,96,31,36,51
Balance Sheet,CWIP,,,4,,,,0,,,,0,0,3,0
Balance Sheet,Investments,,,2,,,,10,,,,18,0,0,1
Balance Sheet,Other Assets,,,579,,,,866,,,,1052,276,340,451
Balance Sheet,Total Assets,,,639,,,,970,,,,1165,308,378,503
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,4,,,,-116,,,,34,47,36,23
Cash Flows,Cash from Investing Activity,,,-21,,,,-70,,,,19,-27,-8,-15
Cash Flows,Cash from Financing Activity,,,38,,,,176,,,,1,-6,-11,3
Cash Flows,Net Cash Flow,,,21,,,,-9,,,,54,15,16,11
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,84,,,,112,,,,142,44,103,160
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,84,,,,112,,,,142,44,103,160
Ratios,Working Capital Days,,,137,,,,156,,,,189,127,184,219
Ratios,ROCE %,,,33%,,,,29%,,,,27%,,37%,33%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,7.23%,4.09%,2.78%,0.88%,0.75%,0.66%,0.19%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,1.78%,1.45%,1.43%,1.58%,1.08%,0.40%,0.61%,,,
Shareholding Pattern (Quarterly),Public,,,,,21.28%,24.75%,26.08%,27.84%,28.46%,29.24%,29.51%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,46765,38767,43841,58971,94855,114561,128071,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,69.70%,,,,69.70%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,2.78%,,,,0.19%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,1.43%,,,,0.61%,,,
Shareholding Pattern (Yearly),Public,,,,,,,26.08%,,,,29.51%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,43841,,,,128071,,,
,,,,,,,,,,,,,,,
