Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2021,Mar 2021
Quarterly Results,Sales,0.37,0.07,13.44,38.05,10.71,16.25,18.34,16.35,21.08,8.74,2.24,3.18,21.47,,
Quarterly Results,Expenses,1.47,1.17,4.03,17.70,9.82,8.36,7.22,7.24,10.65,3.47,1.57,3.45,12.96,,
Quarterly Results,Operating Profit,-1.10,-1.10,9.41,20.35,0.89,7.89,11.12,9.11,10.43,5.27,0.67,-0.27,8.51,,
Quarterly Results,OPM %,-297.30%,-1571.43%,70.01%,53.48%,8.31%,48.55%,60.63%,55.72%,49.48%,60.30%,29.91%,-8.49%,39.64%,,
Quarterly Results,Other Income,0.04,0.01,0.04,0.07,0.07,0.01,0.37,0.18,0.04,0.35,0.22,0.68,0.44,,
Quarterly Results,Interest,1.32,0.59,0.75,0.43,0.32,0.42,0.32,0.10,0.29,0.03,0.03,0.06,0.02,,
Quarterly Results,Depreciation,0.06,0.02,0.08,0.05,0.04,0.06,0.24,0.19,-0.12,0.09,0.11,0.12,0.13,,
Quarterly Results,Profit before tax,-2.44,-1.70,8.62,19.94,0.60,7.42,10.93,9.00,10.30,5.50,0.75,0.23,8.80,,
Quarterly Results,Tax %,57.79%,0.00%,31.67%,9.73%,268.33%,-0.94%,25.16%,27.44%,45.73%,25.82%,70.67%,21.74%,25.80%,,
Quarterly Results,Net Profit,-3.85,-1.70,5.89,18.00,-1.02,7.48,8.19,6.54,5.59,4.09,0.22,0.19,6.53,,
Quarterly Results,EPS in Rs,-0.22,-0.10,0.34,1.04,-0.06,0.43,0.47,0.38,0.32,0.24,0.01,0.01,0.38,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1,,,,62,,,,72,,,,36,,
Profit & Loss,Expenses,5,,,,33,,,,33,,,,21,,
Profit & Loss,Operating Profit,-4,,,,30,,,,39,,,,14,,
Profit & Loss,OPM %,-482%,,,,47%,,,,54%,,,,40%,,
Profit & Loss,Other Income,1,,,,0,,,,1,,,,2,,
Profit & Loss,Interest,4,,,,2,,,,1,,,,0,,
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,,
Profit & Loss,Profit before tax,-7,,,,27,,,,38,,,,15,,
Profit & Loss,Tax %,55%,,,,23%,,,,26%,,,,28%,,
Profit & Loss,Net Profit,-11,,,,21,,,,28,,,,11,,
Profit & Loss,EPS in Rs,-0.62,,,,1.22,,,,1.60,,,,0.64,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,17,,,,17,,,,17,,,,17,,
Balance Sheet,Reserves,-27,,,,-6,,,,41,,,,51,,
Balance Sheet,Borrowings,44,,,,32,,,,38,,,,73,,
Balance Sheet,Other Liabilities,78,,,,79,,,,32,,,,44,,
Balance Sheet,Total Liabilities,112,,,,122,,,,127,,,,185,,
Balance Sheet,Fixed Assets,1,,,,1,,,,1,,,,21,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,6,,
Balance Sheet,Investments,26,,,,1,,,,2,,,,11,,
Balance Sheet,Other Assets,85,,,,120,,,,124,,,,147,,
Balance Sheet,Total Assets,112,,,,122,,,,127,,,,185,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-15,,,,-10,,,,0,,,,-5,,
Cash Flows,Cash from Investing Activity,-0,,,,25,,,,-2,,,,-35,,
Cash Flows,Cash from Financing Activity,15,,,,-14,,,,6,,,,35,,
Cash Flows,Net Cash Flow,-0,,,,0,,,,5,,,,-4,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,370,,,,4,,,,35,,,,43,,
Ratios,Inventory Days,,,,,1593,,,,1363,,,,2948,,
Ratios,Days Payable,,,,,123,,,,121,,,,286,,
Ratios,Cash Conversion Cycle,370,,,,1474,,,,1276,,,,2706,,
Ratios,Working Capital Days,-1811,,,,178,,,,430,,,,1138,,
Ratios,ROCE %,,,,,76%,,,,55%,,,,13%,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.34%,,74.74%,,74.78%,74.78%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.53%,
Shareholding Pattern (Quarterly),FIIs,0.00%,,0.00%,,0.00%,0.03%,0.15%,0.01%,0.00%,0.11%,0.03%,0.30%,0.05%,0.00%,
Shareholding Pattern (Quarterly),Public,25.66%,,25.26%,,25.22%,25.18%,26.45%,26.60%,26.60%,26.50%,26.57%,26.29%,26.56%,26.47%,
Shareholding Pattern (Quarterly),No. of Shareholders,172,,183,,698,807,1248,2114,3107,9415,9054,9884,11296,116,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.34%,,,,74.78%,,,,73.39%,,,,73.39%,,73.42%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.05%,,0.00%
Shareholding Pattern (Yearly),Public,25.66%,,,,25.22%,,,,26.60%,,,,26.56%,,26.58%
Shareholding Pattern (Yearly),No. of Shareholders,172,,,,698,,,,3107,,,,11296,,113
,,,,,,,,,,,,,,,,
