Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,0.91,5.81,6.46,5.63,4.54,5.92,4.14,7.08,7.71,6.56,7.07,7.68,10.40,,,,,,,,,
Quarterly Results,Expenses,1.62,3.36,3.54,3.86,6.26,5.06,4.93,4.68,5.50,5.93,6.24,6.73,14.45,,,,,,,,,
Quarterly Results,Operating Profit,-0.71,2.45,2.92,1.77,-1.72,0.86,-0.79,2.40,2.21,0.63,0.83,0.95,-4.05,,,,,,,,,
Quarterly Results,OPM %,-78.02%,42.17%,45.20%,31.44%,-37.89%,14.53%,-19.08%,33.90%,28.66%,9.60%,11.74%,12.37%,-38.94%,,,,,,,,,
Quarterly Results,Other Income,0.01,0.04,0.08,0.07,0.08,0.05,0.01,0.01,0.90,0.36,0.13,0.49,4.76,,,,,,,,,
Quarterly Results,Interest,0.07,0.04,0.04,0.04,0.17,0.03,0.06,0.03,0.12,0.09,0.02,0.23,0.31,,,,,,,,,
Quarterly Results,Depreciation,0.37,0.29,0.31,0.31,0.59,0.40,0.39,0.40,0.40,0.36,0.43,0.49,0.51,,,,,,,,,
Quarterly Results,Profit before tax,-1.14,2.16,2.65,1.49,-2.40,0.48,-1.23,1.98,2.59,0.54,0.51,0.72,-0.11,,,,,,,,,
Quarterly Results,Tax %,-0.88%,0.00%,9.43%,26.17%,-22.50%,10.42%,-41.46%,20.71%,29.34%,11.11%,11.76%,25.00%,618.18%,,,,,,,,,
Quarterly Results,Net Profit,-1.13,2.16,2.39,1.09,-1.86,0.43,-0.72,1.57,1.83,0.49,0.45,0.54,-0.79,,,,,,,,,
Quarterly Results,EPS in Rs,-0.25,0.47,0.52,0.21,-0.37,0.08,-0.13,0.29,0.34,0.20,0.18,0.22,-0.15,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6.37,,,,22.45,,,,24.86,,,,31.71,0.04,19.10,18.23,52.95,37.95,15.71,8.02,6.18,
Profit & Loss,Expenses,4.49,,,,16.93,,,,20.11,,,,33.36,0.09,16.83,16.31,33.51,26.21,16.26,7.33,4.33,
Profit & Loss,Operating Profit,1.88,,,,5.52,,,,4.75,,,,-1.65,-0.05,2.27,1.92,19.44,11.74,-0.55,0.69,1.85,
Profit & Loss,OPM %,29.51%,,,,24.59%,,,,19.11%,,,,-5.20%,-125.00%,11.88%,10.53%,36.71%,30.94%,-3.50%,8.60%,29.94%,
Profit & Loss,Other Income,-0.01,,,,0.27,,,,0.98,,,,5.91,0.00,-0.43,0.60,0.08,0.10,0.18,-31.33,-0.53,
Profit & Loss,Interest,0.18,,,,0.39,,,,0.32,,,,0.81,0.00,0.09,0.18,0.35,0.20,0.18,0.25,0.20,
Profit & Loss,Depreciation,1.08,,,,1.51,,,,1.60,,,,1.78,0.10,1.18,0.36,0.21,0.42,0.54,0.33,1.09,
Profit & Loss,Profit before tax,0.61,,,,3.89,,,,3.81,,,,1.67,-0.15,0.57,1.98,18.96,11.22,-1.09,-31.22,0.03,
Profit & Loss,Tax %,-1.64%,,,,2.57%,,,,21.26%,,,,58.08%,0.00%,75.44%,-0.51%,17.72%,6.68%,-5.50%,-0.10%,100.00%,
Profit & Loss,Net Profit,0.62,,,,3.78,,,,3.00,,,,0.69,-0.15,0.13,1.99,15.60,10.48,-1.03,-31.19,0.00,
Profit & Loss,EPS in Rs,0.14,,,,0.75,,,,0.55,,,,0.13,-0.03,0.03,0.46,3.45,2.31,-0.23,-6.82,0.00,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
