Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,304,336,379,382,372,404,445,458,501,509,,,
Quarterly Results,Expenses,255,275,317,317,302,328,359,372,413,420,,,
Quarterly Results,Operating Profit,49,62,62,65,69,76,86,86,88,88,,,
Quarterly Results,OPM %,16%,18%,16%,17%,19%,19%,19%,19%,18%,17%,,,
Quarterly Results,Other Income,1,1,1,1,2,6,6,6,6,5,,,
Quarterly Results,Interest,3,3,4,4,5,4,4,4,4,4,,,
Quarterly Results,Depreciation,10,11,11,12,14,14,15,16,18,21,,,
Quarterly Results,Profit before tax,36,49,49,50,52,63,73,72,73,69,,,
Quarterly Results,Tax %,25%,26%,25%,25%,26%,25%,26%,26%,26%,25%,,,
Quarterly Results,Net Profit,27,36,36,38,39,47,54,54,54,51,,,
Quarterly Results,EPS in Rs,685.10,912.21,929.13,6.40,6.15,7.44,8.54,8.46,8.36,7.98,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,1212,,,,1537,,,,1913,654,405,684
Profit & Loss,Expenses,,1025,,,,1264,,,,1564,578,380,614
Profit & Loss,Operating Profit,,187,,,,273,,,,348,76,25,70
Profit & Loss,OPM %,,15%,,,,18%,,,,18%,12%,6%,10%
Profit & Loss,Other Income,,5,,,,10,,,,23,1,5,3
Profit & Loss,Interest,,12,,,,17,,,,15,4,7,10
Profit & Loss,Depreciation,,41,,,,51,,,,69,25,28,38
Profit & Loss,Profit before tax,,139,,,,214,,,,287,48,-5,24
Profit & Loss,Tax %,,26%,,,,26%,,,,26%,21%,-17%,29%
Profit & Loss,Net Profit,,103,,,,160,,,,214,38,-4,17
Profit & Loss,EPS in Rs,,2572.08,,,,25.23,,,,33.34,967.52,-184.16,385.50
Profit & Loss,Dividend Payout %,,10%,,,,10%,,,,9%,0%,0%,39%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,0.37,,,,61,,,,61,0.37,0.37,0.37
Balance Sheet,Reserves,,337,,,,754,,,,942,240,234,247
Balance Sheet,Borrowings,,140,,,,172,,,,212,58,97,123
Balance Sheet,Other Liabilities,,163,,,,204,,,,305,101,71,127
Balance Sheet,Total Liabilities,,640,,,,1190,,,,1520,400,402,497
Balance Sheet,Fixed Assets,,320,,,,498,,,,690,196,191,227
Balance Sheet,CWIP,,7,,,,25,,,,60,1,3,4
Balance Sheet,Investments,,2,,,,1,,,,1,0,0,0
Balance Sheet,Other Assets,,311,,,,665,,,,767,203,208,267
Balance Sheet,Total Assets,,640,,,,1190,,,,1520,400,402,497
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,173,,,,183,,,,183,37,8,51
Cash Flows,Cash from Investing Activity,,-136,,,,-458,,,,-140,-55,-16,-34
Cash Flows,Cash from Financing Activity,,-12,,,,297,,,,-40,17,32,-31
Cash Flows,Net Cash Flow,,25,,,,22,,,,4,-1,24,-13
,,,,,,,,,,,,,,
Ratios,Debtor Days,,11,,,,15,,,,26,20,38,26
Ratios,Inventory Days,,88,,,,92,,,,99,120,179,134
Ratios,Days Payable,,42,,,,37,,,,37,62,49,69
Ratios,Cash Conversion Cycle,,57,,,,70,,,,88,78,168,92
Ratios,Working Capital Days,,31,,,,36,,,,51,51,92,64
Ratios,ROCE %,,34%,,,,31%,,,,26%,,-0%,10%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.95%,74.95%,74.95%,74.95%,70.38%,70.38%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,6.13%,5.86%,6.55%,7.59%,9.96%,9.90%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,15.14%,16.63%,15.11%,14.10%,15.71%,15.82%,,,
Shareholding Pattern (Quarterly),Public,,,,,3.77%,2.55%,3.38%,3.36%,3.95%,3.90%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,51954,34841,37585,49974,61888,61774,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,74.95%,,,,70.38%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,5.86%,,,,9.90%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,16.63%,,,,15.82%,,,
Shareholding Pattern (Yearly),Public,,,,,,2.55%,,,,3.90%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,34841,,,,61774,,,
,,,,,,,,,,,,,,
