Section,,Mar 201210m,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2012,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0,17,137,652,1400,1491,528,,,,,,,,,,,,
Profit & Loss,Expenses,0,17,136,628,1344,1448,462,,,,,,,,,,,,
Profit & Loss,Operating Profit,-0,0,1,24,56,43,66,,,,,,,,,,,,
Profit & Loss,OPM %,-667%,1%,0%,4%,4%,3%,13%,,,,,,,,,,,,
Profit & Loss,Other Income,0,0,0,-1,2,0,2,,,,,,,,,,,,
Profit & Loss,Interest,0,0,0,1,24,5,3,,,,,,,,,,,,
Profit & Loss,Depreciation,0,0,0,2,4,3,2,,,,,,,,,,,,
Profit & Loss,Profit before tax,0,0,1,20,31,36,64,,,,,,,,,,,,
Profit & Loss,Tax %,,31%,31%,34%,35%,38%,39%,,,,,,,,,,,,
Profit & Loss,Net Profit,0,0,0,13,20,22,39,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,5.64,1.63,1.79,3.15,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,0.01,0.01,2,11,22,22,0.01,,,,,,,,,,,
Balance Sheet,Reserves,,0,0,15,35,47,89,0,,,,,,,,,,,
Balance Sheet,Borrowings,,0,0,1,3,5,3,0,,,,,,,,,,,
Balance Sheet,Other Liabilities,,19,61,274,681,552,396,0,,,,,,,,,,,
Balance Sheet,Total Liabilities,,19,61,292,731,626,510,0,,,,,,,,,,,
Balance Sheet,Fixed Assets,,0,3,13,12,13,11,0,,,,,,,,,,,
Balance Sheet,CWIP,,0,0,2,3,0,0,0,,,,,,,,,,,
Balance Sheet,Investments,,0,0,0,0,0,0,0,,,,,,,,,,,
Balance Sheet,Other Assets,,19,58,278,716,613,499,0,,,,,,,,,,,
Balance Sheet,Total Assets,,19,61,292,731,626,510,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-0,5,77,-20,-34,-15,0,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,0,-3,-13,-4,-5,-0,-0,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,0,-0,5,11,2,15,0,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0,1,68,-13,-38,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,286,58,34,84,75,157,0,,,,,,,,,,,
Ratios,Inventory Days,,74,16,64,52,60,30,0,,,,,,,,,,,
Ratios,Days Payable,,399,164,97,81,56,276,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-39,-90,1,55,80,-89,0,,,,,,,,,,,
Ratios,Working Capital Days,,2,-12,-40,-13,68,-78,0,,,,,,,,,,,
Ratios,ROCE %,,41%,115%,241%,161%,70%,72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,98.16%,93.33%,90.98%,90.94%,89.99%,88.98%,88.98%,88.98%,88.98%,86.98%,86.98%
Shareholding Pattern (Quarterly),Public,,,,,,,,,1.84%,6.66%,9.02%,9.06%,10.00%,11.02%,11.02%,11.02%,11.02%,13.02%,13.02%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,508,1210,8156,7173,7506,9837,10572,12427,13796,16797,17538
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,90.98%,,,,88.98%,,,,86.98%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,9.02%,,,,11.02%,,,,13.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,8156,,,,10572,,,,17538
,,,,,,,,,,,,,,,,,,,,
