Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,701,822,779,706,765,858,886,878,902,913,976,942,1105,,,,,,,,,
Quarterly Results,Expenses,648,772,732,658,707,788,814,804,836,838,905,862,1020,,,,,,,,,
Quarterly Results,Operating Profit,52,51,47,48,58,70,72,74,66,75,71,80,85,,,,,,,,,
Quarterly Results,OPM %,7%,6%,6%,7%,8%,8%,8%,8%,7%,8%,7%,9%,8%,,,,,,,,,
Quarterly Results,Other Income,1,3,4,5,2,1,2,1,9,5,18,4,8,,,,,,,,,
Quarterly Results,Interest,14,18,15,17,15,22,19,21,15,22,17,20,22,,,,,,,,,
Quarterly Results,Depreciation,8,8,8,8,9,9,9,9,9,10,10,10,14,,,,,,,,,
Quarterly Results,Profit before tax,32,29,28,28,36,40,46,46,50,48,62,54,57,,,,,,,,,
Quarterly Results,Tax %,24%,26%,27%,34%,23%,29%,24%,31%,26%,25%,25%,23%,27%,,,,,,,,,
Quarterly Results,Net Profit,24,21,20,18,28,29,35,32,37,36,47,41,42,,,,,,,,,
Quarterly Results,EPS in Rs,9.34,8.11,7.83,6.75,10.26,10.49,12.73,11.20,11.60,10.91,14.11,12.51,12.81,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2613,,,,3072,,,,3525,,,,3936,971,1071,984,1093,1274,1661,1636,1572,
Profit & Loss,Expenses,2430,,,,2868,,,,3243,,,,3625,927,1011,893,1006,1175,1535,1508,1456,
Profit & Loss,Operating Profit,183,,,,204,,,,282,,,,311,44,59,91,87,99,127,128,117,
Profit & Loss,OPM %,7%,,,,7%,,,,8%,,,,8%,5%,6%,9%,8%,8%,8%,8%,7%,
Profit & Loss,Other Income,4,,,,15,,,,13,,,,35,27,27,11,5,4,3,4,6,
Profit & Loss,Interest,57,,,,66,,,,77,,,,80,35,38,40,48,56,61,60,55,
Profit & Loss,Depreciation,29,,,,33,,,,35,,,,45,8,12,15,18,20,24,26,28,
Profit & Loss,Profit before tax,101,,,,121,,,,182,,,,221,28,37,47,27,27,45,45,40,
Profit & Loss,Tax %,25%,,,,27%,,,,27%,,,,25%,37%,24%,30%,26%,41%,30%,25%,25%,
Profit & Loss,Net Profit,75,,,,88,,,,132,,,,166,18,28,33,20,16,31,34,30,
Profit & Loss,EPS in Rs,28.84,,,,32.21,,,,41.52,,,,50.35,8.89,12.67,14.91,8.97,6.95,13.67,14.72,12.26,
