Section,,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,92.55,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,82.08,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,10.47,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,11.31%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,-0.78,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,2.98,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3.13,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,3.58,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,27.93%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,2.58,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.52,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,95.35%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24.60,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,17.61,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,29.43,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,28.50,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,100.14,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,32.42,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,16.84,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.02,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,50.86,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,100.14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,17.60,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-14.20,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-0.31,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,3.09,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,37.27,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,154.09,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,115.71,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,75.65,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,63.85,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.09%,64.77%,64.72%,64.85%,64.90%,64.54%,62.31%,49.94%,46.68%,42.89%,42.89%,43.21%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.20%,0.30%,0.03%,0.18%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,,,,,,
Shareholding Pattern (Quarterly),Public,,34.88%,35.19%,35.24%,35.12%,35.07%,35.43%,37.65%,50.02%,53.10%,56.77%,57.05%,56.58%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,40966,41942,41110,40379,41408,46513,55685,89630,102931,115104,118585,119928,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,64.85%,,,,49.94%,,,,43.21%,70.61%,65.98%,67.66%,69.09%,70.19%,65.23%
Shareholding Pattern (Yearly),FIIs,,,,,0.01%,,,,0.01%,,,,0.18%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,0.03%,,,,0.03%,,,,0.03%,0.24%,0.23%,0.04%,0.05%,0.04%,0.04%
Shareholding Pattern (Yearly),Public,,,,,35.12%,,,,50.02%,,,,56.58%,29.14%,33.77%,32.30%,30.86%,29.77%,34.74%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,40379,,,,89630,,,,119928,13071,15053,14002,13590,15544,40413
,,,,,,,,,,,,,,,,,,,,
