Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2022
Quarterly Results,Sales,50.54,51.34,49.44,46.62,75.18,74.57,43.71,35.61,51.18,34.31,37.22,,
Quarterly Results,Expenses,47.00,48.11,46.83,44.62,72.88,72.78,42.77,30.80,45.28,31.39,35.22,,
Quarterly Results,Operating Profit,3.54,3.23,2.61,2.00,2.30,1.79,0.94,4.81,5.90,2.92,2.00,,
Quarterly Results,OPM %,7.00%,6.29%,5.28%,4.29%,3.06%,2.40%,2.15%,13.51%,11.53%,8.51%,5.37%,,
Quarterly Results,Other Income,1.77,1.54,1.51,1.49,1.57,1.42,1.63,2.37,2.31,2.79,1.91,,
Quarterly Results,Interest,0.11,0.08,0.04,0.02,0.05,0.18,0.13,0.40,0.46,0.64,0.37,,
Quarterly Results,Depreciation,0.01,0.02,0.02,0.01,0.06,0.03,0.09,0.29,0.41,0.41,0.51,,
Quarterly Results,Profit before tax,5.19,4.67,4.06,3.46,3.76,3.00,2.35,6.49,7.34,4.66,3.03,,
Quarterly Results,Tax %,16.76%,26.98%,14.04%,15.90%,17.82%,70.33%,26.38%,21.88%,26.02%,25.54%,24.09%,,
Quarterly Results,Net Profit,4.31,3.42,3.49,2.91,3.09,0.89,1.73,5.06,5.44,3.47,2.31,,
Quarterly Results,EPS in Rs,0.50,0.35,0.38,0.33,0.35,0.13,0.24,0.65,0.69,0.46,0.30,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,187,,,,240,,,,158,,
Profit & Loss,Expenses,,,174,,,,233,,,,143,,
Profit & Loss,Operating Profit,,,13,,,,7,,,,16,,
Profit & Loss,OPM %,,,7%,,,,3%,,,,10%,,
Profit & Loss,Other Income,,,7,,,,6,,,,9,,
Profit & Loss,Interest,,,0,,,,0,,,,2,,
Profit & Loss,Depreciation,,,0,,,,0,,,,2,,
Profit & Loss,Profit before tax,,,19,,,,13,,,,22,,
Profit & Loss,Tax %,,,21%,,,,31%,,,,24%,,
Profit & Loss,Net Profit,,,15,,,,9,,,,16,,
Profit & Loss,EPS in Rs,,,1.78,,,,1.05,,,,2.11,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,46,,,,69,,,,69,,
Balance Sheet,Reserves,,,27,,,,17,,,,49,,
Balance Sheet,Borrowings,,,0,,,,13,,,,13,,
Balance Sheet,Other Liabilities,,,17,,,,16,,,,14,,
Balance Sheet,Total Liabilities,,,90,,,,115,,,,144,,
Balance Sheet,Fixed Assets,,,0,,,,12,,,,16,,
Balance Sheet,CWIP,,,0,,,,3,,,,3,,
Balance Sheet,Investments,,,7,,,,13,,,,11,,
Balance Sheet,Other Assets,,,83,,,,86,,,,114,,
Balance Sheet,Total Assets,,,90,,,,115,,,,144,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-17,,,,-11,,,,-19,,
Cash Flows,Cash from Investing Activity,,,-3,,,,11,,,,-1,,
Cash Flows,Cash from Financing Activity,,,-2,,,,-1,,,,16,,
Cash Flows,Net Cash Flow,,,-22,,,,-1,,,,-3,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,63,,,,18,,,,36,,
Ratios,Inventory Days,,,47,,,,49,,,,127,,
Ratios,Days Payable,,,16,,,,2,,,,0,,
Ratios,Cash Conversion Cycle,,,94,,,,65,,,,163,,
Ratios,Working Capital Days,,,124,,,,88,,,,216,,
Ratios,ROCE %,,,,,,,14%,,,,19%,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.53%,72.53%,72.53%,72.53%,72.53%,72.53%,72.53%,72.53%,72.53%,72.53%,72.54%,72.53%,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.03%,0.00%,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.28%,0.29%,0.29%,0.29%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,27.47%,27.47%,27.47%,27.47%,27.47%,27.25%,27.19%,27.18%,27.17%,27.17%,27.43%,27.48%,
Shareholding Pattern (Quarterly),No. of Shareholders,1293,1382,2544,3407,4240,4995,8263,10476,18716,21945,22202,1175,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,72.53%,,,,72.53%,,,,72.54%,,72.53%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.00%,,,,0.03%,,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,0.28%,,,,0.00%,,0.00%
Shareholding Pattern (Yearly),Public,,,27.47%,,,,27.19%,,,,27.43%,,27.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,2544,,,,8263,,,,22202,,1394
,,,,,,,,,,,,,,
