Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,45.07,61.79,61.79,71.61,56.80,56.57,47.39,59.96,52.43,50.86,55.18,61.13,68.38,,,,
Quarterly Results,Expenses,35.28,44.23,44.05,55.56,50.63,33.96,34.42,40.14,40.89,33.94,36.63,45.53,67.51,,,,
Quarterly Results,Operating Profit,9.79,17.56,17.74,16.05,6.17,22.61,12.97,19.82,11.54,16.92,18.55,15.60,0.87,,,,
Quarterly Results,OPM %,21.72%,28.42%,28.71%,22.41%,10.86%,39.97%,27.37%,33.06%,22.01%,33.27%,33.62%,25.52%,1.27%,,,,
Quarterly Results,Other Income,15.44,1.37,-0.68,16.33,14.49,0.31,13.20,-1.53,30.75,7.06,9.21,12.22,28.69,,,,
Quarterly Results,Interest,15.46,17.99,14.04,17.67,7.90,4.70,6.57,4.85,9.32,5.75,4.71,3.95,4.24,,,,
Quarterly Results,Depreciation,10.76,16.52,14.84,14.37,13.75,13.18,13.33,13.28,13.16,13.25,13.40,13.47,13.09,,,,
Quarterly Results,Profit before tax,-0.99,-15.58,-11.82,0.34,-0.99,5.04,6.27,0.16,19.81,4.98,9.65,10.40,12.23,,,,
Quarterly Results,Tax %,97.98%,-25.67%,-30.54%,-1282.35%,83.84%,47.02%,8.13%,943.75%,-3.99%,16.87%,37.20%,50.10%,47.34%,,,,
Quarterly Results,Net Profit,-1.96,-11.58,-8.21,4.70,-1.82,2.67,5.76,-1.35,20.60,4.14,6.06,5.19,6.44,,,,
Quarterly Results,EPS in Rs,-0.08,-0.49,-0.35,0.16,-0.02,0.08,0.20,-0.05,0.73,0.13,0.18,0.11,0.15,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,172,,,,250,,,,224,,,,236,368,164,165,172
Profit & Loss,Expenses,90,,,,194,,,,149,,,,184,352,82,77,109
Profit & Loss,Operating Profit,82,,,,57,,,,75,,,,52,15,82,88,63
Profit & Loss,OPM %,48%,,,,23%,,,,33%,,,,22%,4%,50%,53%,37%
Profit & Loss,Other Income,-70,,,,24,,,,35,,,,57,-14,-68,-47,-112
Profit & Loss,Interest,55,,,,57,,,,25,,,,19,65,30,53,61
Profit & Loss,Depreciation,50,,,,58,,,,53,,,,53,17,27,40,49
Profit & Loss,Profit before tax,-93,,,,-34,,,,31,,,,37,-80,-43,-51,-158
Profit & Loss,Tax %,0%,,,,84%,,,,12%,,,,41%,-29%,23%,2%,-3%
Profit & Loss,Net Profit,-93,,,,-62,,,,28,,,,22,-57,-53,-52,-154
Profit & Loss,EPS in Rs,-3.97,,,,-2.09,,,,0.95,,,,0.54,-11328.00,-9.13,-4.52,-11.94
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,235,,,,292,,,,294,,,,367,0.05,57,116,129
Balance Sheet,Reserves,572,,,,794,,,,1051,,,,1600,2,-8,-20,-86
Balance Sheet,Borrowings,904,,,,595,,,,174,,,,181,956,1154,1085,1411
Balance Sheet,Other Liabilities,410,,,,433,,,,564,,,,339,551,698,1158,1239
Balance Sheet,Total Liabilities,2121,,,,2113,,,,2083,,,,2487,1509,1902,2340,2693
Balance Sheet,Fixed Assets,953,,,,1095,,,,755,,,,704,500,512,776,765
Balance Sheet,CWIP,133,,,,7,,,,7,,,,7,10,59,26,251
Balance Sheet,Investments,33,,,,0,,,,0,,,,446,0,71,72,33
Balance Sheet,Other Assets,1002,,,,1011,,,,1320,,,,1330,999,1260,1465,1645
Balance Sheet,Total Assets,2121,,,,2113,,,,2083,,,,2487,1509,1902,2340,2693
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,141,,,,-26,,,,-8,,,,60,65,-41,362,49
