Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,339,346,359,372,389,395,410,436,453,459,483,493,502,,,,,,,,,
Quarterly Results,Expenses,239,244,253,263,265,269,273,293,308,307,318,331,334,,,,,,,,,
Quarterly Results,Operating Profit,100,102,106,109,124,127,137,142,145,152,165,162,168,,,,,,,,,
Quarterly Results,OPM %,29%,30%,29%,29%,32%,32%,34%,33%,32%,33%,34%,33%,33%,,,,,,,,,
Quarterly Results,Other Income,12,14,16,14,11,12,21,17,17,19,21,31,26,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,11,11,11,11,11,11,12,14,16,16,17,16,17,,,,,,,,,
Quarterly Results,Profit before tax,100,105,110,112,124,127,146,145,146,154,168,177,177,,,,,,,,,
Quarterly Results,Tax %,19%,18%,17%,13%,18%,18%,20%,18%,17%,19%,22%,21%,18%,,,,,,,,,
Quarterly Results,Net Profit,81,86,92,97,101,104,116,120,121,125,131,140,145,,,,,,,,,
Quarterly Results,EPS in Rs,10.43,11.21,12.09,12.84,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1269,,,,1467,,,,1694,,,,1937,173,252,239,402,540,649,863,1061,
Profit & Loss,Expenses,874,,,,1025,,,,1142,,,,1291,137,192,175,276,345,417,603,732,
Profit & Loss,Operating Profit,395,,,,442,,,,552,,,,647,36,60,64,125,195,232,260,329,
Profit & Loss,OPM %,31%,,,,30%,,,,33%,,,,33%,21%,24%,27%,31%,36%,36%,30%,31%,
Profit & Loss,Other Income,38,,,,55,,,,66,,,,96,4,3,4,10,13,19,41,23,
Profit & Loss,Interest,1,,,,1,,,,1,,,,1,1,1,0,1,1,1,0,2,
Profit & Loss,Depreciation,47,,,,45,,,,53,,,,66,4,8,7,13,19,23,32,37,
Profit & Loss,Profit before tax,386,,,,451,,,,564,,,,677,36,53,60,121,188,227,269,314,
Profit & Loss,Tax %,20%,,,,16%,,,,18%,,,,20%,27%,23%,24%,21%,23%,22%,20%,20%,
Profit & Loss,Net Profit,308,,,,377,,,,461,,,,541,26,41,46,96,145,177,215,251,
Profit & Loss,EPS in Rs,39.56,,,,49.57,,,,60.19,,,,70.56,3.42,5.43,6.05,12.65,19.15,23.35,28.42,32.03,
