Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,5.09,4.07,4.35,4.77,8.63,4.88,4.45,4.44,5.96,4.38,4.00,3.86,4.58,,,,,,,
Quarterly Results,Expenses,4.10,4.03,4.27,4.22,7.90,4.76,4.55,4.19,4.24,3.55,4.01,3.68,6.65,,,,,,,
Quarterly Results,Operating Profit,0.99,0.04,0.08,0.55,0.73,0.12,-0.10,0.25,1.72,0.83,-0.01,0.18,-2.07,,,,,,,
Quarterly Results,OPM %,19.45%,0.98%,1.84%,11.53%,8.46%,2.46%,-2.25%,5.63%,28.86%,18.95%,-0.25%,4.66%,-45.20%,,,,,,,
Quarterly Results,Other Income,0.00,-0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,,,,,
Quarterly Results,Depreciation,1.14,1.02,0.99,0.85,0.87,0.78,0.79,0.77,0.72,0.69,0.69,0.68,0.50,,,,,,,
Quarterly Results,Profit before tax,-0.15,-1.08,-1.19,-0.30,-0.04,-0.66,-0.89,-0.52,1.00,0.14,-0.70,-0.51,-2.57,,,,,,,
Quarterly Results,Tax %,0.00%,-21.30%,-26.05%,-30.00%,-1050.00%,3.03%,-11.24%,-21.15%,15.00%,35.71%,-21.43%,-15.69%,3.50%,,,,,,,
Quarterly Results,Net Profit,-0.16,-0.85,-0.89,-0.20,0.38,-0.68,-0.79,-0.40,0.84,0.09,-0.55,-0.43,-2.66,,,,,,,
Quarterly Results,EPS in Rs,-0.27,-1.41,-1.48,-0.33,0.63,-1.13,-1.31,-0.67,1.40,0.15,-0.92,-0.72,-4.43,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,20.33,,,,17.77,,,,18.06,,,,16.81,67.10,104.37,108.06,134.06,493.13,113.72,21.97
Profit & Loss,Expenses,18.17,,,,16.46,,,,16.67,,,,17.88,68.25,97.69,103.68,126.94,517.40,113.96,20.26
Profit & Loss,Operating Profit,2.16,,,,1.31,,,,1.39,,,,-1.07,-1.15,6.68,4.38,7.12,-24.27,-0.24,1.71
Profit & Loss,OPM %,10.62%,,,,7.37%,,,,7.70%,,,,-6.37%,-1.71%,6.40%,4.05%,5.31%,-4.92%,-0.21%,7.78%
Profit & Loss,Other Income,0.41,,,,0.40,,,,0.60,,,,0.00,0.86,0.72,1.89,0.87,4.40,1.11,0.52
Profit & Loss,Interest,0.00,,,,0.38,,,,0.00,,,,0.01,0.13,0.03,0.00,0.11,0.06,0.01,0.01
Profit & Loss,Depreciation,4.58,,,,3.69,,,,3.05,,,,2.56,24.22,13.31,12.61,10.24,7.12,6.03,5.10
Profit & Loss,Profit before tax,-2.01,,,,-2.36,,,,-1.06,,,,-3.64,-24.64,-5.94,-6.34,-2.36,-27.05,-5.17,-2.88
Profit & Loss,Tax %,-24.38%,,,,-21.19%,,,,-2.83%,,,,-2.20%,0.00%,-26.94%,-23.66%,36.02%,-31.05%,21.08%,-21.18%
Profit & Loss,Net Profit,-1.53,,,,-1.86,,,,-1.03,,,,-3.55,-24.65,-4.33,-4.84,-3.21,-18.65,-6.27,-2.26
Profit & Loss,EPS in Rs,-2.55,,,,-3.09,,,,-1.71,,,,-5.91,-41.02,-7.20,-8.05,-5.34,-31.03,-10.43,-3.76
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6.01,,,,6.01,,,,6.01,,,,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
Balance Sheet,Reserves,-347.15,,,,-348.90,,,,-350.11,,,,-354.12,-317.74,-322.05,-314.75,-318.09,-336.75,-343.19,-345.67
Balance Sheet,Borrowings,0.00,,,,0.00,,,,0.00,,,,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Other Liabilities,2240.47,,,,2240.42,,,,2240.30,,,,2240.64,670.62,637.62,637.37,2167.75,2285.96,2240.48,2241.25
Balance Sheet,Total Liabilities,1899.33,,,,1897.53,,,,1896.20,,,,1893.30,358.89,321.58,328.63,1855.67,1955.22,1903.30,1901.59
Balance Sheet,Fixed Assets,206.62,,,,202.99,,,,199.97,,,,198.31,161.66,179.08,168.29,224.71,220.50,215.88,210.78
Balance Sheet,CWIP,6.28,,,,6.72,,,,6.79,,,,6.79,1.29,0.29,2.25,5.42,5.34,4.26,5.12
Balance Sheet,Investments,0.15,,,,0.14,,,,0.18,,,,0.16,0.12,0.19,0.19,0.20,0.09,0.10,0.13
Balance Sheet,Other Assets,1686.28,,,,1687.68,,,,1689.26,,,,1688.04,195.82,142.02,157.90,1625.34,1729.29,1683.06,1685.56
Balance Sheet,Total Assets,1899.33,,,,1897.53,,,,1896.20,,,,1893.30,358.89,321.58,328.63,1855.67,1955.22,1903.30,1901.59
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1.25,,,,0.36,,,,-0.10,,,,-3.02,3.21,-21.52,4.03,4.78,13.75,-9.08,3.62
Cash Flows,Cash from Investing Activity,-1.40,,,,-0.24,,,,0.17,,,,2.24,-2.65,16.85,-2.73,-1532.18,-8.05,3.86,-3.22
Cash Flows,Cash from Financing Activity,0.00,,,,-0.38,,,,0.00,,,,0.76,-0.13,4.51,-1.43,1527.41,-0.06,-0.01,-0.01
Cash Flows,Net Cash Flow,-0.15,,,,-0.26,,,,0.06,,,,-0.01,0.42,-0.16,-0.14,0.02,5.64,-5.22,0.38
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,373.98,,,,445.52,,,,468.68,,,,505.70,223.68,113.45,110.15,111.14,26.12,66.76,342.07
Ratios,Inventory Days,,,,,,,,,,,,,,20.33,49.98,55.99,35.23,,83.11,
Ratios,Days Payable,,,,,,,,,,,,,,323.78,15.47,14.50,32.96,,39.69,
Ratios,Cash Conversion Cycle,373.98,,,,445.52,,,,468.68,,,,505.70,-79.77,147.96,151.63,113.41,26.12,110.18,342.07
Ratios,Working Capital Days,338.61,,,,400.95,,,,422.60,,,,464.45,63.70,128.52,129.30,110.38,7.31,62.84,299.21
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.31%,72.77%,73.22%,73.28%,73.28%,73.28%,73.28%,73.28%,73.28%,73.28%,73.28%,73.28%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,,
Shareholding Pattern (Quarterly),Public,,27.67%,27.21%,26.77%,26.70%,26.71%,26.71%,26.72%,26.71%,26.70%,26.70%,26.70%,26.70%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,5259,5150,5068,5059,5071,5101,5135,5104,5113,5160,5291,5225,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.05%,,,,73.28%,,,,73.28%,,,,73.28%,,,62.73%,67.27%,71.16%,71.16%,72.02%
Shareholding Pattern (Yearly),DIIs,0.02%,,,,0.02%,,,,0.02%,,,,0.02%,,,0.02%,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,27.93%,,,,26.70%,,,,26.71%,,,,26.70%,,,37.25%,32.71%,28.82%,28.82%,27.96%
Shareholding Pattern (Yearly),No. of Shareholders,5221,,,,5059,,,,5104,,,,5225,,,4985,4983,4974,4939,4942
,,,,,,,,,,,,,,,,,,,,,
