Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,214,323,246,279,170,273,191,283,219,301,,,,,,,,
Quarterly Results,Expenses,190,268,214,235,160,234,178,246,200,262,,,,,,,,
Quarterly Results,Operating Profit,23,55,32,43,9,39,13,37,19,40,,,,,,,,
Quarterly Results,OPM %,11%,17%,13%,15%,6%,14%,7%,13%,9%,13%,,,,,,,,
Quarterly Results,Other Income,9,5,18,14,18,10,21,27,-9,-1,,,,,,,,
Quarterly Results,Interest,0,0,1,0,1,1,1,1,0,0,,,,,,,,
Quarterly Results,Depreciation,7,7,7,7,7,7,6,6,6,6,,,,,,,,
Quarterly Results,Profit before tax,25,53,43,50,20,43,28,57,4,32,,,,,,,,
Quarterly Results,Tax %,22%,24%,23%,27%,17%,19%,18%,22%,64%,24%,,,,,,,,
Quarterly Results,Net Profit,19,40,33,36,17,35,22,45,1,24,,,,,,,,
Quarterly Results,EPS in Rs,22.49,46.47,38.19,42.19,19.53,40.22,26.01,51.85,1.48,28.25,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1006,,,,968,,,,995,,,,,,,,
Profit & Loss,Expenses,,878,,,,844,,,,885,,,,,,,,
Profit & Loss,Operating Profit,,128,,,,124,,,,110,,,,,,,,
Profit & Loss,OPM %,,13%,,,,13%,,,,11%,,,,,,,,
Profit & Loss,Other Income,,25,,,,60,,,,38,,,,,,,,
Profit & Loss,Interest,,2,,,,3,,,,2,,,,,,,,
Profit & Loss,Depreciation,,27,,,,27,,,,25,,,,,,,,
Profit & Loss,Profit before tax,,124,,,,155,,,,120,,,,,,,,
Profit & Loss,Tax %,,25%,,,,22%,,,,23%,,,,,,,,
Profit & Loss,Net Profit,,92,,,,121,,,,93,,,,,,,,
Profit & Loss,EPS in Rs,,106.90,,,,140.14,,,,107.56,,,,,,,,
Profit & Loss,Dividend Payout %,,23%,,,,14%,,,,19%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,9,,,,9,,,,9,,,,,,,,
Balance Sheet,Reserves,,816,,,,915,,,,993,,,,,,,,
Balance Sheet,Borrowings,,2,,,,1,,,,2,,,,,,,,
Balance Sheet,Other Liabilities,,264,,,,242,,,,261,,,,,,,,
Balance Sheet,Total Liabilities,,1091,,,,1167,,,,1265,,,,,,,,
Balance Sheet,Fixed Assets,,261,,,,250,,,,240,,,,,,,,
Balance Sheet,CWIP,,14,,,,5,,,,10,,,,,,,,
Balance Sheet,Investments,,430,,,,484,,,,523,,,,,,,,
Balance Sheet,Other Assets,,385,,,,428,,,,492,,,,,,,,
Balance Sheet,Total Assets,,1091,,,,1167,,,,1265,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,36,,,,49,,,,77,,,,,,,,
Cash Flows,Cash from Investing Activity,,-32,,,,9,,,,-29,,,,,,,,
Cash Flows,Cash from Financing Activity,,-19,,,,-24,,,,-20,,,,,,,,
Cash Flows,Net Cash Flow,,-14,,,,33,,,,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,54,,,,58,,,,75,,,,,,,,
Ratios,Inventory Days,,56,,,,65,,,,54,,,,,,,,
Ratios,Days Payable,,68,,,,55,,,,53,,,,,,,,
Ratios,Cash Conversion Cycle,,42,,,,69,,,,76,,,,,,,,
Ratios,Working Capital Days,,50,,,,72,,,,254,,,,,,,,
Ratios,ROCE %,,,,,,18%,,,,13%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,55.58%,55.58%,55.58%,55.58%,55.58%,55.64%,55.64%,55.64%,55.64%,55.64%,54.82%,55.58%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.26%,1.26%,1.76%,2.07%,2.02%,1.88%,2.79%,2.90%,2.67%,2.47%,5.43%,3.98%,,,,,,
Shareholding Pattern (Quarterly),DIIs,19.73%,19.79%,18.97%,17.24%,16.61%,16.87%,17.97%,19.10%,20.47%,20.72%,16.40%,16.39%,,,,,,
Shareholding Pattern (Quarterly),Public,23.42%,23.37%,23.69%,25.12%,25.79%,25.62%,23.60%,22.37%,21.22%,21.18%,23.35%,24.03%,,,,,,
Shareholding Pattern (Quarterly),Others,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
