Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,587,569,636,459,717,521,639,451,708,535,677,553,818,,,,,
Quarterly Results,Expenses,480,494,571,427,675,492,584,417,632,491,613,503,741,,,,,
Quarterly Results,Operating Profit,107,75,65,33,42,28,55,34,76,45,65,50,77,,,,,
Quarterly Results,OPM %,18%,13%,10%,7%,6%,5%,9%,8%,11%,8%,10%,9%,9%,,,,,
Quarterly Results,Other Income,6,3,3,3,10,5,4,3,9,10,14,4,2,,,,,
Quarterly Results,Interest,7,5,6,7,6,6,5,5,4,4,5,5,6,,,,,
Quarterly Results,Depreciation,5,5,5,5,5,6,6,6,4,6,6,6,7,,,,,
Quarterly Results,Profit before tax,101,68,56,24,41,21,48,26,76,45,68,43,66,,,,,
Quarterly Results,Tax %,28%,26%,27%,31%,27%,29%,25%,26%,28%,26%,24%,26%,27%,,,,,
Quarterly Results,Net Profit,73,50,41,17,30,15,36,19,55,33,52,32,48,,,,,
Quarterly Results,EPS in Rs,24.53,16.87,13.97,6.01,10.38,5.55,12.33,6.72,18.47,11.30,17.02,10.66,15.99,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2296,,,,2382,,,,2324,,,,2583,1078,1207,1668,1953,
Profit & Loss,Expenses,1823,,,,2166,,,,2131,,,,2347,923,1029,1398,1570,
Profit & Loss,Operating Profit,473,,,,215,,,,193,,,,236,154,178,269,382,
Profit & Loss,OPM %,21%,,,,9%,,,,8%,,,,9%,14%,15%,16%,20%,
Profit & Loss,Other Income,17,,,,18,,,,21,,,,30,2,9,6,10,
Profit & Loss,Interest,16,,,,24,,,,20,,,,21,25,24,21,13,
Profit & Loss,Depreciation,18,,,,20,,,,22,,,,24,10,11,15,18,
Profit & Loss,Profit before tax,456,,,,189,,,,172,,,,221,121,152,239,362,
Profit & Loss,Tax %,26%,,,,27%,,,,27%,,,,25%,36%,35%,26%,26%,
Profit & Loss,Net Profit,338,,,,137,,,,126,,,,165,78,99,177,269,
Profit & Loss,EPS in Rs,112.95,,,,47.23,,,,43.07,,,,54.97,30.84,39.12,70.35,107.47,
Profit & Loss,Dividend Payout %,11%,,,,11%,,,,5%,,,,4%,7%,9%,19%,0%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,6,,,,6,5,5,5,6,
Balance Sheet,Reserves,1303,,,,1446,,,,1560,,,,1724,313,406,734,999,
Balance Sheet,Borrowings,350,,,,268,,,,211,,,,317,329,181,237,137,
Balance Sheet,Other Liabilities,353,,,,399,,,,412,,,,517,224,209,274,349,
Balance Sheet,Total Liabilities,2012,,,,2119,,,,2189,,,,2564,872,802,1250,1492,
Balance Sheet,Fixed Assets,236,,,,288,,,,343,,,,362,126,132,162,199,
Balance Sheet,CWIP,34,,,,50,,,,3,,,,9,5,0,1,9,
Balance Sheet,Investments,62,,,,103,,,,206,,,,175,1,5,39,75,
Balance Sheet,Other Assets,1681,,,,1678,,,,1637,,,,2017,740,664,1049,1208,
Balance Sheet,Total Assets,2012,,,,2119,,,,2189,,,,2564,872,802,1250,1492,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-228,,,,181,,,,240,,,,-81,-2,190,153,389,
Cash Flows,Cash from Investing Activity,44,,,,-88,,,,-124,,,,-12,-19,-12,-18,-177,
Cash Flows,Cash from Financing Activity,152,,,,-118,,,,-91,,,,71,16,-178,-130,-133,
Cash Flows,Net Cash Flow,-32,,,,-25,,,,24,,,,-22,-5,-0,4,79,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,103,,,,123,,,,114,,,,128,132,111,97,86,
Ratios,Inventory Days,501,,,,247,,,,288,,,,265,328,200,382,276,
Ratios,Days Payable,174,,,,118,,,,150,,,,138,207,129,157,162,
Ratios,Cash Conversion Cycle,430,,,,252,,,,251,,,,254,253,182,322,200,
Ratios,Working Capital Days,197,,,,190,,,,181,,,,230,173,138,169,125,
Ratios,ROCE %,34%,,,,13%,,,,11%,,,,13%,,28%,33%,36%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.33%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,74.19%,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.08%,2.11%,1.88%,2.15%,2.18%,1.69%,0.95%,0.83%,0.84%,1.14%,1.24%,1.21%,,,,,
Shareholding Pattern (Quarterly),DIIs,,6.23%,11.11%,10.18%,9.67%,8.96%,8.06%,6.94%,4.88%,4.83%,4.84%,4.82%,4.84%,,,,,
Shareholding Pattern (Quarterly),Public,,17.36%,12.58%,13.75%,13.98%,14.67%,16.05%,17.91%,20.10%,20.14%,19.81%,19.75%,19.76%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,67929,75977,86756,87378,88239,92883,95237,97862,85879,74190,72629,75982,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.95%,,,,74.19%,,,,74.19%,,,,74.19%,73.71%,73.71%,69.51%,69.51%,73.71%
Shareholding Pattern (Yearly),FIIs,2.82%,,,,2.15%,,,,0.83%,,,,1.21%,1.41%,1.65%,4.35%,3.29%,0.01%
Shareholding Pattern (Yearly),DIIs,6.60%,,,,9.67%,,,,4.88%,,,,4.84%,3.20%,1.93%,3.84%,4.78%,0.02%
Shareholding Pattern (Yearly),Public,16.63%,,,,13.98%,,,,20.10%,,,,19.76%,21.67%,22.70%,22.30%,22.42%,26.26%
Shareholding Pattern (Yearly),No. of Shareholders,57752,,,,87378,,,,97862,,,,75982,9991,11526,11582,14750,5077
,,,,,,,,,,,,,,,,,,,
