Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,75,55,8,11,22,32,13,35,47,36,53,60,69,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,55,48,19,19,23,34,23,31,36,35,50,51,51,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,20,7,-11,-8,-2,-2,-10,4,11,1,3,9,19,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,27%,13%,-131%,-72%,-8%,-7%,-73%,11%,23%,2%,6%,15%,27%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,6,0,1,1,-567,0,-319,-4,-2,0,0,1,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,29,39,25,25,8,34,27,25,23,35,31,33,31,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,4,4,4,4,4,4,4,4,8,9,6,6,6,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-12,-29,-39,-36,-12,-607,-40,-344,-25,-45,-33,-30,-17,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-23%,4%,-26%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-9,-30,-29,-36,-12,-618,-40,-344,-25,-45,-33,-30,-17,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-4.56,-14.19,-13.67,-16.83,-5.77,-320.61,-20.65,-162.14,-12.38,-23.49,-17.18,-15.34,-8.68,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,252,,,,73,,,,131,,,,306,354,321,228,233,241,251,274,274,218,,,,,,,,,
Profit & Loss,Expenses,,198,,,,92,,,,124,,,,195,316,248,167,190,171,170,191,192,187,,,,,,,,,
Profit & Loss,Operating Profit,,54,,,,-19,,,,6,,,,111,37,73,61,43,70,81,84,81,32,,,,,,,,,
Profit & Loss,OPM %,,22%,,,,-27%,,,,5%,,,,36%,11%,23%,27%,18%,29%,32%,30%,30%,14%,,,,,,,,,
Profit & Loss,Other Income,,15,,,,-568,,,,-325,,,,1,42,-310,7,31,46,11,31,4,-0,,,,,,,,,
Profit & Loss,Interest,,127,,,,91,,,,110,,,,45,89,86,74,96,118,99,99,114,130,,,,,,,,,
Profit & Loss,Depreciation,,18,,,,17,,,,25,,,,21,34,31,11,27,23,21,20,19,26,,,,,,,,,
Profit & Loss,Profit before tax,,-76,,,,-695,,,,-454,,,,46,-43,-354,-17,-48,-24,-28,-4,-48,-125,,,,,,,,,
Profit & Loss,Tax %,,-14%,,,,0%,,,,0%,,,,24%,116%,4%,90%,6%,-107%,-42%,-8%,-19%,,,,,,,,,,
Profit & Loss,Net Profit,,-65,,,,-695,,,,-454,,,,34,-94,-361,-32,-51,2,-16,-4,-39,-125,,,,,,,,,
Profit & Loss,EPS in Rs,,-30.37,,,,-356.89,,,,-218.66,,,,15.97,-13.93,30.71,-16.54,-26.07,0.82,-8.15,-1.91,-18.33,-64.69,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,16%,-11%,3%,-6%,0%,0%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,19,,,,19,,,,19,,19,,19,19,19,19,19,19,19,19,19,,,,,,,,,,
Balance Sheet,Reserves,,611,,,,409,,,,218,,154,,757,732,837,775,745,737,721,719,684,,,,,,,,,,
Balance Sheet,Borrowings,,1212,,,,1265,,,,1079,,1102,,1025,1099,819,980,1071,1123,1154,1141,1183,,,,,,,,,,
Balance Sheet,Other Liabilities,,291,,,,310,,,,239,,284,,572,654,341,311,265,201,196,228,255,,,,,,,,,,
Balance Sheet,Total Liabilities,,2133,,,,2003,,,,1556,,1560,,2373,2504,2016,2085,2100,2080,2090,2108,2142,,,,,,,,,,
Balance Sheet,Fixed Assets,,1727,,,,1626,,,,1479,,1468,,2012,2054,1543,1789,1904,1839,1809,1773,1759,,,,,,,,,,
Balance Sheet,CWIP,,279,,,,297,,,,1,,1,,209,310,354,143,133,157,188,229,256,,,,,,,,,,
Balance Sheet,Investments,,1,,,,1,,,,0,,0,,0,0,0,0,0,0,0,1,1,,,,,,,,,,
Balance Sheet,Other Assets,,126,,,,78,,,,76,,91,,153,140,119,154,63,83,93,104,125,,,,,,,,,,
Balance Sheet,Total Assets,,2133,,,,2003,,,,1556,,1560,,2373,2504,2016,2085,2100,2080,2090,2108,2142,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,110,,,,41,,,,15,,,,161,163,77,1,-3,54,85,109,105,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-1,,,,1,,,,-3,,,,-587,-106,-188,12,-19,16,-14,5,-26,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-112,,,,-43,,,,-11,,,,427,-50,106,13,-7,-64,-70,-117,-83,,,,,,,,,,
Cash Flows,Net Cash Flow,,-3,,,,-1,,,,0,,,,1,7,-5,26,-29,6,1,-3,-4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,18,,,,72,,,,31,,,,18,15,13,16,15,16,16,16,22,,,,,,,,,,
Ratios,Inventory Days,,103,,,,187,,,,97,,,,115,91,60,76,57,92,110,117,106,,,,,,,,,,
Ratios,Days Payable,,829,,,,3033,,,,1601,,,,123,154,129,173,332,421,495,488,598,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-708,,,,-2774,,,,-1474,,,,9,-48,-56,-81,-259,-313,-369,-355,-470,,,,,,,,,,
Ratios,Working Capital Days,,-223,,,,-1094,,,,-603,,,,-154,-213,-310,-424,-407,-145,-132,-161,-182,,,,,,,,,,
Ratios,ROCE %,,2%,,,,-2%,,,,-1%,,,,6%,2%,4%,5%,1%,3%,3%,4%,3%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,50.69%,50.69%,50.69%,,,,,,,,,,,50.69%,50.69%,50.69%,50.69%,0.16%,3.17%,3.17%,3.17%,0.00%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,0.00%,0.00%,0.00%,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,5.26%,5.26%,5.26%,5.26%,5.26%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,7.35%,7.34%,0.13%,,,,,,,,,,,0.13%,0.13%,0.13%,0.13%,0.13%,3.74%,3.74%,3.72%,3.70%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,41.96%,41.95%,49.16%,,,,,,,,,,,49.17%,49.16%,49.16%,49.18%,94.45%,87.82%,87.83%,87.84%,91.04%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,12143,12071,11727,,,,,,,,,,,11385,10438,10313,9883,10254,10009,9750,9773,9847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,59.29%,,,,57.98%,,,,50.69%,,,,,,,,,,72.49%,72.49%,72.49%,,50.69%,,,,0.16%,,,,0.00%
Shareholding Pattern (Yearly),FIIs,,0.01%,,,,0.01%,,,,0.00%,,,,,,,,,,0.02%,0.05%,0.01%,,0.00%,,,,5.26%,,,,5.26%
Shareholding Pattern (Yearly),DIIs,,0.14%,,,,0.13%,,,,7.35%,,,,,,,,,,0.16%,0.21%,0.14%,,0.13%,,,,0.13%,,,,3.70%
Shareholding Pattern (Yearly),Public,,40.56%,,,,41.87%,,,,41.96%,,,,,,,,,,27.33%,27.26%,27.37%,,49.17%,,,,94.45%,,,,91.04%
Shareholding Pattern (Yearly),No. of Shareholders,,10695,,,,11058,,,,12069,,,,,,,,,,14501,11856,11124,,11385,,,,10254,,,,9847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
