Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,14917,14724,14150,15438,13873,12928,12267,12828,13223,14169,14460,16839,18230,,,
Quarterly Results,Expenses,14492,14281,13896,14833,13755,12798,12123,12324,12866,13550,13845,16047,17781,,,
Quarterly Results,Operating Profit,426,443,254,605,118,130,144,505,357,619,615,792,448,,,
Quarterly Results,OPM %,3%,3%,2%,4%,1%,1%,1%,4%,3%,4%,4%,5%,2%,,,
Quarterly Results,Other Income,63,52,59,78,313,66,11,59,104,61,56,67,62,,,
Quarterly Results,Interest,107,150,163,252,210,171,220,187,171,166,177,204,178,,,
Quarterly Results,Depreciation,83,86,90,91,92,94,96,95,79,96,92,108,98,,,
Quarterly Results,Profit before tax,298,260,60,340,129,-68,-162,281,211,418,402,546,234,,,
Quarterly Results,Tax %,26%,24%,47%,32%,28%,-12%,-19%,27%,27%,25%,30%,28%,25%,,,
Quarterly Results,Net Profit,234,194,49,246,94,-79,-131,201,157,313,311,411,191,,,
Quarterly Results,EPS in Rs,1.80,1.49,0.38,1.89,0.72,-0.61,-1.01,1.55,1.21,2.41,2.39,3.16,1.46,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,54155,,,,58185,,,,51225,,,,63672,28797,29657,37090
Profit & Loss,Expenses,52418,,,,57223,,,,50090,,,,61186,27666,28348,35765
Profit & Loss,Operating Profit,1736,,,,962,,,,1135,,,,2486,1131,1310,1326
Profit & Loss,OPM %,3%,,,,2%,,,,2%,,,,4%,4%,4%,4%
Profit & Loss,Other Income,172,,,,961,,,,240,,,,233,122,110,104
Profit & Loss,Interest,541,,,,775,,,,749,,,,724,487,569,407
Profit & Loss,Depreciation,309,,,,358,,,,364,,,,395,199,241,268
Profit & Loss,Profit before tax,1059,,,,789,,,,262,,,,1601,567,609,755
Profit & Loss,Tax %,27%,,,,30%,,,,35%,,,,27%,37%,34%,14%
Profit & Loss,Net Profit,804,,,,582,,,,148,,,,1226,376,461,729
Profit & Loss,EPS in Rs,6.18,,,,4.48,,,,1.14,,,,9.43,32.86,40.32,63.74
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,130,,,,130,,,,130,,,,130,114,114,114
Balance Sheet,Reserves,7476,,,,8036,,,,8186,,,,9294,1997,2456,3185
Balance Sheet,Borrowings,2701,,,,2396,,,,2628,,,,1937,1829,2300,3051
