Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,176,165,156,159,167,186,205,221,233,247,261,265,270,,,,,,,,,,,,
Quarterly Results,Expenses,141,183,140,154,173,177,188,194,199,210,212,205,200,,,,,,,,,,,,
Quarterly Results,Operating Profit,35,-17,16,5,-6,8,17,27,33,37,49,60,71,,,,,,,,,,,,
Quarterly Results,OPM %,20%,-10%,10%,3%,-4%,5%,8%,12%,14%,15%,19%,23%,26%,,,,,,,,,,,,
Quarterly Results,Other Income,16,23,36,29,35,-60,56,71,74,81,58,75,91,,,,,,,,,,,,
Quarterly Results,Interest,2,1,2,2,2,1,2,2,3,2,2,2,3,,,,,,,,,,,,
Quarterly Results,Depreciation,9,9,7,7,7,7,8,8,9,10,12,12,12,,,,,,,,,,,,
Quarterly Results,Profit before tax,39,-4,43,24,20,-60,64,88,96,106,92,121,147,,,,,,,,,,,,
Quarterly Results,Tax %,14%,-20%,23%,20%,-8%,-19%,19%,14%,13%,21%,22%,24%,22%,,,,,,,,,,,,
Quarterly Results,Net Profit,34,-4,33,19,22,-48,52,75,84,83,72,92,116,,,,,,,,,,,,
Quarterly Results,EPS in Rs,5.43,-0.57,3.94,2.32,2.64,-5.74,6.19,8.93,9.91,9.81,8.44,10.82,13.61,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,675,,,,647,,,,845,,,,1043,259,461,590,668,719,782,892,953,,,,
Profit & Loss,Expenses,520,,,,649,,,,759,,,,826,195,319,424,523,609,617,663,680,,,,
Profit & Loss,Operating Profit,155,,,,-2,,,,86,,,,217,65,142,166,144,110,164,229,273,,,,
Profit & Loss,OPM %,23%,,,,-0%,,,,10%,,,,21%,25%,31%,28%,22%,15%,21%,26%,29%,,,,
Profit & Loss,Other Income,150,,,,122,,,,142,,,,305,18,40,49,80,87,66,93,140,,,,
Profit & Loss,Interest,7,,,,7,,,,8,,,,9,0,0,0,0,0,0,0,9,,,,
Profit & Loss,Depreciation,42,,,,30,,,,32,,,,46,9,17,24,31,40,36,34,52,,,,
Profit & Loss,Profit before tax,255,,,,83,,,,188,,,,467,73,165,190,193,156,194,288,352,,,,
Profit & Loss,Tax %,16%,,,,15%,,,,13%,,,,22%,29%,27%,27%,26%,22%,26%,28%,23%,,,,
Profit & Loss,Net Profit,214,,,,71,,,,163,,,,363,52,121,139,143,121,143,207,272,,,,
Profit & Loss,EPS in Rs,34.61,,,,8.47,,,,19.30,,,,42.68,,17.19,19.70,20.55,17.45,21.25,31.94,41.96,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,12%,10%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,62,,,,84,,,,84,,,,85,52,70,70,69,70,67,65,65,,,,
Balance Sheet,Reserves,1202,,,,3403,,,,3583,,,,3938,54,464,603,670,836,912,934,1223,,,,
Balance Sheet,Borrowings,63,,,,55,,,,68,,,,85,1,0,0,0,0,0,4,76,,,,
Balance Sheet,Other Liabilities,459,,,,491,,,,601,,,,752,141,231,291,309,360,431,546,468,,,,
Balance Sheet,Total Liabilities,1786,,,,4033,,,,4337,,,,4861,248,765,965,1048,1265,1410,1549,1832,,,,
Balance Sheet,Fixed Assets,138,,,,134,,,,152,,,,147,35,53,92,139,156,149,126,172,,,,
