Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2022
Quarterly Results,Sales,59.32,62.60,54.75,59.31,60.52,58.93,66.65,66.83,,,,,
Quarterly Results,Expenses,53.04,55.26,46.97,50.50,52.98,52.40,60.40,61.06,,,,,
Quarterly Results,Operating Profit,6.28,7.34,7.78,8.81,7.54,6.53,6.25,5.77,,,,,
Quarterly Results,OPM %,10.59%,11.73%,14.21%,14.85%,12.46%,11.08%,9.38%,8.63%,,,,,
Quarterly Results,Other Income,0.98,1.04,0.62,0.88,1.48,0.19,1.32,1.53,,,,,
Quarterly Results,Interest,0.37,0.21,0.18,0.56,0.47,0.51,0.58,0.59,,,,,
Quarterly Results,Depreciation,1.03,1.08,1.11,1.08,1.13,1.16,1.18,1.25,,,,,
Quarterly Results,Profit before tax,5.86,7.09,7.11,8.05,7.42,5.05,5.81,5.46,,,,,
Quarterly Results,Tax %,22.87%,26.09%,26.72%,30.43%,24.26%,17.43%,27.71%,21.98%,,,,,
Quarterly Results,Net Profit,4.51,5.24,5.21,5.61,5.61,4.17,4.21,4.25,,,,,
Quarterly Results,EPS in Rs,0.49,0.57,0.57,0.61,0.61,0.45,0.46,0.46,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,236,,,,253,,,,,
Profit & Loss,Expenses,,,,205,,,,227,,,,,
Profit & Loss,Operating Profit,,,,31,,,,26,,,,,
Profit & Loss,OPM %,,,,13%,,,,10%,,,,,
Profit & Loss,Other Income,,,,4,,,,5,,,,,
Profit & Loss,Interest,,,,2,,,,2,,,,,
Profit & Loss,Depreciation,,,,4,,,,5,,,,,
Profit & Loss,Profit before tax,,,,28,,,,24,,,,,
Profit & Loss,Tax %,,,,27%,,,,23%,,,,,
Profit & Loss,Net Profit,,,,21,,,,18,,,,,
Profit & Loss,EPS in Rs,,,,2.24,,,,1.99,,,,,
Profit & Loss,Dividend Payout %,,,,13%,,,,20%,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,18,,,,18,,,,,
Balance Sheet,Reserves,,,,151,,,,166,,,,,
Balance Sheet,Borrowings,,,,3,,,,8,,,,,
Balance Sheet,Other Liabilities,,,,26,,,,36,,,,,
Balance Sheet,Total Liabilities,,,,198,,,,228,,,,,
Balance Sheet,Fixed Assets,,,,52,,,,73,,,,,
Balance Sheet,CWIP,,,,16,,,,4,,,,,
Balance Sheet,Investments,,,,18,,,,25,,,,,
Balance Sheet,Other Assets,,,,111,,,,126,,,,,
Balance Sheet,Total Assets,,,,198,,,,228,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,22,,,,10,,,,,
Cash Flows,Cash from Investing Activity,,,,-15,,,,-9,,,,,
Cash Flows,Cash from Financing Activity,,,,-6,,,,2,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,2,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,56,,,,60,,,,,
Ratios,Inventory Days,,,,118,,,,130,,,,,
Ratios,Days Payable,,,,40,,,,53,,,,,
Ratios,Cash Conversion Cycle,,,,134,,,,137,,,,,
Ratios,Working Capital Days,,,,137,,,,157,,,,,
Ratios,ROCE %,,,,,,,,14%,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,
Shareholding Pattern (Quarterly),FIIs,0.10%,2.81%,0.71%,0.25%,0.08%,0.10%,0.03%,0.16%,5.01%,4.08%,0.50%,0.01%,
Shareholding Pattern (Quarterly),DIIs,2.09%,3.72%,3.72%,3.72%,3.72%,3.28%,2.86%,2.82%,0.00%,0.57%,0.57%,0.57%,
Shareholding Pattern (Quarterly),Public,26.47%,22.12%,24.22%,24.68%,24.86%,25.28%,25.76%,25.66%,23.64%,23.99%,27.58%,28.06%,
Shareholding Pattern (Quarterly),No. of Shareholders,22912,26757,43680,49909,52081,56369,56881,57835,26116,25952,25147,25152,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,71.35%,,,,71.35%,,,,71.35%,71.35%
Shareholding Pattern (Yearly),FIIs,,,,0.25%,,,,0.16%,,,,0.01%,5.43%
Shareholding Pattern (Yearly),DIIs,,,,3.72%,,,,2.82%,,,,0.57%,0.00%
Shareholding Pattern (Yearly),Public,,,,24.68%,,,,25.66%,,,,28.06%,23.22%
Shareholding Pattern (Yearly),No. of Shareholders,,,,49909,,,,57835,,,,25152,25710
,,,,,,,,,,,,,,
