Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2018,Mar 2019
Quarterly Results,Sales,1252,1179,1137,890,880,770,1259,940,904,944,951,1166,1198,,,,,,,,,
Quarterly Results,Expenses,1123,1120,1135,932,857,794,1228,997,895,915,948,1102,1116,,,,,,,,,
Quarterly Results,Operating Profit,129,59,2,-42,23,-24,31,-56,10,29,3,63,82,,,,,,,,,
Quarterly Results,OPM %,10%,5%,0%,-5%,3%,-3%,2%,-6%,1%,3%,0%,5%,7%,,,,,,,,,
Quarterly Results,Other Income,1,1,19,0,5,1,1,4,1,1,3,2,23,,,,,,,,,
Quarterly Results,Interest,14,11,12,16,20,24,31,37,41,38,38,40,42,,,,,,,,,
Quarterly Results,Depreciation,8,8,8,8,8,8,10,10,11,12,12,13,12,,,,,,,,,
Quarterly Results,Profit before tax,107,40,1,-66,0,-55,-9,-99,-40,-19,-44,14,51,,,,,,,,,
Quarterly Results,Tax %,0%,4%,-16%,0%,-1373%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
Quarterly Results,Net Profit,107,39,1,-66,2,-55,-9,-99,-40,-19,-44,14,51,,,,,,,,,
Quarterly Results,EPS in Rs,4.10,1.48,0.04,-2.52,0.06,-2.11,-0.34,-3.79,-1.55,-0.73,-1.69,0.52,1.96,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4038,,,,4085,,,,3873,,,,4259,2908,2656,2758,2525,2459,2106,2043,,
Profit & Loss,Expenses,3734,,,,4041,,,,3910,,,,4080,2867,2629,2635,2464,2479,2128,1950,,
Profit & Loss,Operating Profit,304,,,,44,,,,-37,,,,179,41,27,122,61,-20,-22,93,,
Profit & Loss,OPM %,8%,,,,1%,,,,-1%,,,,4%,1%,1%,4%,2%,-1%,-1%,5%,,
Profit & Loss,Other Income,9,,,,22,,,,4,,,,28,202,136,5,-24,55,20,10,,
Profit & Loss,Interest,62,,,,60,,,,132,,,,157,45,50,43,54,91,92,66,,
Profit & Loss,Depreciation,31,,,,31,,,,39,,,,48,158,143,117,78,79,86,34,,
Profit & Loss,Profit before tax,219,,,,-25,,,,-203,,,,1,40,-31,-33,-94,-135,-180,3,,
Profit & Loss,Tax %,-23%,,,,-1%,,,,0%,,,,0%,-1%,-56%,-38%,-140%,-40%,75%,-3245%,,
Profit & Loss,Net Profit,269,,,,-25,,,,-203,,,,1,40,-14,-21,38,-81,-317,113,,
Profit & Loss,EPS in Rs,10.30,,,,-0.94,,,,-7.79,,,,0.05,2.65,-0.89,-1.36,2.48,-5.36,-12.12,4.34,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,38%,-112%,-73%,40%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,
