Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,374,526,576,474,509,505,591,539,554,553,673,598,613,
Quarterly Results,Expenses,354,480,569,435,456,454,539,497,500,497,600,539,536,
Quarterly Results,Operating Profit,20,46,7,39,53,50,52,43,53,56,73,59,77,
Quarterly Results,OPM %,5%,9%,1%,8%,10%,10%,9%,8%,10%,10%,11%,10%,13%,
Quarterly Results,Other Income,2,1,-15,-10,-5,2,2,3,-13,2,6,4,6,
Quarterly Results,Interest,4,6,6,5,4,3,3,2,2,2,2,1,1,
Quarterly Results,Depreciation,9,14,16,14,13,13,13,13,14,14,14,15,15,
Quarterly Results,Profit before tax,9,27,-30,10,31,36,38,31,24,43,64,47,66,
Quarterly Results,Tax %,48%,27%,-30%,32%,33%,29%,32%,25%,13%,26%,25%,26%,26%,
Quarterly Results,Net Profit,5,20,-21,7,21,25,26,23,21,32,48,35,49,
Quarterly Results,EPS in Rs,0.24,1.03,-1.07,0.36,1.06,1.32,1.34,1.19,1.11,1.66,2.47,1.81,2.56,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,382,,,,2085,,,,2189,,,,2437,8
Profit & Loss,Expenses,363,,,,1939,,,,1991,,,,2171,9
Profit & Loss,Operating Profit,18,,,,145,,,,199,,,,266,-1
Profit & Loss,OPM %,5%,,,,7%,,,,9%,,,,11%,-17%
Profit & Loss,Other Income,2,,,,-30,,,,-6,,,,19,0
Profit & Loss,Interest,4,,,,20,,,,10,,,,6,0
Profit & Loss,Depreciation,9,,,,56,,,,54,,,,58,0
Profit & Loss,Profit before tax,7,,,,39,,,,128,,,,221,-2
Profit & Loss,Tax %,63%,,,,31%,,,,26%,,,,26%,1%
Profit & Loss,Net Profit,3,,,,26,,,,96,,,,164,-2
Profit & Loss,EPS in Rs,0.13,,,,1.37,,,,4.95,,,,8.50,-3.38
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,193,,,,193,,,,193,,,,193,5
Balance Sheet,Reserves,3883,,,,3904,,,,4032,,,,4215,-5
Balance Sheet,Borrowings,256,,,,140,,,,39,,,,26,2
Balance Sheet,Other Liabilities,1794,,,,1792,,,,1864,,,,1904,5
Balance Sheet,Total Liabilities,6127,,,,6029,,,,6128,,,,6338,7
Balance Sheet,Fixed Assets,5505,,,,5481,,,,5463,,,,5473,0
Balance Sheet,CWIP,0,,,,2,,,,1,,,,0,0
Balance Sheet,Investments,62,,,,76,,,,55,,,,59,0
Balance Sheet,Other Assets,560,,,,470,,,,609,,,,806,7
Balance Sheet,Total Assets,6127,,,,6029,,,,6128,,,,6338,7
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,37,,,,181,,,,194,,,,246,0
Cash Flows,Cash from Investing Activity,12,,,,-26,,,,-32,,,,-168,0
Cash Flows,Cash from Financing Activity,-31,,,,-154,,,,-120,,,,-43,-0
Cash Flows,Net Cash Flow,18,,,,1,,,,43,,,,34,-0
,,,,,,,,,,,,,,,
Ratios,Debtor Days,144,,,,22,,,,23,,,,27,110
Ratios,Inventory Days,656,,,,96,,,,104,,,,92,109
Ratios,Days Payable,499,,,,91,,,,80,,,,66,256
Ratios,Cash Conversion Cycle,300,,,,27,,,,47,,,,52,-37
Ratios,Working Capital Days,-330,,,,-79,,,,-77,,,,-59,-35
Ratios,ROCE %,1%,,,,2%,,,,4%,,,,5%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.33%,73.23%,73.23%,72.56%,72.56%,72.56%,72.56%,62.56%,62.56%,62.56%,62.56%,62.56%,
Shareholding Pattern (Quarterly),FIIs,,11.50%,11.55%,11.54%,10.94%,10.76%,10.61%,10.76%,16.01%,13.21%,12.62%,12.56%,12.53%,
Shareholding Pattern (Quarterly),DIIs,,0.79%,1.22%,1.48%,1.87%,2.73%,3.45%,4.00%,5.64%,6.30%,6.67%,6.60%,7.01%,
Shareholding Pattern (Quarterly),Government,,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,0.86%,
Shareholding Pattern (Quarterly),Public,,13.52%,13.15%,12.90%,13.79%,13.10%,12.53%,11.83%,14.93%,17.08%,17.29%,17.41%,17.03%,
Shareholding Pattern (Quarterly),No. of Shareholders,,13727,14761,14369,14118,14836,15838,21843,26751,28115,31628,32453,30683,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.85%,,,,72.56%,,,,62.56%,,,,62.56%,
Shareholding Pattern (Yearly),FIIs,11.53%,,,,10.94%,,,,16.01%,,,,12.53%,
Shareholding Pattern (Yearly),DIIs,0.68%,,,,1.87%,,,,5.64%,,,,7.01%,
Shareholding Pattern (Yearly),Government,0.86%,,,,0.86%,,,,0.86%,,,,0.86%,
Shareholding Pattern (Yearly),Public,13.08%,,,,13.79%,,,,14.93%,,,,17.03%,
Shareholding Pattern (Yearly),No. of Shareholders,13345,,,,14118,,,,26751,,,,30683,
,,,,,,,,,,,,,,,
