Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,131,128,135,128,136,135,148,135,154,157,177,166,187,,,,,,,
Quarterly Results,Expenses,93,92,103,100,111,100,110,103,121,115,129,124,130,,,,,,,
Quarterly Results,Operating Profit,38,36,32,28,25,35,38,32,34,42,48,42,57,,,,,,,
Quarterly Results,OPM %,29%,28%,23%,22%,18%,26%,25%,23%,22%,27%,27%,25%,30%,,,,,,,
Quarterly Results,Other Income,3,1,2,3,4,1,3,3,3,4,3,4,5,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Quarterly Results,Depreciation,10,9,9,10,11,10,11,13,13,11,13,17,14,,,,,,,
Quarterly Results,Profit before tax,30,28,24,20,17,25,28,20,23,34,37,28,47,,,,,,,
Quarterly Results,Tax %,29%,22%,35%,25%,28%,31%,28%,26%,25%,29%,28%,32%,54%,,,,,,,
Quarterly Results,Net Profit,21,22,15,15,12,17,20,15,17,24,26,19,22,,,,,,,
Quarterly Results,EPS in Rs,4.01,4.11,2.92,2.78,2.38,3.27,3.84,2.90,3.36,4.56,5.04,3.61,4.09,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,589,,,,527,,,,572,,,,687,183,241,304,356,403,434,495
Profit & Loss,Expenses,353,,,,403,,,,432,,,,498,110,147,189,212,249,261,323
Profit & Loss,Operating Profit,236,,,,123,,,,140,,,,189,73,94,115,145,154,174,171
Profit & Loss,OPM %,40%,,,,23%,,,,24%,,,,27%,40%,39%,38%,41%,38%,40%,35%
Profit & Loss,Other Income,29,,,,9,,,,9,,,,15,8,7,-15,21,11,1,12
Profit & Loss,Interest,3,,,,5,,,,6,,,,3,0,1,0,0,1,2,1
Profit & Loss,Depreciation,34,,,,39,,,,47,,,,55,13,18,18,20,26,32,30
Profit & Loss,Profit before tax,228,,,,89,,,,96,,,,145,68,82,82,145,138,140,152
Profit & Loss,Tax %,23%,,,,27%,,,,28%,,,,38%,35%,37%,48%,36%,38%,37%,26%
Profit & Loss,Net Profit,176,,,,64,,,,69,,,,91,44,52,43,93,85,88,113
Profit & Loss,EPS in Rs,33.29,,,,12.18,,,,13.36,,,,17.27,8.95,9.64,7.98,17.36,16.13,16.73,21.40
Profit & Loss,Dividend Payout %,45%,,,,148%,,,,135%,,,,122%,171%,104%,125%,58%,124%,30%,117%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,53,,,,53,,,,53,,,,53,51,54,54,54,53,53,53
