Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,83.32%,73.68%,73.68%,73.67%,73.67%,73.66%,73.60%,73.52%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),FIIs,0.18%,3.25%,2.29%,1.96%,3.90%,3.54%,3.70%,3.48%,24.68%,20.62%,17.87%,19.51%,,,
Shareholding Pattern (Quarterly),DIIs,0.65%,9.08%,8.21%,8.35%,7.07%,4.21%,3.99%,2.33%,7.33%,6.50%,6.58%,8.47%,,,
Shareholding Pattern (Quarterly),Public,15.85%,13.99%,15.83%,16.00%,15.35%,18.59%,18.72%,20.67%,67.99%,72.87%,75.54%,72.03%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,272548,263629,276665,278288,294885,452749,598080,690424,914077,1068325,1138626,1124090,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.67%,,,,73.52%,,,,0.00%,83.32%,83.32%,83.32%
Shareholding Pattern (Yearly),FIIs,,,,1.96%,,,,3.48%,,,,19.51%,5.35%,4.39%,0.14%
Shareholding Pattern (Yearly),DIIs,,,,8.35%,,,,2.33%,,,,8.47%,4.69%,3.13%,0.66%
Shareholding Pattern (Yearly),Public,,,,16.00%,,,,20.67%,,,,72.03%,6.64%,9.16%,15.88%
Shareholding Pattern (Yearly),No. of Shareholders,,,,278288,,,,690424,,,,1124090,137856,183419,270300
,,,,,,,,,,,,,,,,
