Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,159.17,183.54,104.44,256.15,188.35,279.55,149.66,242.80,194.62,257.16,117.36,209.88,137.51,,,,,,,,,
Quarterly Results,Expenses,155.93,189.63,132.04,245.86,172.70,262.06,139.31,224.95,180.83,232.86,112.20,211.25,137.28,,,,,,,,,
Quarterly Results,Operating Profit,3.24,-6.09,-27.60,10.29,15.65,17.49,10.35,17.85,13.79,24.30,5.16,-1.37,0.23,,,,,,,,,
Quarterly Results,OPM %,2.04%,-3.32%,-26.43%,4.02%,8.31%,6.26%,6.92%,7.35%,7.09%,9.45%,4.40%,-0.65%,0.17%,,,,,,,,,
Quarterly Results,Other Income,1.48,3.25,0.03,0.04,0.11,0.66,0.32,1.23,1.18,0.90,1.06,0.68,1.01,,,,,,,,,
Quarterly Results,Interest,3.90,3.78,3.95,3.84,5.17,4.73,4.65,5.24,5.76,5.59,5.81,5.86,6.02,,,,,,,,,
Quarterly Results,Depreciation,2.20,2.22,2.20,2.41,2.31,2.84,2.97,3.11,3.07,3.39,3.34,3.83,3.90,,,,,,,,,
Quarterly Results,Profit before tax,-1.38,-8.84,-33.72,4.08,8.28,10.58,3.05,10.73,6.14,16.22,-2.93,-10.38,-8.68,,,,,,,,,
Quarterly Results,Tax %,43.48%,3.05%,2.14%,-11.52%,-93.12%,26.09%,18.03%,25.91%,41.53%,15.17%,22.53%,2.99%,-59.33%,,,,,,,,,
Quarterly Results,Net Profit,-1.97,-9.11,-34.44,4.55,15.99,7.86,2.51,7.96,3.60,13.84,-3.56,-10.89,-3.66,,,,,,,,,
Quarterly Results,EPS in Rs,-0.40,-1.84,-6.94,0.92,3.22,1.58,0.51,1.60,0.73,2.79,-0.72,-2.20,-0.72,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,545,,,,732,,,,867,,,,722,370,380,480,387,446,588,534,589,
Profit & Loss,Expenses,505,,,,740,,,,807,,,,694,345,360,442,357,416,558,489,522,
Profit & Loss,Operating Profit,39,,,,-8,,,,59,,,,28,25,20,38,30,30,29,45,67,
Profit & Loss,OPM %,7%,,,,-1%,,,,7%,,,,4%,7%,5%,8%,8%,7%,5%,8%,11%,
Profit & Loss,Other Income,8,,,,3,,,,3,,,,4,1,1,2,1,3,2,1,1,
Profit & Loss,Interest,14,,,,17,,,,20,,,,23,14,13,17,13,13,15,17,11,
Profit & Loss,Depreciation,8,,,,9,,,,12,,,,14,5,5,4,5,6,6,7,7,
Profit & Loss,Profit before tax,25,,,,-30,,,,30,,,,-6,7,4,18,12,14,10,21,49,
Profit & Loss,Tax %,20%,,,,-24%,,,,28%,,,,-30%,40%,41%,41%,35%,34%,40%,11%,26%,
Profit & Loss,Net Profit,20,,,,-23,,,,22,,,,-4,4,2,11,8,9,6,18,36,
Profit & Loss,EPS in Rs,4.02,,,,-4.64,,,,4.42,,,,-0.84,0.88,0.42,2.17,1.64,1.85,1.21,3.73,7.27,
Profit & Loss,Dividend Payout %,5%,,,,0%,,,,5%,,,,0%,17%,0%,8%,9%,8%,12%,4%,3%,
,,,,,,,,,,,,,,,,,,,,,,,
