Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,1329,1803,1953,2303,2183,2628,2982,3467,3298,4104,4157,4657,4217,,,,,,,,,
Quarterly Results,Expenses,1204,1512,1697,1980,1980,2261,2526,2838,2828,3492,3514,3809,3566,,,,,,,,,
Quarterly Results,Operating Profit,125,292,256,323,203,367,457,629,470,613,643,847,651,,,,,,,,,
Quarterly Results,OPM %,9%,16%,13%,14%,9%,14%,15%,18%,14%,15%,15%,18%,15%,,,,,,,,,
Quarterly Results,Other Income,44,78,84,91,89,79,105,110,695,102,54,80,74,,,,,,,,,
Quarterly Results,Interest,81,95,91,91,92,92,95,99,33,32,33,37,38,,,,,,,,,
Quarterly Results,Depreciation,89,127,112,118,137,141,152,165,213,181,197,245,272,,,,,,,,,
Quarterly Results,Profit before tax,-1,147,137,204,64,212,314,475,919,501,467,646,416,,,,,,,,,
Quarterly Results,Tax %,1530%,22%,42%,24%,30%,21%,27%,22%,23%,22%,28%,23%,25%,,,,,,,,,
Quarterly Results,Net Profit,-21,115,79,155,45,167,228,371,712,391,335,497,312,,,,,,,,,
Quarterly Results,EPS in Rs,0.00,3.67,2.62,4.70,1.52,4.88,6.60,10.53,19.81,11.04,9.53,13.99,8.95,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4498,,,,8242,,,,12375,,,,17135,2333,2284,1686,1812,2157,2630,3486,2593,
Profit & Loss,Expenses,3903,,,,7128,,,,10404,,,,14315,2343,2196,1596,1679,1949,2390,2957,2479,
Profit & Loss,Operating Profit,595,,,,1114,,,,1971,,,,2820,-10,88,90,134,208,241,529,114,
Profit & Loss,OPM %,13%,,,,14%,,,,16%,,,,16%,-0%,4%,5%,7%,10%,9%,15%,4%,
Profit & Loss,Other Income,152,,,,341,,,,989,,,,305,91,208,86,81,27,30,147,199,
Profit & Loss,Interest,325,,,,409,,,,368,,,,200,26,22,48,46,44,51,263,261,
Profit & Loss,Depreciation,311,,,,494,,,,671,,,,895,54,75,39,41,46,52,247,257,
Profit & Loss,Profit before tax,111,,,,552,,,,1921,,,,2030,1,200,90,128,147,168,165,-205,
Profit & Loss,Tax %,69%,,,,29%,,,,23%,,,,24%,1357%,35%,39%,34%,41%,44%,36%,-12%,
Profit & Loss,Net Profit,35,,,,394,,,,1477,,,,1534,-19,129,55,85,87,95,106,-181,
Profit & Loss,EPS in Rs,2.98,,,,12.51,,,,41.82,,,,43.51,-0.56,3.89,1.66,2.55,2.62,2.92,3.46,-4.11,
Profit & Loss,Dividend Payout %,57%,,,,18%,,,,8%,,,,11%,-125%,26%,54%,39%,44%,45%,29%,-15%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,36,,,,36,,,,36,,,,36,33,33,33,33,33,33,36,36,
Balance Sheet,Reserves,2328,,,,2560,,,,4032,,,,5426,958,1389,1431,1514,1562,1613,2352,2277,
Balance Sheet,Borrowings,4725,,,,4464,,,,1753,,,,2237,332,267,400,392,391,494,300,300,
Balance Sheet,Other Liabilities,637,,,,1022,,,,1341,,,,1721,614,518,292,283,349,418,2819,3111,
Balance Sheet,Total Liabilities,7726,,,,8082,,,,7162,,,,9420,1936,2207,2157,2222,2336,2559,5507,5724,
Balance Sheet,Fixed Assets,4687,,,,4527,,,,2450,,,,3895,720,668,477,549,613,662,2738,3054,
Balance Sheet,CWIP,105,,,,102,,,,224,,,,180,138,92,55,5,10,87,23,108,
Balance Sheet,Investments,1284,,,,1110,,,,1416,,,,1480,300,740,1067,1080,1023,883,1515,1487,
Balance Sheet,Other Assets,1651,,,,2343,,,,3072,,,,3865,778,706,558,588,691,927,1230,1075,
Balance Sheet,Total Assets,7726,,,,8082,,,,7162,,,,9420,1936,2207,2157,2222,2336,2559,5507,5724,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,58,,,,595,,,,1349,,,,1661,-46,-10,109,102,77,21,361,285,
Cash Flows,Cash from Investing Activity,56,,,,-103,,,,-508,,,,-923,-48,-306,-98,-44,-4,-37,-809,18,
Cash Flows,Cash from Financing Activity,-108,,,,-491,,,,-629,,,,-694,-50,310,-13,-51,-74,37,452,-283,
Cash Flows,Net Cash Flow,6,,,,1,,,,211,,,,44,-145,-6,-2,7,-1,21,5,20,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,1,,,,2,,,,2,,,,1,3,3,3,1,3,2,2,3,
Ratios,Inventory Days,128,,,,105,,,,83,,,,77,90,91,128,126,122,138,118,102,
Ratios,Days Payable,56,,,,51,,,,41,,,,35,83,61,76,70,74,68,58,65,
Ratios,Cash Conversion Cycle,74,,,,55,,,,45,,,,43,9,33,55,58,51,72,62,40,
Ratios,Working Capital Days,50,,,,38,,,,28,,,,28,22,-14,-25,36,41,37,39,39,
Ratios,ROCE %,9%,,,,12%,,,,24%,,,,31%,1%,4%,7%,9%,10%,11%,17%,2%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,37.01%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,26.82%,25.92%,24.76%,24.43%,25.01%,26.17%,25.91%,26.81%,27.87%,26.62%,21.68%,19.65%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,14.58%,15.16%,16.11%,16.10%,15.81%,14.89%,14.82%,13.89%,13.18%,13.39%,15.25%,17.20%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,21.59%,21.90%,22.12%,22.45%,22.17%,21.92%,22.26%,22.29%,21.95%,22.98%,26.01%,26.08%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,124298,137123,132770,136168,130471,149010,175241,215715,246571,281635,346036,405274,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,37.01%,,,,37.01%,,,,37.01%,,,,37.01%,,,,32.61%,32.61%,32.61%,37.01%,37.01%,32.61%
Shareholding Pattern (Yearly),FIIs,28.32%,,,,24.43%,,,,26.81%,,,,19.65%,,,,26.74%,24.25%,22.19%,21.18%,29.90%,0.00%
Shareholding Pattern (Yearly),DIIs,13.43%,,,,16.10%,,,,13.89%,,,,17.20%,,,,12.02%,14.70%,16.90%,15.59%,10.27%,42.44%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.04%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,21.24%,,,,22.45%,,,,22.29%,,,,26.08%,,,,28.63%,28.43%,28.29%,26.22%,22.83%,24.95%
Shareholding Pattern (Yearly),No. of Shareholders,112460,,,,136168,,,,215715,,,,405274,,,,39921,45237,45507,66124,84450,33504
,,,,,,,,,,,,,,,,,,,,,,,
