Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,362,318,271,357,434,320,204,382,406,370,315,371,291,,,,,,,
Quarterly Results,Expenses,351,288,248,332,413,296,196,364,384,347,304,359,259,,,,,,,
Quarterly Results,Operating Profit,11,30,22,25,21,24,8,18,22,23,11,12,33,,,,,,,
Quarterly Results,OPM %,3%,10%,8%,7%,5%,8%,4%,5%,5%,6%,4%,3%,11%,,,,,,,
Quarterly Results,Other Income,15,1,-0,8,4,6,7,9,12,5,5,11,5,,,,,,,
Quarterly Results,Interest,4,5,3,6,6,6,4,5,6,4,2,4,8,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Quarterly Results,Profit before tax,20,25,18,26,18,23,10,21,27,24,13,19,29,,,,,,,
Quarterly Results,Tax %,26%,27%,23%,26%,37%,25%,31%,26%,21%,26%,27%,28%,29%,,,,,,,
Quarterly Results,Net Profit,15,18,14,20,11,17,7,15,21,18,9,14,20,,,,,,,
Quarterly Results,EPS in Rs,2.52,3.05,2.28,3.27,1.88,2.91,1.10,2.58,3.53,3.00,1.53,2.26,3.41,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1134,,,,1379,,,,1312,,,,1348,355,591,943,1107,749,770,
Profit & Loss,Expenses,1041,,,,1281,,,,1240,,,,1269,341,571,908,1072,702,702,
Profit & Loss,Operating Profit,93,,,,98,,,,72,,,,80,14,20,35,35,48,67,
Profit & Loss,OPM %,8%,,,,7%,,,,6%,,,,6%,4%,3%,4%,3%,6%,9%,
Profit & Loss,Other Income,37,,,,13,,,,33,,,,26,0,-0,0,1,13,6,
Profit & Loss,Interest,13,,,,20,,,,21,,,,18,9,10,15,16,14,12,
Profit & Loss,Depreciation,3,,,,4,,,,4,,,,3,2,2,2,2,3,3,
Profit & Loss,Profit before tax,114,,,,87,,,,80,,,,85,3,8,18,18,43,59,
Profit & Loss,Tax %,26%,,,,28%,,,,25%,,,,28%,34%,34%,35%,49%,26%,23%,
Profit & Loss,Net Profit,85,,,,63,,,,61,,,,61,2,6,12,9,32,45,
Profit & Loss,EPS in Rs,13.97,,,,10.45,,,,9.96,,,,10.21,0.37,1.01,2.15,1.64,5.74,7.65,
Profit & Loss,Dividend Payout %,66%,,,,4%,,,,0%,,,,0%,0%,0%,0%,20%,6%,17%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,4,4,4,4,4,4,
Balance Sheet,Reserves,194,,,,262,,,,319,,,,414,33,38,50,57,86,131,
Balance Sheet,Borrowings,338,,,,413,,,,393,,,,364,132,198,292,348,210,188,
Balance Sheet,Other Liabilities,123,,,,97,,,,46,,,,121,15,60,100,83,59,92,
Balance Sheet,Total Liabilities,667,,,,784,,,,770,,,,911,183,300,446,492,359,415,
Balance Sheet,Fixed Assets,37,,,,39,,,,37,,,,40,21,21,21,31,38,36,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,3,0,0,
Balance Sheet,Investments,2,,,,12,,,,9,,,,11,0,0,0,0,0,0,
Balance Sheet,Other Assets,628,,,,733,,,,725,,,,860,162,279,425,459,321,379,
Balance Sheet,Total Assets,667,,,,784,,,,770,,,,911,183,300,446,492,359,415,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-116,,,,-89,,,,47,,,,62,46,-67,-77,-21,162,35,
Cash Flows,Cash from Investing Activity,-6,,,,-5,,,,-4,,,,-8,-1,-2,-2,-15,-7,-1,
Cash Flows,Cash from Financing Activity,125,,,,89,,,,-39,,,,-12,-32,56,78,38,-155,-33,
Cash Flows,Net Cash Flow,3,,,,-4,,,,3,,,,43,13,-13,-1,2,0,1,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,130,,,,107,,,,134,,,,130,85,46,74,92,125,120,
Ratios,Inventory Days,80,,,,101,,,,71,,,,102,77,147,103,64,33,67,
Ratios,Days Payable,32,,,,24,,,,10,,,,9,14,18,39,23,20,28,
Ratios,Cash Conversion Cycle,177,,,,183,,,,195,,,,223,148,174,138,132,139,159,
Ratios,Working Capital Days,161,,,,168,,,,187,,,,187,137,135,126,122,126,134,
Ratios,ROCE %,29%,,,,17%,,,,14%,,,,14%,,9%,11%,9%,16%,23%,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.00%,72.00%,71.72%,71.72%,71.72%,71.72%,72.16%,72.29%,72.29%,72.29%,72.43%,,,,,,,70.84%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.07%,0.00%,0.00%,0.08%,0.26%,0.67%,0.23%,0.17%,0.72%,,,,,,,0.91%
Shareholding Pattern (Quarterly),DIIs,,,0.06%,0.16%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.25%,0.25%,0.25%,,,,,,,0.49%
Shareholding Pattern (Quarterly),Public,,,27.93%,27.83%,28.21%,28.28%,28.27%,28.20%,27.58%,27.05%,27.23%,27.29%,26.59%,,,,,,,27.77%
Shareholding Pattern (Quarterly),No. of Shareholders,,,18983,18748,19395,21031,26016,25302,25248,25571,34199,33919,27780,,,,,,,25783
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.00%,,,,71.72%,,,,72.16%,,,,72.43%,,73.62%,73.62%,73.62%,73.62%,71.61%,70.84%
Shareholding Pattern (Yearly),FIIs,0.12%,,,,0.07%,,,,0.26%,,,,0.72%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.91%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.25%,,5.48%,3.36%,3.36%,3.36%,3.15%,0.49%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,3.18%,2.09%,2.45%,2.40%,2.25%,0.00%
Shareholding Pattern (Yearly),Public,27.88%,,,,28.21%,,,,27.58%,,,,26.59%,,17.72%,20.93%,20.57%,20.62%,23.00%,27.77%
Shareholding Pattern (Yearly),No. of Shareholders,18249,,,,19395,,,,25248,,,,27780,,570,798,771,748,1713,25783
,,,,,,,,,,,,,,,,,,,,,
