Section,,Mar 2020,Mar 2021,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,
Quarterly Results,Expenses,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,
Quarterly Results,OPM %,,,,,,,,
Quarterly Results,Other Income,,,,,,,,
Quarterly Results,Interest,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,
Quarterly Results,Tax %,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,538,499,,,,,,
Profit & Loss,Expenses,324,293,,,,,,
Profit & Loss,Operating Profit,214,206,,,,,,
Profit & Loss,OPM %,40%,41%,,,,,,
Profit & Loss,Other Income,6,4,,,,,,
Profit & Loss,Interest,7,5,,,,,,
Profit & Loss,Depreciation,18,20,,,,,,
Profit & Loss,Profit before tax,194,185,,,,,,
Profit & Loss,Tax %,25%,26%,,,,,,
Profit & Loss,Net Profit,145,136,,,,,,
Profit & Loss,EPS in Rs,24141.67,1396.49,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,,,,,,
,,,,,,,,,
Balance Sheet,Equity Capital,0.60,10,,,,,,
Balance Sheet,Reserves,201,330,,,,,,
Balance Sheet,Borrowings,79,53,,,,,,
Balance Sheet,Other Liabilities,95,143,,,,,,
Balance Sheet,Total Liabilities,375,536,,,,,,
Balance Sheet,Fixed Assets,107,139,,,,,,
Balance Sheet,CWIP,2,3,,,,,,
Balance Sheet,Investments,34,37,,,,,,
Balance Sheet,Other Assets,232,358,,,,,,
Balance Sheet,Total Assets,375,536,,,,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,123,129,,,,,,
Cash Flows,Cash from Investing Activity,-45,-51,,,,,,
Cash Flows,Cash from Financing Activity,-72,-28,,,,,,
Cash Flows,Net Cash Flow,5,51,,,,,,
,,,,,,,,,
Ratios,Debtor Days,80,105,,,,,,
Ratios,Inventory Days,120,253,,,,,,
Ratios,Days Payable,90,128,,,,,,
Ratios,Cash Conversion Cycle,110,231,,,,,,
Ratios,Working Capital Days,78,104,,,,,,
Ratios,ROCE %,,57%,,,,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,86.00%,86.00%,86.00%,86.00%,86.00%,86.00%
Shareholding Pattern (Quarterly),FIIs,,,2.93%,2.01%,2.02%,2.18%,1.10%,2.28%
Shareholding Pattern (Quarterly),DIIs,,,3.70%,3.04%,2.14%,1.75%,2.02%,1.33%
Shareholding Pattern (Quarterly),Public,,,7.37%,8.97%,9.83%,10.06%,10.87%,10.38%
Shareholding Pattern (Quarterly),No. of Shareholders,,,55589,48625,42882,41933,43003,54581
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,86.00%,,,,86.00%
Shareholding Pattern (Yearly),FIIs,,,,2.01%,,,,2.28%
Shareholding Pattern (Yearly),DIIs,,,,3.04%,,,,1.33%
Shareholding Pattern (Yearly),Public,,,,8.97%,,,,10.38%
Shareholding Pattern (Yearly),No. of Shareholders,,,,48625,,,,54581
,,,,,,,,,
