Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,347,347,360,331,328,297,294,259,290,261,241,208,253,,,,
Quarterly Results,Expenses,277,272,280,252,265,237,240,218,242,219,205,176,218,,,,
Quarterly Results,Operating Profit,70,75,80,79,63,59,54,41,47,42,37,32,35,,,,
Quarterly Results,OPM %,20%,22%,22%,24%,19%,20%,18%,16%,16%,16%,15%,15%,14%,,,,
Quarterly Results,Other Income,0,1,2,7,7,1,1,3,4,4,5,5,6,,,,
Quarterly Results,Interest,1,1,2,2,1,1,1,1,2,2,2,2,2,,,,
Quarterly Results,Depreciation,9,10,10,10,9,10,10,11,10,11,12,11,11,,,,
Quarterly Results,Profit before tax,59,65,70,74,59,49,43,32,39,33,28,25,29,,,,
Quarterly Results,Tax %,24%,23%,24%,24%,24%,24%,23%,19%,26%,25%,23%,23%,21%,,,,
Quarterly Results,Net Profit,45,51,53,56,45,37,33,26,29,25,21,19,23,,,,
Quarterly Results,EPS in Rs,10.04,11.19,11.69,12.48,10.04,8.22,7.31,5.75,6.34,5.51,4.69,4.24,5.06,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1227,,,,1366,,,,1140,,,,964,805,1061,907,903
Profit & Loss,Expenses,959,,,,1068,,,,938,,,,818,715,923,811,783
Profit & Loss,Operating Profit,268,,,,298,,,,201,,,,146,90,138,96,120
Profit & Loss,OPM %,22%,,,,22%,,,,18%,,,,15%,11%,13%,11%,13%
Profit & Loss,Other Income,3,,,,15,,,,9,,,,21,2,2,32,44
Profit & Loss,Interest,6,,,,6,,,,6,,,,8,15,18,18,8
Profit & Loss,Depreciation,37,,,,39,,,,42,,,,44,17,30,35,37
Profit & Loss,Profit before tax,229,,,,268,,,,163,,,,114,60,92,74,119
Profit & Loss,Tax %,26%,,,,24%,,,,24%,,,,23%,28%,24%,16%,23%
Profit & Loss,Net Profit,169,,,,205,,,,125,,,,88,44,70,63,91
Profit & Loss,EPS in Rs,37.40,,,,45.40,,,,27.63,,,,19.50,19.30,15.42,13.88,20.21
Profit & Loss,Dividend Payout %,24%,,,,31%,,,,51%,,,,38%,11%,8%,0%,16%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,45,,,,45,,,,45,,,,45,22,45,45,45
