Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,435,393,441,449,444,,
Quarterly Results,Expenses,397,355,398,416,399,,
Quarterly Results,Operating Profit,38,38,43,32,45,,
Quarterly Results,OPM %,9%,10%,10%,7%,10%,,
Quarterly Results,Other Income,5,3,5,4,4,,
Quarterly Results,Interest,6,6,7,5,5,,
Quarterly Results,Depreciation,11,11,11,11,12,,
Quarterly Results,Profit before tax,26,25,29,20,32,,
Quarterly Results,Tax %,25%,26%,25%,26%,26%,,
Quarterly Results,Net Profit,19,18,22,15,24,,
Quarterly Results,EPS in Rs,3.41,3.20,3.86,2.58,4.17,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,1789,,,1808,1498,1713
Profit & Loss,Expenses,,1657,,,1637,1437,1608
Profit & Loss,Operating Profit,,132,,,171,60,105
Profit & Loss,OPM %,,7%,,,9%,4%,6%
Profit & Loss,Other Income,,18,,,16,23,20
Profit & Loss,Interest,,22,,,23,16,20
Profit & Loss,Depreciation,,43,,,45,36,39
Profit & Loss,Profit before tax,,84,,,119,31,66
Profit & Loss,Tax %,,26%,,,26%,27%,26%
Profit & Loss,Net Profit,,63,,,88,22,48
Profit & Loss,EPS in Rs,,11.00,,,15.50,3.94,8.52
Profit & Loss,Dividend Payout %,,0%,,,0%,22%,45%
,,,,,,,,
Balance Sheet,Equity Capital,,57,,,57,57,57
Balance Sheet,Reserves,,313,,,401,236,281
Balance Sheet,Borrowings,,215,,,191,182,192
Balance Sheet,Other Liabilities,,488,,,459,537,543
Balance Sheet,Total Liabilities,,1073,,,1107,1012,1072
Balance Sheet,Fixed Assets,,354,,,380,281,307
Balance Sheet,CWIP,,0,,,0,10,9
Balance Sheet,Investments,,0,,,0,0,0
Balance Sheet,Other Assets,,718,,,728,720,757
Balance Sheet,Total Assets,,1073,,,1107,1012,1072
,,,,,,,,
Cash Flows,Cash from Operating Activity,,112,,,76,96,80
Cash Flows,Cash from Investing Activity,,-83,,,-50,-60,-64
Cash Flows,Cash from Financing Activity,,-30,,,-60,9,-15
Cash Flows,Net Cash Flow,,-1,,,-34,44,1
,,,,,,,,
Ratios,Debtor Days,,50,,,59,63,65
Ratios,Inventory Days,,80,,,83,77,73
Ratios,Days Payable,,102,,,97,139,122
Ratios,Cash Conversion Cycle,,28,,,45,0,15
Ratios,Working Capital Days,,26,,,43,18,24
Ratios,ROCE %,,19%,,,23%,,17%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,68.77%,68.77%,,
Shareholding Pattern (Quarterly),FIIs,,,,3.52%,4.02%,,
Shareholding Pattern (Quarterly),DIIs,,,,17.53%,17.03%,,
Shareholding Pattern (Quarterly),Public,,,,10.18%,10.18%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,151011,120855,,
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,68.77%,,
Shareholding Pattern (Yearly),FIIs,,,,,4.02%,,
Shareholding Pattern (Yearly),DIIs,,,,,17.03%,,
Shareholding Pattern (Yearly),Public,,,,,10.18%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,120855,,
,,,,,,,,
