Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,60.03,58.01,56.38,44.90,51.10,75.74,87.93
Quarterly Results,Expenses,48.35,50.85,49.77,45.97,45.23,61.34,72.42
Quarterly Results,Operating Profit,11.68,7.16,6.61,-1.07,5.87,14.40,15.51
Quarterly Results,OPM %,19.46%,12.34%,11.72%,-2.38%,11.49%,19.01%,17.64%
Quarterly Results,Other Income,0.79,0.73,0.91,1.00,0.27,0.35,1.07
Quarterly Results,Interest,3.07,2.95,3.12,3.19,3.68,4.65,4.56
Quarterly Results,Depreciation,2.21,2.22,2.18,2.25,2.54,2.69,3.01
Quarterly Results,Profit before tax,7.19,2.72,2.22,-5.51,-0.08,7.41,9.01
Quarterly Results,Tax %,0.00%,27.21%,33.33%,-27.22%,12.50%,29.82%,23.97%
Quarterly Results,Net Profit,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85
Quarterly Results,EPS in Rs,1438.00,394.00,296.00,-800.00,-0.03,1.38,1.82
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,217,,,,260
Profit & Loss,Expenses,,,185,,,,225
Profit & Loss,Operating Profit,,,32,,,,35
Profit & Loss,OPM %,,,15%,,,,14%
Profit & Loss,Other Income,,,3,,,,3
Profit & Loss,Interest,,,12,,,,16
Profit & Loss,Depreciation,,,9,,,,10
Profit & Loss,Profit before tax,,,14,,,,11
Profit & Loss,Tax %,,,21%,,,,30%
Profit & Loss,Net Profit,,,11,,,,8
Profit & Loss,EPS in Rs,,,2242.00,,,,2.10
Profit & Loss,Dividend Payout %,,,0%,,,,0%
,,,,,,,,
Balance Sheet,Equity Capital,,,8,,,,8
Balance Sheet,Reserves,,,119,,,,126
Balance Sheet,Borrowings,,,168,,,,240
Balance Sheet,Other Liabilities,,,67,,,,49
Balance Sheet,Total Liabilities,,,361,,,,423
Balance Sheet,Fixed Assets,,,103,,,,114
Balance Sheet,CWIP,,,10,,,,3
Balance Sheet,Investments,,,0,,,,0
Balance Sheet,Other Assets,,,247,,,,306
Balance Sheet,Total Assets,,,361,,,,423
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,1,,,,-42
Cash Flows,Cash from Investing Activity,,,-11,,,,-14
Cash Flows,Cash from Financing Activity,,,11,,,,59
Cash Flows,Net Cash Flow,,,1,,,,2
,,,,,,,,
Ratios,Debtor Days,,,103,,,,103
Ratios,Inventory Days,,,565,,,,566
Ratios,Days Payable,,,134,,,,62
Ratios,Cash Conversion Cycle,,,534,,,,607
Ratios,Working Capital Days,,,308,,,,363
Ratios,ROCE %,,,,,,,8%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.81%,74.81%,74.80%
Shareholding Pattern (Quarterly),FIIs,,,,,1.51%,1.47%,1.48%
Shareholding Pattern (Quarterly),DIIs,,,,,2.69%,2.42%,2.42%
Shareholding Pattern (Quarterly),Public,,,,,21.00%,21.31%,21.30%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,15881,15347,15057
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,74.80%
Shareholding Pattern (Yearly),FIIs,,,,,,,1.48%
Shareholding Pattern (Yearly),DIIs,,,,,,,2.42%
Shareholding Pattern (Yearly),Public,,,,,,,21.30%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,15057
,,,,,,,,
