Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Quarterly Results,Sales,23.33,126.74,32.69,86.62,26.27,83.32,65.55,76.74,43.42,76.95,67.69,75.42,25.85,,,,,
Quarterly Results,Expenses,21.94,118.85,32.82,82.92,25.82,78.90,63.15,77.92,48.05,78.98,66.16,67.30,23.91,,,,,
Quarterly Results,Operating Profit,1.39,7.89,-0.13,3.70,0.45,4.42,2.40,-1.18,-4.63,-2.03,1.53,8.12,1.94,,,,,
Quarterly Results,OPM %,5.96%,6.23%,-0.40%,4.27%,1.71%,5.30%,3.66%,-1.54%,-10.66%,-2.64%,2.26%,10.77%,7.50%,,,,,
Quarterly Results,Other Income,0.07,0.02,0.02,0.02,0.07,0.00,0.01,0.00,0.09,0.01,0.00,0.05,0.24,,,,,
Quarterly Results,Interest,1.04,0.82,0.84,1.51,0.53,1.49,1.38,1.54,1.57,1.45,0.95,0.75,1.12,,,,,
Quarterly Results,Depreciation,0.24,0.10,0.10,0.11,0.12,0.12,0.14,0.17,0.08,0.13,0.13,0.12,0.12,,,,,
Quarterly Results,Profit before tax,0.18,6.99,-1.05,2.10,-0.13,2.81,0.89,-2.89,-6.19,-3.60,0.45,7.30,0.94,,,,,
Quarterly Results,Tax %,144.44%,20.03%,23.81%,20.95%,76.92%,28.11%,28.09%,14.88%,-43.30%,-24.44%,31.11%,26.44%,40.43%,,,,,
Quarterly Results,Net Profit,-0.07,5.58,-1.30,1.66,-0.23,2.03,0.64,-3.32,-3.51,-2.72,0.32,5.37,0.55,,,,,
Quarterly Results,EPS in Rs,-0.01,0.61,-0.14,0.18,-0.03,0.22,0.07,-0.36,-0.38,-0.30,0.03,0.59,0.06,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,241,,,,272,,,,269,,,,246,18,126,117,161,
Profit & Loss,Expenses,230,,,,260,,,,268,,,,236,16,120,110,154,
Profit & Loss,Operating Profit,10,,,,12,,,,1,,,,10,2,6,7,8,
Profit & Loss,OPM %,4%,,,,4%,,,,0%,,,,4%,10%,5%,6%,5%,
Profit & Loss,Other Income,0,,,,0,,,,0,,,,0,0,0,0,0,
Profit & Loss,Interest,3,,,,4,,,,6,,,,4,1,2,2,2,
Profit & Loss,Depreciation,0,,,,0,,,,1,,,,0,0,0,0,0,
Profit & Loss,Profit before tax,8,,,,8,,,,-5,,,,5,1,4,4,5,
Profit & Loss,Tax %,28%,,,,28%,,,,-23%,,,,31%,20%,26%,28%,28%,
Profit & Loss,Net Profit,5,,,,6,,,,-4,,,,4,1,3,3,4,
Profit & Loss,EPS in Rs,0.59,,,,0.62,,,,-0.45,,,,0.39,0.18,0.31,0.33,0.40,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,
