Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,965,1002,991,1118,1155,1118,1064,1225,1269,,,,,,
Quarterly Results,Expenses,640,659,625,724,792,743,691,808,883,,,,,,
Quarterly Results,Operating Profit,325,343,367,394,362,375,373,417,385,,,,,,
Quarterly Results,OPM %,34%,34%,37%,35%,31%,34%,35%,34%,30%,,,,,,
Quarterly Results,Other Income,65,-13,47,31,41,54,60,57,107,,,,,,
Quarterly Results,Interest,4,4,4,5,5,3,3,3,8,,,,,,
Quarterly Results,Depreciation,11,14,14,14,16,14,13,13,12,,,,,,
Quarterly Results,Profit before tax,375,312,395,406,382,412,417,457,472,,,,,,
Quarterly Results,Tax %,26%,26%,25%,26%,26%,25%,26%,25%,24%,,,,,,
Quarterly Results,Net Profit,279,232,295,300,284,308,308,341,358,,,,,,
Quarterly Results,EPS in Rs,3.48,2.90,3.68,3.75,3.55,3.85,3.85,4.26,4.48,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3541,,,,4270,,,,4675,,,,,,
Profit & Loss,Expenses,2265,,,,2804,,,,3125,,,,,,
Profit & Loss,Operating Profit,1276,,,,1466,,,,1550,,,,,,
Profit & Loss,OPM %,36%,,,,34%,,,,33%,,,,,,
Profit & Loss,Other Income,148,,,,106,,,,277,,,,,,
Profit & Loss,Interest,16,,,,19,,,,17,,,,,,
Profit & Loss,Depreciation,54,,,,57,,,,53,,,,,,
Profit & Loss,Profit before tax,1354,,,,1496,,,,1757,,,,,,
Profit & Loss,Tax %,26%,,,,26%,,,,25%,,,,,,
Profit & Loss,Net Profit,1006,,,,1111,,,,1315,,,,,,
Profit & Loss,EPS in Rs,12.57,,,,13.89,,,,16.44,,,,,,
Profit & Loss,Dividend Payout %,44%,,,,47%,,,,73%,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,160,,,,160,,,,160,,,,,,
Balance Sheet,Reserves,2318,,,,3070,,,,3503,,,,,,
Balance Sheet,Borrowings,84,,,,60,,,,90,,,,,,
Balance Sheet,Other Liabilities,2526,,,,2801,,,,3047,,,,,,
Balance Sheet,Total Liabilities,5089,,,,6091,,,,6800,,,,,,
Balance Sheet,Fixed Assets,351,,,,343,,,,813,,,,,,
Balance Sheet,CWIP,34,,,,443,,,,27,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,,,
Balance Sheet,Other Assets,4704,,,,5306,,,,5959,,,,,,
Balance Sheet,Total Assets,5089,,,,6091,,,,6800,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,812,,,,882,,,,810,,,,,,
Cash Flows,Cash from Investing Activity,-317,,,,-200,,,,-229,,,,,,
Cash Flows,Cash from Financing Activity,-434,,,,-404,,,,-910,,,,,,
Cash Flows,Net Cash Flow,61,,,,277,,,,-329,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,118,,,,117,,,,135,,,,,,
Ratios,Inventory Days,18,,,,16,,,,15,,,,,,
Ratios,Days Payable,1595,,,,1484,,,,1371,,,,,,
Ratios,Cash Conversion Cycle,-1459,,,,-1350,,,,-1221,,,,,,
Ratios,Working Capital Days,6,,,,22,,,,57,,,,,,
Ratios,ROCE %,,,,,54%,,,,49%,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,67.40%,67.40%,62.40%,,,
Shareholding Pattern (Quarterly),FIIs,6.53%,6.99%,7.11%,7.34%,8.08%,7.78%,7.54%,7.45%,7.37%,5.87%,5.81%,6.84%,,,
Shareholding Pattern (Quarterly),DIIs,10.06%,9.92%,10.53%,11.98%,12.72%,13.74%,13.92%,13.73%,13.89%,5.32%,5.57%,8.73%,,,
Shareholding Pattern (Quarterly),Public,21.01%,20.68%,19.97%,18.28%,16.79%,16.06%,16.14%,16.43%,16.35%,21.42%,21.23%,22.03%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,2128348,2080264,2026798,1928851,1910307,1928716,1924346,1959521,1994642,2242513,2218734,2161327,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.40%,,,,62.40%,,,,62.40%,,,,87.40%,67.40%,67.40%
Shareholding Pattern (Yearly),FIIs,6.53%,,,,8.08%,,,,7.37%,,,,1.70%,8.17%,6.42%
Shareholding Pattern (Yearly),DIIs,10.06%,,,,12.72%,,,,13.89%,,,,2.25%,10.34%,5.22%
Shareholding Pattern (Yearly),Public,21.01%,,,,16.79%,,,,16.35%,,,,8.65%,14.10%,20.96%
Shareholding Pattern (Yearly),No. of Shareholders,2128348,,,,1910307,,,,1994642,,,,340161,562836,2185504
,,,,,,,,,,,,,,,,
