Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,35.05,3.75,3.76,6.18,16.00,4.45,16.15,12.93,12.52,6.02,25.43,13.02,35.10,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,42.84,7.55,9.99,9.69,18.13,8.06,19.05,16.52,15.23,10.37,28.17,19.68,36.37,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-7.79,-3.80,-6.23,-3.51,-2.13,-3.61,-2.90,-3.59,-2.71,-4.35,-2.74,-6.66,-1.27,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-22.23%,-101.33%,-165.69%,-56.80%,-13.31%,-81.12%,-17.96%,-27.76%,-21.65%,-72.26%,-10.77%,-51.15%,-3.62%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.81,0.76,-9.41,-1.03,1.33,0.70,0.66,-0.54,1.56,0.08,0.36,7.79,0.18,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.61,0.45,0.72,0.65,0.66,0.61,0.58,0.60,0.59,0.68,0.64,0.76,0.64,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.54,0.47,0.45,0.41,0.37,0.36,0.34,0.33,0.32,0.32,0.39,0.36,0.32,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-8.13,-3.96,-16.81,-5.60,-1.83,-3.88,-3.16,-5.06,-2.06,-5.27,-3.41,0.01,-2.05,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-1.11%,0.25%,0.71%,1.07%,16.39%,1.55%,0.95%,-11.86%,14.56%,2.85%,2.64%,800.00%,-0.49%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-8.04,-3.97,-16.93,-5.66,-2.13,-3.94,-3.19,-4.46,-2.36,-5.42,-3.50,-0.07,-2.04,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-2.64,-1.31,-5.57,-1.86,-0.70,-1.30,-1.05,-1.47,-0.78,-1.78,-1.15,-0.02,-0.67,,,,,,,,,,,,,,,,
