Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1792,1565,1608,1784,1953,1783,1945,2059,2330,2060,2280,2472,2915,,,,,,,
Quarterly Results,Expenses,1620,1406,1448,1602,1751,1604,1743,1845,2075,1846,2059,2226,2614,,,,,,,
Quarterly Results,Operating Profit,172,160,161,182,202,178,202,215,255,215,221,246,301,,,,,,,
Quarterly Results,OPM %,10%,10%,10%,10%,10%,10%,10%,10%,11%,10%,10%,10%,10%,,,,,,,
Quarterly Results,Other Income,8,4,5,14,7,8,9,14,4,18,17,9,37,,,,,,,
Quarterly Results,Interest,10,9,8,8,10,9,8,11,17,14,13,14,14,,,,,,,
Quarterly Results,Depreciation,14,14,14,14,14,15,16,15,16,16,16,19,19,,,,,,,
Quarterly Results,Profit before tax,156,140,144,174,184,163,188,202,227,203,208,221,305,,,,,,,
Quarterly Results,Tax %,26%,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%,26%,26%,,,,,,,
Quarterly Results,Net Profit,116,104,107,129,138,121,140,151,168,150,155,165,227,,,,,,,
Quarterly Results,EPS in Rs,12.87,11.52,11.85,14.26,15.31,13.46,15.54,16.70,18.67,16.65,17.15,17.25,23.71,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5727,,,,6908,,,,8104,,,,9736,2033,2351,2628,3466,4231,4888,4182
Profit & Loss,Expenses,5138,,,,6206,,,,7267,,,,8745,1839,2108,2360,3126,3790,4391,3726
Profit & Loss,Operating Profit,589,,,,702,,,,838,,,,991,194,243,269,339,441,497,456
Profit & Loss,OPM %,10%,,,,10%,,,,10%,,,,10%,10%,10%,10%,10%,10%,10%,11%
Profit & Loss,Other Income,15,,,,32,,,,49,,,,72,5,6,10,9,7,17,20
Profit & Loss,Interest,40,,,,35,,,,44,,,,56,121,127,124,112,136,129,57
Profit & Loss,Depreciation,55,,,,57,,,,61,,,,70,25,25,28,32,34,57,58
Profit & Loss,Profit before tax,508,,,,642,,,,781,,,,937,53,96,126,204,278,328,361
Profit & Loss,Tax %,26%,,,,26%,,,,26%,,,,26%,35%,35%,26%,29%,35%,22%,25%
Profit & Loss,Net Profit,376,,,,477,,,,581,,,,696,34,63,94,145,181,256,270
Profit & Loss,EPS in Rs,41.73,,,,52.93,,,,64.35,,,,72.88,4.43,8.10,12.04,18.47,22.92,28.64,29.92
Profit & Loss,Dividend Payout %,6%,,,,6%,,,,5%,,,,5%,9%,6%,5%,5%,5%,5%,7%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,18,,,,18,,,,19,15,15,16,16,16,18,18
Balance Sheet,Reserves,2118,,,,2571,,,,3130,,,,5767,288,352,446,589,762,1489,1756
Balance Sheet,Borrowings,355,,,,162,,,,166,,,,217,452,498,813,842,599,367,333
Balance Sheet,Other Liabilities,1036,,,,1019,,,,1342,,,,1232,588,599,622,773,1387,1395,902
Balance Sheet,Total Liabilities,3527,,,,3770,,,,4656,,,,7235,1345,1464,1896,2220,2764,3269,3008
Balance Sheet,Fixed Assets,531,,,,567,,,,770,,,,993,298,328,405,407,489,554,537
Balance Sheet,CWIP,17,,,,15,,,,121,,,,385,4,29,3,23,32,11,7
Balance Sheet,Investments,2,,,,1,,,,2,,,,2,3,3,3,3,2,1,1
Balance Sheet,Other Assets,2978,,,,3187,,,,3764,,,,5854,1039,1103,1485,1787,2242,2703,2463
Balance Sheet,Total Assets,3527,,,,3770,,,,4656,,,,7235,1345,1464,1896,2220,2764,3269,3008
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,229,,,,514,,,,610,,,,-32,199,186,-29,191,623,-13,154
Cash Flows,Cash from Investing Activity,-58,,,,-137,,,,-353,,,,-1501,-17,-98,-63,-76,-275,11,75
Cash Flows,Cash from Financing Activity,-31,,,,-256,,,,-72,,,,1919,-182,-87,229,-69,-386,99,-129
Cash Flows,Net Cash Flow,139,,,,121,,,,186,,,,386,0,1,137,45,-38,97,101
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,89,,,,73,,,,68,,,,67,85,88,114,108,94,102,118
Ratios,Inventory Days,96,,,,79,,,,84,,,,86,109,95,114,97,95,103,102
Ratios,Days Payable,68,,,,54,,,,63,,,,39,119,97,110,110,139,139,99
