Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,317,294,310,202,269,254,273,237,278,294,305,266,316,,,,
Quarterly Results,Expenses,292,283,279,189,260,244,263,228,265,280,293,259,296,,,,
Quarterly Results,Operating Profit,25,11,31,13,9,10,10,8,12,13,11,8,20,,,,
Quarterly Results,OPM %,8%,4%,10%,7%,3%,4%,4%,4%,4%,5%,4%,3%,6%,,,,
Quarterly Results,Other Income,0,0,0,0,2,3,2,2,2,2,3,2,11,,,,
Quarterly Results,Interest,4,3,4,3,3,3,1,2,2,2,2,2,2,,,,
Quarterly Results,Depreciation,4,4,4,4,6,5,5,5,7,6,5,6,7,,,,
Quarterly Results,Profit before tax,18,4,23,6,2,5,6,4,5,8,6,2,22,,,,
Quarterly Results,Tax %,27%,18%,26%,22%,30%,24%,33%,30%,31%,27%,26%,30%,22%,,,,
Quarterly Results,Net Profit,13,3,17,5,2,4,4,3,4,6,5,1,17,,,,
Quarterly Results,EPS in Rs,3.03,0.74,4.04,0.92,0.32,0.76,0.79,0.53,0.71,1.19,0.96,0.28,3.47,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1094,,,,1075,,,,1042,,,,1180,494,829,786,862
Profit & Loss,Expenses,1015,,,,1010,,,,1001,,,,1128,457,771,730,796
Profit & Loss,Operating Profit,79,,,,65,,,,41,,,,52,38,57,55,67
Profit & Loss,OPM %,7%,,,,6%,,,,4%,,,,4%,8%,7%,7%,8%
Profit & Loss,Other Income,1,,,,2,,,,9,,,,18,1,1,1,2
Profit & Loss,Interest,13,,,,13,,,,8,,,,8,9,13,12,10
Profit & Loss,Depreciation,14,,,,19,,,,22,,,,25,12,17,20,12
Profit & Loss,Profit before tax,53,,,,36,,,,20,,,,39,17,28,24,47
Profit & Loss,Tax %,26%,,,,25%,,,,30%,,,,24%,24%,19%,24%,27%
Profit & Loss,Net Profit,39,,,,27,,,,14,,,,29,15,23,19,35
Profit & Loss,EPS in Rs,9.20,,,,5.40,,,,2.79,,,,5.90,24.37,36.01,26.18,49.13
Profit & Loss,Dividend Payout %,10%,,,,18%,,,,35%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,,,,24,,,,24,,,,24,6,5,7,7
Balance Sheet,Reserves,283,,,,469,,,,479,,,,510,139,185,202,255
Balance Sheet,Borrowings,103,,,,78,,,,12,,,,24,62,86,70,114
Balance Sheet,Other Liabilities,127,,,,163,,,,154,,,,170,71,109,84,132
Balance Sheet,Total Liabilities,533,,,,734,,,,669,,,,728,278,385,363,508
Balance Sheet,Fixed Assets,188,,,,232,,,,224,,,,246,84,122,134,161
Balance Sheet,CWIP,0,,,,0,,,,12,,,,3,2,0,0,0
Balance Sheet,Investments,1,,,,27,,,,63,,,,69,26,13,24,14
Balance Sheet,Other Assets,343,,,,475,,,,370,,,,410,165,250,205,333
Balance Sheet,Total Assets,533,,,,734,,,,669,,,,728,278,385,363,508
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,57,,,,62,,,,43,,,,17,44,27,83,-34
Cash Flows,Cash from Investing Activity,-28,,,,-197,,,,36,,,,-21,-30,-30,-43,-5
Cash Flows,Cash from Financing Activity,-30,,,,131,,,,-79,,,,4,-5,-4,-33,34
Cash Flows,Net Cash Flow,-1,,,,-4,,,,-0,,,,-0,9,-7,7,-4
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,59,,,,67,,,,70,,,,70,61,61,42,77
Ratios,Inventory Days,54,,,,57,,,,52,,,,53,56,49,53,67
Ratios,Days Payable,44,,,,58,,,,51,,,,52,64,55,45,61
Ratios,Cash Conversion Cycle,68,,,,65,,,,71,,,,71,53,55,50,83
Ratios,Working Capital Days,66,,,,62,,,,65,,,,87,50,50,39,78
Ratios,ROCE %,17%,,,,10%,,,,5%,,,,9%,,17%,13%,17%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,32.93%,32.97%,32.97%,32.98%,32.99%,33.41%,33.41%,33.41%,33.41%,32.98%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,6.21%,2.76%,1.46%,1.02%,0.56%,0.35%,0.97%,0.86%,0.38%,0.41%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,13.15%,18.76%,14.38%,13.66%,11.93%,11.90%,13.10%,12.58%,12.06%,10.77%,,,,
Shareholding Pattern (Quarterly),Public,,,,47.71%,45.51%,51.20%,52.32%,54.53%,54.34%,52.53%,53.14%,54.15%,55.84%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,114476,87497,88003,86225,83782,78607,71516,61159,60747,60208,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,32.97%,,,,33.41%,,,,32.98%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,2.76%,,,,0.35%,,,,0.41%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,18.76%,,,,11.90%,,,,10.77%,,,,
Shareholding Pattern (Yearly),Public,,,,,45.51%,,,,54.34%,,,,55.84%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,87497,,,,78607,,,,60208,,,,
,,,,,,,,,,,,,,,,,,
