Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.52%,74.50%,74.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),FIIs,4.09%,4.26%,4.08%,22.69%,21.45%,18.16%,19.61%,19.50%,19.65%,16.91%,15.42%,16.47%,,
Shareholding Pattern (Quarterly),DIIs,15.59%,15.36%,15.34%,42.97%,42.96%,43.93%,45.64%,45.21%,45.42%,43.66%,42.62%,42.70%,,
Shareholding Pattern (Quarterly),Public,5.80%,5.86%,6.09%,34.33%,35.58%,37.91%,34.74%,35.28%,34.93%,39.42%,41.96%,40.82%,,
Shareholding Pattern (Quarterly),No. of Shareholders,134108,135585,135012,317916,324130,362751,361709,372304,381682,444544,457362,448261,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,0.00%,,,,0.00%,,,,0.00%,81.98%,74.59%
Shareholding Pattern (Yearly),FIIs,,,,22.69%,,,,19.50%,,,,16.47%,1.02%,3.62%
Shareholding Pattern (Yearly),DIIs,,,,42.97%,,,,45.21%,,,,42.70%,12.77%,16.69%
Shareholding Pattern (Yearly),Public,,,,34.33%,,,,35.28%,,,,40.82%,4.23%,5.10%
Shareholding Pattern (Yearly),No. of Shareholders,,,,317916,,,,372304,,,,448261,76302,127073
,,,,,,,,,,,,,,,
