Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,75.19,46.31,48.46,67.90,58.20,56.09,36.59,44.76,46.30,40.38,33.75,29.61,29.56,,,
Quarterly Results,Expenses,74.21,45.65,48.67,67.42,56.92,55.29,35.99,43.93,45.98,39.78,33.38,29.47,29.06,,,
Quarterly Results,Operating Profit,0.98,0.66,-0.21,0.48,1.28,0.80,0.60,0.83,0.32,0.60,0.37,0.14,0.50,,,
Quarterly Results,OPM %,1.30%,1.43%,-0.43%,0.71%,2.20%,1.43%,1.64%,1.85%,0.69%,1.49%,1.10%,0.47%,1.69%,,,
Quarterly Results,Other Income,0.11,0.02,1.03,0.60,0.36,0.15,0.12,0.11,0.50,0.03,0.16,0.35,0.06,,,
Quarterly Results,Interest,0.20,0.21,0.23,0.33,0.30,0.34,0.31,0.31,0.29,0.29,0.30,0.26,0.18,,,
Quarterly Results,Depreciation,0.05,0.02,0.02,0.02,0.12,0.03,0.03,0.05,0.09,0.04,0.04,0.04,0.04,,,
Quarterly Results,Profit before tax,0.84,0.45,0.57,0.73,1.22,0.58,0.38,0.58,0.44,0.30,0.19,0.19,0.34,,,
Quarterly Results,Tax %,20.24%,15.56%,26.32%,26.03%,21.31%,20.69%,26.32%,20.69%,38.64%,26.67%,21.05%,21.05%,17.65%,,,
Quarterly Results,Net Profit,0.66,0.39,0.42,0.54,0.97,0.46,0.28,0.47,0.27,0.22,0.15,0.15,0.27,,,
Quarterly Results,EPS in Rs,0.21,0.13,0.14,0.18,0.31,0.16,0.10,0.15,0.09,0.08,0.05,0.05,0.08,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,186,,,,221,,,,184,,,,133,118,66,104
Profit & Loss,Expenses,183,,,,218,,,,181,,,,131,115,66,102
Profit & Loss,Operating Profit,3,,,,3,,,,3,,,,2,3,0,3
Profit & Loss,OPM %,2%,,,,1%,,,,2%,,,,1%,3%,1%,3%
Profit & Loss,Other Income,0,,,,1,,,,1,,,,0,1,3,0
Profit & Loss,Interest,1,,,,1,,,,1,,,,1,2,2,1
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,0,1,0
Profit & Loss,Profit before tax,2,,,,3,,,,2,,,,1,2,2,2
Profit & Loss,Tax %,20%,,,,17%,,,,22%,,,,20%,28%,28%,23%
Profit & Loss,Net Profit,2,,,,2,,,,2,,,,1,1,1,1
Profit & Loss,EPS in Rs,0.61,,,,0.81,,,,0.51,,,,0.27,0.34,0.34,0.43
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,32,,,,32,,,,32,,7,11
Balance Sheet,Reserves,13,,,,19,,,,21,,,,21,,13,10
Balance Sheet,Borrowings,13,,,,12,,,,14,,,,11,,10,10
Balance Sheet,Other Liabilities,9,,,,9,,,,12,,,,14,,2,4
Balance Sheet,Total Liabilities,45,,,,73,,,,79,,,,79,,31,36
Balance Sheet,Fixed Assets,1,,,,1,,,,2,,,,2,,1,1
Balance Sheet,CWIP,2,,,,2,,,,2,,,,0,,0,1
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,0,0
Balance Sheet,Other Assets,43,,,,70,,,,75,,,,77,,31,34
Balance Sheet,Total Assets,45,,,,73,,,,79,,,,79,,31,36
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0,,,,-18,,,,-3,,,,1,,11,-1
Cash Flows,Cash from Investing Activity,0,,,,0,,,,-1,,,,0,,10,-1
Cash Flows,Cash from Financing Activity,2,,,,26,,,,-3,,,,-3,,-21,-1
Cash Flows,Net Cash Flow,2,,,,8,,,,-7,,,,-2,,1,-3
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,63,,,,73,,,,68,,,,81,,95,82
Ratios,Inventory Days,7,,,,20,,,,17,,,,23,,19,12
Ratios,Days Payable,13,,,,14,,,,17,,,,27,,6,11
Ratios,Cash Conversion Cycle,57,,,,79,,,,68,,,,76,,108,82
Ratios,Working Capital Days,62,,,,83,,,,118,,,,168,,140,103
Ratios,ROCE %,11%,,,,9%,,,,5%,,,,3%,,,9%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.09%,62.09%,61.14%,57.68%,57.68%,57.84%,57.84%,57.84%,54.32%,51.49%,51.49%,37.60%,,,
Shareholding Pattern (Quarterly),Public,,37.91%,37.91%,38.86%,42.32%,42.32%,42.16%,42.16%,42.16%,45.68%,48.51%,48.51%,62.40%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,3379,2420,2492,2603,2545,2793,4303,9279,9018,11838,11705,11407,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.56%,,,,57.68%,,,,57.84%,,,,37.60%,69.64%,69.64%,67.76%
Shareholding Pattern (Yearly),Public,37.44%,,,,42.32%,,,,42.16%,,,,62.40%,30.35%,30.35%,32.23%
Shareholding Pattern (Yearly),No. of Shareholders,2717,,,,2603,,,,9279,,,,11407,27,30,3016
,,,,,,,,,,,,,,,,,
