Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,439,435,425,389,406,411,483,464,473,490,498,513,580,,,
Quarterly Results,Expenses,387,377,369,335,352,353,420,400,409,425,432,448,510,,,
Quarterly Results,Operating Profit,52,58,57,54,55,58,64,64,64,65,66,65,69,,,
Quarterly Results,OPM %,12%,13%,13%,14%,13%,14%,13%,14%,13%,13%,13%,13%,12%,,,
Quarterly Results,Other Income,3,1,1,1,3,2,1,4,1,1,1,1,2,,,
Quarterly Results,Interest,5,5,8,5,4,6,5,4,3,4,4,5,6,,,
Quarterly Results,Depreciation,17,15,16,16,16,14,15,15,16,15,15,18,18,,,
Quarterly Results,Profit before tax,34,39,34,35,37,39,45,48,46,47,48,42,48,,,
Quarterly Results,Tax %,30%,26%,29%,26%,22%,26%,26%,28%,25%,26%,27%,25%,28%,,,
Quarterly Results,Net Profit,24,29,24,26,29,29,33,34,34,35,35,32,34,,,
Quarterly Results,EPS in Rs,4.37,5.21,4.34,4.66,5.25,5.30,5.97,6.23,6.18,6.32,6.39,5.73,6.22,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1483,,,,1656,,,,1831,,,,2080,516,600,709
Profit & Loss,Expenses,1299,,,,1433,,,,1581,,,,1815,438,495,586
Profit & Loss,Operating Profit,184,,,,223,,,,250,,,,265,78,105,124
Profit & Loss,OPM %,12%,,,,13%,,,,14%,,,,13%,15%,17%,17%
Profit & Loss,Other Income,13,,,,6,,,,8,,,,5,1,4,9
Profit & Loss,Interest,13,,,,22,,,,19,,,,18,3,4,3
Profit & Loss,Depreciation,48,,,,63,,,,60,,,,67,12,17,23
Profit & Loss,Profit before tax,136,,,,144,,,,178,,,,185,63,88,107
Profit & Loss,Tax %,28%,,,,26%,,,,26%,,,,26%,28%,26%,25%
Profit & Loss,Net Profit,98,,,,107,,,,131,,,,136,46,65,80
Profit & Loss,EPS in Rs,17.74,,,,19.45,,,,23.66,,,,24.63,103.82,12.86,15.45
Profit & Loss,Dividend Payout %,3%,,,,3%,,,,2%,,,,2%,0%,4%,3%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,4,10,10
Balance Sheet,Reserves,794,,,,904,,,,1037,,,,1174,119,277,398
Balance Sheet,Borrowings,8,,,,74,,,,119,,,,218,8,67,0
Balance Sheet,Other Liabilities,442,,,,375,,,,401,,,,482,118,118,152
Balance Sheet,Total Liabilities,1255,,,,1364,,,,1567,,,,1886,250,471,561
Balance Sheet,Fixed Assets,607,,,,585,,,,578,,,,598,74,94,181
Balance Sheet,CWIP,1,,,,16,,,,47,,,,140,3,22,0
Balance Sheet,Investments,36,,,,51,,,,63,,,,84,0,18,0
Balance Sheet,Other Assets,611,,,,712,,,,880,,,,1063,173,338,379
Balance Sheet,Total Assets,1255,,,,1364,,,,1567,,,,1886,250,471,561
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,29,,,,152,,,,43,,,,137,71,57,48
Cash Flows,Cash from Investing Activity,-299,,,,-181,,,,-103,,,,-183,-37,-190,-37
Cash Flows,Cash from Financing Activity,292,,,,61,,,,16,,,,65,-29,157,-25
Cash Flows,Net Cash Flow,22,,,,32,,,,-44,,,,19,5,23,-14
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,,,,78,,,,85,,,,83,61,57,74
Ratios,Inventory Days,63,,,,59,,,,80,,,,90,59,57,75
Ratios,Days Payable,61,,,,56,,,,62,,,,73,114,95,104
Ratios,Cash Conversion Cycle,76,,,,80,,,,103,,,,101,6,19,46
Ratios,Working Capital Days,64,,,,57,,,,85,,,,85,25,39,60
Ratios,ROCE %,24%,,,,18%,,,,18%,,,,16%,,38%,29%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.56%,68.46%,68.44%,68.44%,68.44%,68.35%,68.34%,68.32%,68.32%,68.27%,68.19%,68.18%,,,
Shareholding Pattern (Quarterly),FIIs,,8.51%,8.84%,8.63%,7.46%,6.12%,5.74%,4.14%,4.02%,3.83%,3.74%,3.74%,3.98%,,,
Shareholding Pattern (Quarterly),DIIs,,13.02%,14.15%,14.08%,15.09%,17.71%,17.68%,18.06%,17.74%,16.87%,17.34%,17.47%,17.59%,,,
Shareholding Pattern (Quarterly),Public,,9.91%,8.55%,8.85%,9.01%,7.73%,8.23%,9.45%,9.90%,10.98%,10.64%,10.60%,10.24%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,98565,95664,97081,96634,95371,95200,100423,98859,100475,97188,95735,92852,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.56%,,,,68.44%,,,,68.32%,,,,68.18%,,,72.69%
Shareholding Pattern (Yearly),FIIs,9.03%,,,,7.46%,,,,4.02%,,,,3.98%,,,7.04%
Shareholding Pattern (Yearly),DIIs,12.29%,,,,15.09%,,,,17.74%,,,,17.59%,,,12.66%
Shareholding Pattern (Yearly),Public,10.12%,,,,9.01%,,,,9.90%,,,,10.24%,,,7.61%
Shareholding Pattern (Yearly),No. of Shareholders,92099,,,,96634,,,,98859,,,,92852,,,40105
,,,,,,,,,,,,,,,,,
