Section,,Jun 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,78.41,71.68,75.43,79.78,92.49,91.15,,,,,,,,,,
Quarterly Results,Expenses,75.33,73.88,73.08,77.25,87.71,88.71,,,,,,,,,,
Quarterly Results,Operating Profit,3.08,-2.20,2.35,2.53,4.78,2.44,,,,,,,,,,
Quarterly Results,OPM %,3.93%,-3.07%,3.12%,3.17%,5.17%,2.68%,,,,,,,,,,
Quarterly Results,Other Income,0.55,1.33,0.45,1.25,-0.60,-0.45,,,,,,,,,,
Quarterly Results,Interest,0.11,0.42,0.42,0.75,1.05,1.67,,,,,,,,,,
Quarterly Results,Depreciation,0.58,0.78,1.10,1.47,1.77,0.92,,,,,,,,,,
Quarterly Results,Profit before tax,2.94,-2.07,1.28,1.56,1.36,-0.60,,,,,,,,,,
Quarterly Results,Tax %,22.11%,-7.25%,21.09%,25.00%,41.18%,11.67%,,,,,,,,,,
Quarterly Results,Net Profit,2.29,-1.92,1.02,1.17,0.80,-0.67,,,,,,,,,,
Quarterly Results,EPS in Rs,1.09,-0.91,0.48,0.55,0.38,-0.32,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,333,,,,339,,,,,,,,,,
Profit & Loss,Expenses,,326,,,,327,,,,,,,,,,
Profit & Loss,Operating Profit,,7,,,,12,,,,,,,,,,
Profit & Loss,OPM %,,2%,,,,4%,,,,,,,,,,
Profit & Loss,Other Income,,2,,,,1,,,,,,,,,,
Profit & Loss,Interest,,1,,,,4,,,,,,,,,,
Profit & Loss,Depreciation,,3,,,,5,,,,,,,,,,
Profit & Loss,Profit before tax,,5,,,,4,,,,,,,,,,
Profit & Loss,Tax %,,32%,,,,36%,,,,,,,,,,
Profit & Loss,Net Profit,,4,,,,2,,,,,,,,,,
Profit & Loss,EPS in Rs,,1.75,,,,1.10,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,21,,,,21,,,,,,,,,,
Balance Sheet,Reserves,,68,,,,71,,,,,,,,,,
Balance Sheet,Borrowings,,14,,,,59,,,,,,,,,,
Balance Sheet,Other Liabilities,,11,,,,12,,,,,,,,,,
Balance Sheet,Total Liabilities,,114,,,,163,,,,,,,,,,
Balance Sheet,Fixed Assets,,17,,,,29,,,,,,,,,,
Balance Sheet,CWIP,,2,,,,2,,,,,,,,,,
Balance Sheet,Investments,,6,,,,11,,,,,,,,,,
Balance Sheet,Other Assets,,89,,,,121,,,,,,,,,,
Balance Sheet,Total Assets,,114,,,,163,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,-15,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,-25,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,41,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,78,,,,96,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,78,,,,96,,,,,,,,,,
Ratios,Working Capital Days,,75,,,,99,,,,,,,,,,
Ratios,ROCE %,,,,,,6%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,68.56%,67.23%,67.23%,67.23%,67.23%,67.23%,68.56%,68.56%,68.56%,68.56%,67.23%,67.23%,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.06%,0.02%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.01%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,31.45%,32.72%,32.76%,32.71%,32.77%,32.78%,31.44%,31.44%,31.44%,31.39%,32.77%,32.78%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,3765,5926,6957,6843,6555,6176,1370,1855,2373,3214,4565,5038,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,67.23%,,,,67.23%,,,,68.56%,,,63.26%,64.21%,64.68%,68.56%
Shareholding Pattern (Yearly),FIIs,,0.06%,,,,0.00%,,,,0.05%,,,0.17%,0.17%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,3.15%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,32.72%,,,,32.78%,,,,31.39%,,,36.57%,32.47%,35.32%,31.44%
Shareholding Pattern (Yearly),No. of Shareholders,,5926,,,,6176,,,,3214,,,242,246,255,953
,,,,,,,,,,,,,,,,,
