Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,290,244,276,297,396,268,377,340,507,340,353,409,536,,,,,,,
Quarterly Results,Expenses,221,198,222,230,294,229,296,284,368,276,319,318,386,,,,,,,
Quarterly Results,Operating Profit,69,46,54,67,103,39,82,56,139,64,34,91,150,,,,,,,
Quarterly Results,OPM %,24%,19%,20%,23%,26%,15%,22%,16%,27%,19%,10%,22%,28%,,,,,,,
Quarterly Results,Other Income,13,-2,8,12,8,9,4,7,6,13,15,12,7,,,,,,,
Quarterly Results,Interest,8,5,5,5,3,8,9,8,7,7,7,6,7,,,,,,,
Quarterly Results,Depreciation,9,9,10,10,12,14,14,14,22,23,27,26,26,,,,,,,
Quarterly Results,Profit before tax,65,30,47,64,96,27,63,42,115,48,16,72,124,,,,,,,
Quarterly Results,Tax %,25%,23%,25%,24%,19%,20%,25%,15%,22%,23%,54%,24%,18%,,,,,,,
Quarterly Results,Net Profit,49,23,35,48,77,21,47,36,89,37,7,54,102,,,,,,,
Quarterly Results,EPS in Rs,7.37,3.48,5.33,7.30,11.64,3.22,7.13,5.36,13.45,5.52,1.09,8.15,15.32,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,952,,,,1214,,,,1493,,,,1639,622,534,497,549,634,685,806
Profit & Loss,Expenses,768,,,,942,,,,1176,,,,1299,547,481,467,475,534,576,613
Profit & Loss,Operating Profit,184,,,,271,,,,317,,,,340,75,53,31,74,100,109,193
Profit & Loss,OPM %,19%,,,,22%,,,,21%,,,,21%,12%,10%,6%,13%,16%,16%,24%
Profit & Loss,Other Income,27,,,,25,,,,27,,,,48,5,6,24,22,9,12,50
Profit & Loss,Interest,17,,,,19,,,,33,,,,27,36,23,20,22,25,23,19
Profit & Loss,Depreciation,39,,,,41,,,,64,,,,101,26,30,35,33,38,38,40
Profit & Loss,Profit before tax,155,,,,236,,,,247,,,,259,18,5,0,40,46,59,184
Profit & Loss,Tax %,25%,,,,22%,,,,22%,,,,23%,183%,292%,2400%,30%,30%,-11%,26%
Profit & Loss,Net Profit,117,,,,184,,,,194,,,,200,-15,-10,-2,28,33,66,136
Profit & Loss,EPS in Rs,17.63,,,,27.73,,,,29.14,,,,30.08,-2.48,-1.74,-0.41,4.88,5.66,11.37,23.68
Profit & Loss,Dividend Payout %,0%,,,,7%,,,,7%,,,,7%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,66,,,,66,,,,67,,,,67,58,58,58,58,58,58,58
Balance Sheet,Reserves,670,,,,983,,,,1125,,,,1330,381,360,282,311,335,396,547
Balance Sheet,Borrowings,245,,,,361,,,,308,,,,330,356,320,238,249,252,287,228
Balance Sheet,Other Liabilities,189,,,,219,,,,385,,,,369,94,106,171,150,141,140,176
Balance Sheet,Total Liabilities,1170,,,,1629,,,,1885,,,,2095,889,843,749,767,785,881,1010
Balance Sheet,Fixed Assets,298,,,,548,,,,600,,,,625,231,234,296,287,284,266,296
Balance Sheet,CWIP,10,,,,12,,,,11,,,,46,17,8,8,5,4,9,7
Balance Sheet,Investments,199,,,,217,,,,279,,,,262,83,71,73,60,77,158,201
Balance Sheet,Other Assets,663,,,,852,,,,995,,,,1163,558,530,373,415,420,448,505
Balance Sheet,Total Assets,1170,,,,1629,,,,1885,,,,2095,889,843,749,767,785,881,1010
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,14,,,,179,,,,252,,,,195,,,60,44,69,128,170
Cash Flows,Cash from Investing Activity,-25,,,,-235,,,,-96,,,,-132,,,-14,8,-14,-102,-80
Cash Flows,Cash from Financing Activity,3,,,,63,,,,-115,,,,-38,,,-44,-22,-93,-9,-79
Cash Flows,Net Cash Flow,-8,,,,6,,,,41,,,,26,,,2,30,-38,18,11
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,106,,,,121,,,,109,,,,112,107,127,118,113,116,97,100
Ratios,Inventory Days,229,,,,200,,,,209,,,,217,175,194,240,190,172,177,179
Ratios,Days Payable,88,,,,77,,,,104,,,,116,104,109,169,122,114,87,111
Ratios,Cash Conversion Cycle,247,,,,244,,,,215,,,,212,178,213,188,181,173,187,168
Ratios,Working Capital Days,153,,,,162,,,,121,,,,194,149,156,106,123,126,121,114
Ratios,ROCE %,19%,,,,21%,,,,19%,,,,18%,,6%,3%,10%,12%,12%,26%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,79.17%,79.17%,79.17%,79.10%,74.99%,74.88%,74.88%,74.78%,74.78%,74.78%,74.80%,74.80%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.39%,2.48%,2.46%,2.41%,2.50%,1.83%,1.48%,1.48%,1.70%,1.77%,1.68%,1.73%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,9.57%,10.91%,11.67%,12.05%,16.64%,17.52%,18.33%,19.10%,18.94%,19.11%,19.02%,18.76%,,,,,,,
Shareholding Pattern (Quarterly),Public,,8.87%,7.44%,6.71%,6.43%,5.87%,5.75%,5.30%,4.63%,4.56%,4.32%,4.50%,4.70%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,103560,91496,82067,70716,60665,59458,59603,56862,56233,53318,53534,52986,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,79.17%,,,,79.10%,,,,74.78%,,,,74.80%,,,,,,,
Shareholding Pattern (Yearly),FIIs,2.17%,,,,2.41%,,,,1.48%,,,,1.73%,,,,,,,
Shareholding Pattern (Yearly),DIIs,8.95%,,,,12.05%,,,,19.10%,,,,18.76%,,,,,,,
Shareholding Pattern (Yearly),Public,9.71%,,,,6.43%,,,,4.63%,,,,4.70%,,,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,112682,,,,70716,,,,56862,,,,52986,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
