Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,70,68,78,90,111,137,181,157,190,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,58,60,72,74,93,114,156,138,160,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,12,7,6,15,18,23,25,19,30,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,16%,11%,7%,17%,16%,17%,14%,12%,16%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1,4,2,1,3,1,3,1,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,4,6,5,8,8,10,11,10,13,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3,4,4,5,6,7,8,8,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,5,3,-1,3,7,6,10,2,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,21%,7%,112%,103%,58%,34%,39%,27%,35%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,4,3,-2,-0,3,4,6,1,6,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,1.33,-1.08,0.01,1.64,2.02,3.20,0.56,3.07,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,38%,-74%,9585%,61%,49%,31%,161%,29%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,19,19,19,19,19,19,19,19,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,22,89,78,76,77,78,82,81,85,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,46,47,57,64,88,114,80,109,107,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,16,33,33,38,63,69,79,65,65,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,93,189,187,196,246,280,260,275,276,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,46,48,64,67,92,92,86,87,93,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,0,7,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,51,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,45,90,116,129,154,188,175,188,181,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,93,189,187,196,246,280,260,275,276,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
