Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,218,313,304,267,270,376,396,460,513,723,769,998,1058,,,
Quarterly Results,Expenses,208,305,299,255,258,357,381,442,488,686,730,941,995,,,
Quarterly Results,Operating Profit,9,8,4,12,12,19,15,18,25,37,39,57,63,,,
Quarterly Results,OPM %,4%,3%,1%,5%,4%,5%,4%,4%,5%,5%,5%,6%,6%,,,
Quarterly Results,Other Income,-2,0,0,0,0,1,1,0,2,1,20,7,5,,,
Quarterly Results,Interest,2,2,2,3,4,4,5,5,7,8,10,12,14,,,
Quarterly Results,Depreciation,0,0,0,0,0,1,1,2,2,2,2,3,4,,,
Quarterly Results,Profit before tax,5,6,2,9,8,14,10,12,18,28,46,49,50,,,
Quarterly Results,Tax %,19%,17%,54%,28%,23%,25%,25%,25%,25%,25%,20%,26%,24%,,,
Quarterly Results,Net Profit,4,5,1,6,6,11,7,9,14,21,37,37,38,,,
Quarterly Results,EPS in Rs,0.36,0.49,0.08,0.59,0.57,0.99,0.68,0.68,1.03,1.60,2.69,2.49,2.60,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,786,,,,1154,,,,1745,,,,3548,,,
Profit & Loss,Expenses,765,,,,1117,,,,1668,,,,3352,,,
Profit & Loss,Operating Profit,20,,,,37,,,,78,,,,196,,,
Profit & Loss,OPM %,3%,,,,3%,,,,4%,,,,6%,,,
Profit & Loss,Other Income,11,,,,1,,,,4,,,,33,,,
Profit & Loss,Interest,8,,,,11,,,,21,,,,44,,,
Profit & Loss,Depreciation,1,,,,1,,,,6,,,,11,,,
Profit & Loss,Profit before tax,22,,,,25,,,,54,,,,174,,,
Profit & Loss,Tax %,22%,,,,26%,,,,25%,,,,24%,,,
Profit & Loss,Net Profit,17,,,,19,,,,40,,,,133,,,
Profit & Loss,EPS in Rs,1.58,,,,1.73,,,,3.06,,,,9.04,,,
Profit & Loss,Dividend Payout %,0%,,,,12%,,,,3%,,,,0%,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,11,,,,13,,,,147,,,
Balance Sheet,Reserves,71,,,,87,,,,231,,,,537,,,
Balance Sheet,Borrowings,92,,,,146,,,,310,,,,630,,,
Balance Sheet,Other Liabilities,6,,,,8,,,,31,,,,43,,,
Balance Sheet,Total Liabilities,175,,,,252,,,,586,,,,1357,,,
Balance Sheet,Fixed Assets,8,,,,9,,,,35,,,,106,,,
Balance Sheet,CWIP,0,,,,0,,,,1,,,,1,,,
Balance Sheet,Investments,45,,,,68,,,,91,,,,77,,,
Balance Sheet,Other Assets,122,,,,175,,,,459,,,,1174,,,
Balance Sheet,Total Assets,175,,,,252,,,,586,,,,1357,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-7,,,,-6,,,,-138,,,,-273,,,
Cash Flows,Cash from Investing Activity,-2,,,,-20,,,,-106,,,,-157,,,
Cash Flows,Cash from Financing Activity,10,,,,43,,,,239,,,,427,,,
Cash Flows,Net Cash Flow,1,,,,17,,,,-5,,,,-3,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,20,,,,21,,,,21,,,,47,,,
Ratios,Inventory Days,36,,,,28,,,,59,,,,44,,,
Ratios,Days Payable,1,,,,0,,,,1,,,,3,,,
Ratios,Cash Conversion Cycle,55,,,,49,,,,80,,,,88,,,
Ratios,Working Capital Days,54,,,,48,,,,74,,,,86,,,
Ratios,ROCE %,,,,,17%,,,,19%,,,,23%,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.55%,,73.55%,73.55%,73.55%,73.55%,73.55%,62.08%,61.32%,61.32%,62.51%,58.24%,58.18%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,,0.00%,0.00%,0.00%,0.01%,0.00%,0.13%,0.04%,0.08%,0.25%,0.86%,0.39%,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,6.63%,7.13%,,,
Shareholding Pattern (Quarterly),Public,26.45%,,26.45%,26.45%,26.45%,26.45%,26.45%,37.79%,38.64%,38.58%,37.24%,34.26%,34.29%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,127,,178,289,1753,4610,6560,13573,14436,13763,24465,67113,79872,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.55%,,,,73.55%,,,,61.32%,,,,58.18%,73.55%,73.55%,73.55%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.04%,,,,0.39%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,7.13%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,26.45%,,,,26.45%,,,,38.64%,,,,34.29%,26.45%,26.45%,26.45%
Shareholding Pattern (Yearly),No. of Shareholders,127,,,,1753,,,,14436,,,,79872,111,103,101
,,,,,,,,,,,,,,,,,
