Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,
,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,
Ratios,ROCE %,,,,,,,,,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,60.79%,60.79%,60.79%,60.79%,60.79%,60.79%,60.79%,60.79%,60.79%
Shareholding Pattern (Quarterly),FIIs,4.26%,3.29%,3.94%,4.33%,4.64%,4.52%,4.56%,4.58%,4.60%
Shareholding Pattern (Quarterly),DIIs,19.99%,20.46%,20.17%,19.10%,16.95%,16.21%,16.06%,16.02%,16.03%
Shareholding Pattern (Quarterly),Public,14.95%,15.46%,15.08%,15.76%,17.60%,18.47%,18.59%,18.60%,18.58%
Shareholding Pattern (Quarterly),No. of Shareholders,672431,636596,619682,623535,734975,806965,786835,797191,800150
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.79%,,,,60.79%,,,,60.79%
Shareholding Pattern (Yearly),FIIs,4.26%,,,,4.64%,,,,4.60%
Shareholding Pattern (Yearly),DIIs,19.99%,,,,16.95%,,,,16.03%
Shareholding Pattern (Yearly),Public,14.95%,,,,17.60%,,,,18.58%
Shareholding Pattern (Yearly),No. of Shareholders,672431,,,,734975,,,,800150
,,,,,,,,,,
