Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,1012,1042,1116,1106,1115,1056,1096,1156,1167,1145,1219,1294,1341,,,,,
Quarterly Results,Expenses,881,824,889,876,926,808,816,868,879,851,913,1030,1075,,,,,
Quarterly Results,Operating Profit,131,219,226,230,189,248,280,288,288,295,306,265,266,,,,,
Quarterly Results,OPM %,13%,21%,20%,21%,17%,23%,26%,25%,25%,26%,25%,20%,20%,,,,,
Quarterly Results,Other Income,10,10,31,10,9,10,15,18,19,9,16,8,14,,,,,
Quarterly Results,Interest,15,19,21,6,32,24,27,31,29,26,23,27,24,,,,,
Quarterly Results,Depreciation,22,24,27,31,31,33,38,39,49,46,51,53,53,,,,,
Quarterly Results,Profit before tax,104,186,208,203,136,201,230,236,229,232,247,192,204,,,,,
Quarterly Results,Tax %,27%,26%,23%,26%,28%,25%,25%,25%,27%,26%,25%,26%,24%,,,,,
Quarterly Results,Net Profit,81,138,160,150,98,150,173,177,168,172,186,142,155,,,,,
Quarterly Results,EPS in Rs,0.74,1.26,1.45,1.37,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3038,,,,4378,,,,4475,,,,5000,1374,1719,1875,1696,
Profit & Loss,Expenses,2265,,,,3508,,,,3371,,,,3862,1008,1264,1280,991,
Profit & Loss,Operating Profit,773,,,,870,,,,1104,,,,1137,366,455,595,704,
Profit & Loss,OPM %,25%,,,,20%,,,,25%,,,,23%,27%,26%,32%,42%,
Profit & Loss,Other Income,46,,,,54,,,,62,,,,42,80,59,44,30,
Profit & Loss,Interest,53,,,,78,,,,111,,,,101,125,90,41,40,
Profit & Loss,Depreciation,83,,,,113,,,,158,,,,204,61,67,51,63,
Profit & Loss,Profit before tax,684,,,,733,,,,896,,,,875,259,357,547,631,
Profit & Loss,Tax %,26%,,,,25%,,,,26%,,,,25%,36%,36%,20%,25%,
Profit & Loss,Net Profit,509,,,,546,,,,668,,,,654,162,229,436,463,
Profit & Loss,EPS in Rs,4.63,,,,4.97,,,,6.07,,,,5.95,6.31,2.08,3.97,4.21,
Profit & Loss,Dividend Payout %,5%,,,,5%,,,,4%,,,,4%,0%,12%,6%,6%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,110,,,,110,,,,110,,,,110,257,110,110,110,
Balance Sheet,Reserves,2306,,,,2831,,,,3470,,,,4097,759,992,1361,1824,
Balance Sheet,Borrowings,1035,,,,1422,,,,1557,,,,1834,1345,394,428,529,
Balance Sheet,Other Liabilities,964,,,,1282,,,,1454,,,,1624,442,552,577,741,
Balance Sheet,Total Liabilities,4415,,,,5645,,,,6592,,,,7665,2803,2048,2476,3204,
Balance Sheet,Fixed Assets,1733,,,,2335,,,,3174,,,,3651,897,980,1198,1379,
Balance Sheet,CWIP,1171,,,,1619,,,,1502,,,,1872,102,190,342,696,
Balance Sheet,Investments,634,,,,682,,,,706,,,,811,180,176,282,417,
Balance Sheet,Other Assets,878,,,,1010,,,,1209,,,,1331,1624,701,655,711,
Balance Sheet,Total Assets,4415,,,,5645,,,,6592,,,,7665,2803,2048,2476,3204,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,732,,,,853,,,,955,,,,964,277,356,492,654,
Cash Flows,Cash from Investing Activity,-1133,,,,-1167,,,,-752,,,,-933,-988,791,-461,-770,
Cash Flows,Cash from Financing Activity,422,,,,295,,,,-78,,,,56,779,-1077,-102,39,
Cash Flows,Net Cash Flow,21,,,,-19,,,,125,,,,87,68,70,-71,-78,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,26,,,,33,,,,31,38,18,12,22,
Ratios,Inventory Days,15,,,,11,,,,,,,,,18,15,14,25,
Ratios,Days Payable,31,,,,36,,,,,,,,,57,35,28,55,
Ratios,Cash Conversion Cycle,6,,,,1,,,,33,,,,31,-2,-2,-2,-8,
