Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,28.01%,28.01%,23.30%,23.30%,23.30%,22.40%,22.40%,22.40%,22.39%,22.30%,22.29%,22.43%,,
Shareholding Pattern (Quarterly),FIIs,8.27%,3.93%,2.61%,1.16%,1.68%,2.16%,2.91%,2.90%,3.02%,3.50%,4.80%,4.67%,,
Shareholding Pattern (Quarterly),DIIs,23.90%,22.52%,22.19%,20.93%,18.68%,18.38%,17.01%,14.04%,12.64%,8.01%,5.89%,5.66%,,
Shareholding Pattern (Quarterly),Public,39.82%,45.55%,51.89%,54.61%,56.35%,57.05%,57.68%,60.66%,61.95%,66.19%,67.01%,67.22%,,
Shareholding Pattern (Quarterly),No. of Shareholders,94811,95459,95707,94321,94136,94848,94235,96276,103356,108301,110197,108734,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,23.30%,,,,22.40%,,,,22.43%,28.02%,28.01%
Shareholding Pattern (Yearly),FIIs,,,,1.16%,,,,2.90%,,,,4.67%,6.73%,9.94%
Shareholding Pattern (Yearly),DIIs,,,,20.93%,,,,14.04%,,,,5.66%,27.86%,24.04%
Shareholding Pattern (Yearly),Public,,,,54.61%,,,,60.66%,,,,67.22%,37.39%,38.01%
Shareholding Pattern (Yearly),No. of Shareholders,,,,94321,,,,96276,,,,108734,124764,95101
,,,,,,,,,,,,,,,
