Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,99,160,171,204,238,266,282,305,281,321,317,340,314,,,
Quarterly Results,Expenses,87,141,151,178,204,249,258,278,256,298,294,317,294,,,
Quarterly Results,Operating Profit,12,19,20,26,34,18,24,27,25,23,23,23,20,,,
Quarterly Results,OPM %,12%,12%,12%,13%,14%,7%,9%,9%,9%,7%,7%,7%,6%,,,
Quarterly Results,Other Income,0,0,1,1,1,1,1,1,1,2,1,2,4,,,
Quarterly Results,Interest,1,0,1,0,0,0,0,0,0,0,1,0,2,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Quarterly Results,Profit before tax,11,18,20,26,34,18,24,27,24,23,22,24,21,,,
Quarterly Results,Tax %,21%,26%,25%,26%,26%,26%,25%,25%,26%,27%,27%,28%,28%,,,
Quarterly Results,Net Profit,9,13,15,19,25,13,18,20,18,17,16,17,15,,,
Quarterly Results,EPS in Rs,1.72,2.57,2.84,3.63,4.84,2.45,3.37,3.80,3.40,3.24,3.03,3.23,2.80,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,282,,,,773,,,,1135,,,,1292,248,367,106
Profit & Loss,Expenses,260,,,,674,,,,1041,,,,1203,225,322,106
Profit & Loss,Operating Profit,23,,,,99,,,,94,,,,89,23,45,-0
Profit & Loss,OPM %,8%,,,,13%,,,,8%,,,,7%,9%,12%,-0%
Profit & Loss,Other Income,1,,,,3,,,,3,,,,9,0,1,2
Profit & Loss,Interest,1,,,,1,,,,1,,,,4,0,1,1
Profit & Loss,Depreciation,2,,,,4,,,,4,,,,4,1,2,2
Profit & Loss,Profit before tax,20,,,,97,,,,92,,,,90,22,44,-0
Profit & Loss,Tax %,21%,,,,26%,,,,26%,,,,28%,30%,27%,625%
Profit & Loss,Net Profit,16,,,,73,,,,69,,,,65,15,32,-1
Profit & Loss,EPS in Rs,3.11,,,,13.88,,,,13.01,,,,12.28,32.15,66.69,-3.05
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,15%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,11,,,,11,5,5,5
Balance Sheet,Reserves,72,,,,146,,,,226,,,,290,29,61,60
Balance Sheet,Borrowings,8,,,,7,,,,6,,,,11,2,3,9
Balance Sheet,Other Liabilities,78,,,,159,,,,176,,,,187,53,69,49
Balance Sheet,Total Liabilities,169,,,,323,,,,419,,,,499,89,138,123
Balance Sheet,Fixed Assets,16,,,,14,,,,12,,,,16,4,5,39
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,1,0
Balance Sheet,Investments,0,,,,44,,,,44,,,,70,0,0,0
Balance Sheet,Other Assets,153,,,,264,,,,363,,,,413,86,132,84
Balance Sheet,Total Assets,169,,,,323,,,,419,,,,499,89,138,123
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-12,,,,50,,,,22,,,,57,18,22,6
Cash Flows,Cash from Investing Activity,6,,,,-30,,,,-15,,,,-46,-7,0,-27
Cash Flows,Cash from Financing Activity,-3,,,,-2,,,,2,,,,-8,-5,1,-2
Cash Flows,Net Cash Flow,-9,,,,18,,,,9,,,,3,5,23,-22
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,117,,,,95,,,,85,,,,83,67,68,137
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,117,,,,95,,,,85,,,,83,67,68,137
Ratios,Working Capital Days,48,,,,31,,,,40,,,,64,8,17,18
Ratios,ROCE %,25%,,,,77%,,,,46%,,,,34%,,84%,-1%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,67.00%,67.00%,67.00%,66.02%,66.02%,66.02%,66.02%,66.02%,65.96%,65.72%,65.72%,,,
Shareholding Pattern (Quarterly),FIIs,,,11.78%,11.50%,11.16%,11.94%,5.65%,5.22%,5.35%,3.88%,3.55%,2.52%,0.98%,,,
Shareholding Pattern (Quarterly),DIIs,,,7.08%,8.67%,9.31%,8.92%,6.12%,9.23%,8.02%,9.30%,7.84%,7.59%,3.49%,,,
Shareholding Pattern (Quarterly),Public,,,14.15%,12.83%,12.53%,13.13%,22.21%,19.53%,20.61%,20.79%,22.64%,24.16%,29.81%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,67719,56719,47366,43390,86675,87931,98143,101741,113968,118416,122750,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,67.00%,,,,66.02%,,,,65.72%,,,
Shareholding Pattern (Yearly),FIIs,,,,,11.16%,,,,5.35%,,,,0.98%,,,
Shareholding Pattern (Yearly),DIIs,,,,,9.31%,,,,8.02%,,,,3.49%,,,
Shareholding Pattern (Yearly),Public,,,,,12.53%,,,,20.61%,,,,29.81%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,47366,,,,98143,,,,122750,,,
,,,,,,,,,,,,,,,,,
