Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1187,1016,1091,1150,1224,1204,1187,1222,1401,1230,1312,1182,1595,,,,,,
Quarterly Results,Expenses,1067,897,1026,1004,1079,1058,1041,1088,1239,1104,1206,1044,1424,,,,,,
Quarterly Results,Operating Profit,120,119,64,146,146,146,146,134,162,127,106,138,171,,,,,,
Quarterly Results,OPM %,10%,12%,6%,13%,12%,12%,12%,11%,12%,10%,8%,12%,11%,,,,,,
Quarterly Results,Other Income,177,44,26,54,98,74,72,75,100,202,57,67,104,,,,,,
Quarterly Results,Interest,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,
Quarterly Results,Depreciation,9,9,11,11,15,10,11,11,12,11,12,12,12,,,,,,
Quarterly Results,Profit before tax,287,153,79,189,228,210,206,198,250,318,151,193,261,,,,,,
Quarterly Results,Tax %,22%,22%,30%,18%,23%,24%,25%,24%,25%,23%,22%,24%,27%,,,,,,
Quarterly Results,Net Profit,224,120,55,154,175,160,154,151,186,244,118,147,192,,,,,,
Quarterly Results,EPS in Rs,14.68,7.82,3.62,10.09,11.44,10.49,10.08,9.87,12.17,15.95,7.71,9.63,12.54,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3768,,,,4481,,,,5014,,,,5319,2360,2445,2815,3078,2877,2768
Profit & Loss,Expenses,3339,,,,3972,,,,4426,,,,4778,2002,2049,2374,2604,2494,2398
Profit & Loss,Operating Profit,429,,,,509,,,,588,,,,541,358,396,441,474,384,370
Profit & Loss,OPM %,11%,,,,11%,,,,12%,,,,10%,15%,16%,16%,15%,13%,13%
Profit & Loss,Other Income,398,,,,188,,,,321,,,,429,125,160,153,178,169,300
