Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Revenue,4554,4922,5470,5912,6424,6869,7356,7880,8220,8789,8957,9343,9413,,,,,
Quarterly Results,Interest,1884,2170,2467,2626,2827,3122,3406,3592,3750,4093,4169,4440,4505,,,,,
Quarterly Results,Expenses,3031,2957,3304,3612,3901,4114,4377,4874,5164,5417,6270,6260,6459,,,,,
Quarterly Results,Financing Profit,-361,-205,-301,-326,-303,-367,-427,-587,-694,-721,-1482,-1358,-1551,,,,,
Quarterly Results,Financing Margin %,-8%,-4%,-6%,-6%,-5%,-5%,-6%,-7%,-8%,-8%,-17%,-15%,-16%,,,,,
Quarterly Results,Other Income,831,856,1061,1152,1398,1364,1410,1517,1642,1574,1727,1780,1895,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Quarterly Results,Profit before tax,470,650,760,827,1094,996,983,930,948,853,245,422,344,,,,,
Quarterly Results,Tax %,25%,25%,25%,25%,25%,27%,24%,21%,23%,25%,14%,19%,14%,,,,,
Quarterly Results,Net Profit,352,485,567,617,816,732,747,732,732,643,212,340,296,,,,,
Quarterly Results,EPS in Rs,0.57,0.78,0.91,0.99,1.23,1.10,1.11,1.04,1.04,0.91,0.28,0.46,0.40,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,17173,,,,22728,,,,30325,,,,36502,8578,9098,12204,16240,15968
Profit & Loss,Interest,7465,,,,10091,,,,13870,,,,17208,6515,7126,8743,10228,8585
Profit & Loss,Expenses,12323,,,,13338,,,,17899,,,,24406,1432,1789,4702,9760,8733
Profit & Loss,Financing Profit,-2615,,,,-701,,,,-1444,,,,-5112,631,184,-1241,-3748,-1350
Profit & Loss,Financing Margin %,-15%,,,,-3%,,,,-5%,,,,-14%,7%,2%,-10%,-23%,-8%
Profit & Loss,Other Income,3173,,,,4467,,,,5932,,,,6977,1019,1120,824,1722,2211
Profit & Loss,Depreciation,382,,,,435,,,,631,,,,0,136,168,2820,320,343
Profit & Loss,Profit before tax,175,,,,3331,,,,3857,,,,1864,1514,1135,-3237,-2346,519
Profit & Loss,Tax %,24%,,,,25%,,,,24%,,,,20%,30%,16%,-41%,21%,7%
Profit & Loss,Net Profit,132,,,,2485,,,,2942,,,,1490,1019,880,-1908,-2843,483
Profit & Loss,EPS in Rs,0.21,,,,3.75,,,,4.16,,,,2.04,3.00,2.58,-3.99,-5.91,0.85
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,12%,25%,29%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,
