Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,16.58,12.14,17.18,17.75,18.34,18.81,19.12,18.48,22.36,19.75,22.95,21.55,31.00,,,
Quarterly Results,Expenses,12.07,8.39,12.02,12.35,13.26,14.06,13.32,13.54,16.50,13.73,17.25,15.71,26.28,,,
Quarterly Results,Operating Profit,4.51,3.75,5.16,5.40,5.08,4.75,5.80,4.94,5.86,6.02,5.70,5.84,4.72,,,
Quarterly Results,OPM %,27.20%,30.89%,30.03%,30.42%,27.70%,25.25%,30.33%,26.73%,26.21%,30.48%,24.84%,27.10%,15.23%,,,
Quarterly Results,Other Income,0.52,0.45,0.29,0.28,0.41,0.57,0.48,0.61,0.64,0.38,0.47,0.20,1.18,,,
Quarterly Results,Interest,0.78,0.72,0.93,1.09,1.18,1.20,1.20,1.06,1.10,1.27,1.31,1.27,1.05,,,
Quarterly Results,Depreciation,2.05,2.51,2.54,2.60,2.81,3.27,3.41,3.25,3.51,4.00,4.03,4.00,4.30,,,
Quarterly Results,Profit before tax,2.20,0.97,1.98,1.99,1.50,0.85,1.67,1.24,1.89,1.13,0.83,0.77,0.55,,,
Quarterly Results,Tax %,32.27%,27.84%,29.29%,29.15%,91.33%,40.00%,41.32%,50.81%,34.39%,48.67%,53.01%,59.74%,87.27%,,,
Quarterly Results,Net Profit,1.48,0.70,1.39,1.40,0.13,0.50,0.98,0.61,1.23,0.57,0.39,0.31,0.07,,,
Quarterly Results,EPS in Rs,1.60,0.70,1.54,1.40,0.31,0.54,1.03,0.55,0.99,0.50,0.36,0.13,0.03,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,57.46,,,,65.40,,,,78.78,,,,95.25,62.76,57.95,41.57
Profit & Loss,Expenses,42.05,,,,45.88,,,,57.28,,,,72.98,47.12,43.71,29.63
Profit & Loss,Operating Profit,15.41,,,,19.52,,,,21.50,,,,22.27,15.64,14.24,11.94
Profit & Loss,OPM %,26.82%,,,,29.85%,,,,27.29%,,,,23.38%,24.92%,24.57%,28.72%
Profit & Loss,Other Income,1.86,,,,1.43,,,,2.29,,,,2.24,0.79,0.97,0.98
Profit & Loss,Interest,3.02,,,,4.06,,,,4.70,,,,4.90,1.83,1.85,3.32
Profit & Loss,Depreciation,7.64,,,,10.46,,,,13.44,,,,16.34,4.04,3.72,5.50
