Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,2967,3143,3474,3146,3113,3102,7173,8154,9120,9692,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,2951,3128,3454,3124,3077,3006,6767,7705,8563,9176,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,15,15,19,23,36,95,406,449,558,516,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,1%,0%,1%,1%,1%,3%,6%,6%,6%,5%,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,43,32,17,28,16,23,29,44,24,53,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,33,35,37,38,43,44,19,20,20,25,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,35,34,36,34,34,34,57,56,70,85,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-9,-21,-37,-21,-25,40,359,417,491,458,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,27%,26%,24%,22%,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-6,-24,-36,-22,-25,40,263,309,371,359,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.32,-0.17,-2.84,0.06,-0.13,1.75,7.26,8.52,10.25,9.90,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,12729,,,,,,34157,12491,14282,18183,30270,29857,28499,31561,30240,19173,12027,,,,,,,,,,,
Profit & Loss,Expenses,,,,12652,,,,,,32211,12435,13921,17619,29545,29103,27890,30938,30127,19928,17134,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,77,,,,,,1946,56,361,564,725,755,609,623,114,-755,-5107,,,,,,,,,,,
Profit & Loss,OPM %,,,,1%,,,,,,6%,0%,3%,3%,2%,3%,2%,2%,0%,-4%,-42%,,,,,,,,,,,
Profit & Loss,Other Income,,,,116,,,,,,132,382,207,189,343,448,320,252,99,150,36,,,,,,,,,,,
Profit & Loss,Interest,,,,143,,,,,,84,195,186,291,722,676,712,613,1439,972,971,,,,,,,,,,,
Profit & Loss,Depreciation,,,,138,,,,,,268,86,100,124,150,166,177,160,167,159,143,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,-88,,,,,,1726,157,281,338,196,361,40,102,-1393,-1736,-6186,,,,,,,,,,,
Profit & Loss,Tax %,,,,0%,,,,,,25%,38%,37%,31%,55%,21%,98%,24%,-6%,-22%,-7%,,,,,,,,,,,
Profit & Loss,Net Profit,,,,-88,,,,,,1301,97,178,234,88,283,0,73,-1274,-1363,-5755,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,-0.31,,,,,,35.91,5.06,6.65,6.77,2.61,8.18,0.01,2.40,-38.12,-39.26,-168.74,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,,,28%,10%,9%,7%,12%,4%,3144%,7%,-0%,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,65,,,,,,72,38,53,67,67,67,67,67,67,65,65,,,,,,,,,,,
Balance Sheet,Reserves,,,,-4784,,,,,,11298,1123,1889,2139,2155,2353,2299,2187,2367,857,-4772,,,,,,,,,,,
Balance Sheet,Borrowings,,,,8865,,,,,,788,1897,2456,4514,6220,7379,3857,4189,5863,5923,8079,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,3818,,,,,,3359,3423,3610,4426,6177,7023,7872,8418,8951,6678,4421,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,7964,,,,,,15517,6481,8007,11146,14619,16822,14095,14861,17248,13523,7794,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,5241,,,,,,5554,1335,1965,2233,2497,2661,2704,2455,5670,5537,5389,,,,,,,,,,,
Balance Sheet,CWIP,,,,27,,,,,,93,79,130,183,241,213,144,112,42,29,28,,,,,,,,,,,
Balance Sheet,Investments,,,,31,,,,,,158,72,142,118,142,162,168,153,91,50,44,,,,,,,,,,,
Balance Sheet,Other Assets,,,,2665,,,,,,9711,4995,5771,8611,11740,13786,11079,12141,11445,7907,2333,,,,,,,,,,,
Balance Sheet,Total Assets,,,,7964,,,,,,15517,6481,8007,11146,14619,16822,14095,14861,17248,13523,7794,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,225,,,,,,197,668,202,-977,715,-2030,3946,-271,-412,441,979,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-98,,,,,,-14,-167,-373,-220,-214,79,113,104,17,86,-68,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-7,,,,,,-611,-322,632,1450,1011,588,-4234,-3,563,-669,-970,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,120,,,,,,-428,179,461,253,1512,-1363,-174,-169,168,-141,-59,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,8,,,,,,17,37,38,53,40,59,67,78,82,101,9,,,,,,,,,,,
Ratios,Inventory Days,,,,42,,,,,,79,49,46,73,56,48,53,40,32,27,42,,,,,,,,,,,
Ratios,Days Payable,,,,62,,,,,,33,95,87,88,60,71,86,82,82,107,91,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,-13,,,,,,63,-8,-3,38,36,36,34,36,33,21,-40,,,,,,,,,,,
Ratios,Working Capital Days,,,,-75,,,,,,62,17,19,42,26,29,27,37,25,12,-98,,,,,,,,,,,
Ratios,ROCE %,,,,2%,,,,,,,11%,12%,11%,12%,11%,9%,10%,1%,-11%,-106%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,72.81%,69.76%,69.48%,69.45%,,,,,,,,,,,80.82%,80.82%,80.82%,80.82%,80.82%,73.82%,73.82%,73.77%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,10.30%,14.39%,13.32%,13.42%,,,,,,,,,,,2.35%,2.24%,2.27%,2.79%,3.00%,10.63%,10.93%,10.58%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,3.04%,5.28%,6.28%,8.71%,,,,,,,,,,,2.27%,2.35%,2.73%,2.26%,2.19%,2.21%,2.02%,2.57%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,13.86%,10.57%,10.92%,8.42%,,,,,,,,,,,14.55%,14.58%,14.16%,14.13%,13.99%,13.32%,13.23%,13.07%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,241426,229908,227663,211001,,,,,,,,,,,348917,329325,326976,325871,301317,273645,264113,258652,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,28.08%,,,,,,69.45%,,,,,,,,,57.28%,57.28%,,,,80.82%,,,,73.77%,99.03%,98.90%,98.90%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,,,13.42%,,,,,,,,,0.45%,0.00%,,,,2.79%,,,,10.58%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.08%,,,,,,8.71%,,,,,,,,,0.14%,0.21%,,,,2.26%,,,,2.57%,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),Government,,,,0.23%,,,,,,0.00%,,,,,,,,,0.00%,0.17%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,71.60%,,,,,,8.42%,,,,,,,,,42.13%,42.34%,,,,14.13%,,,,13.07%,0.96%,1.10%,1.09%
Shareholding Pattern (Yearly),No. of Shareholders,,,,86813,,,,,,211001,,,,,,,,,33688,49526,,,,325871,,,,258652,82022,84039,93942
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
