Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2021,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,46.71,26.99,36.23,38.71,52.53,68.95,54.33,59.33,41.76,51.76,77.42,70.68,49.26,,,,,,,,
Quarterly Results,Expenses,37.67,19.62,26.19,27.50,34.39,54.70,29.38,34.89,23.60,37.60,42.73,38.63,37.65,,,,,,,,
Quarterly Results,Operating Profit,9.04,7.37,10.04,11.21,18.14,14.25,24.95,24.44,18.16,14.16,34.69,32.05,11.61,,,,,,,,
Quarterly Results,OPM %,19.35%,27.31%,27.71%,28.96%,34.53%,20.67%,45.92%,41.19%,43.49%,27.36%,44.81%,45.35%,23.57%,,,,,,,,
Quarterly Results,Other Income,0.53,0.12,0.06,0.28,0.09,0.21,0.40,0.36,0.46,0.30,0.49,0.51,0.48,,,,,,,,
Quarterly Results,Interest,0.44,0.68,1.13,1.55,1.51,1.49,1.51,0.87,0.31,0.64,0.72,1.02,0.66,,,,,,,,
Quarterly Results,Depreciation,1.16,1.35,1.36,1.52,1.53,1.57,1.64,1.84,2.45,2.86,2.96,3.05,2.94,,,,,,,,
Quarterly Results,Profit before tax,7.97,5.46,7.61,8.42,15.19,11.40,22.20,22.09,15.86,10.96,31.50,28.49,8.49,,,,,,,,
Quarterly Results,Tax %,23.71%,19.60%,19.32%,20.55%,36.60%,29.74%,27.61%,26.12%,23.33%,32.66%,27.30%,29.48%,28.39%,,,,,,,,
Quarterly Results,Net Profit,6.08,4.38,6.14,6.69,9.63,8.01,16.07,16.32,12.15,7.38,22.90,20.08,6.08,,,,,,,,
Quarterly Results,EPS in Rs,0.23,0.17,0.23,0.25,0.36,0.30,0.61,0.62,0.46,0.28,0.87,0.76,0.23,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,105,,,,154,,,,224,,,,249,16,23,78,,,,,
Profit & Loss,Expenses,78,,,,108,,,,143,,,,157,14,18,56,,,,,
Profit & Loss,Operating Profit,27,,,,47,,,,82,,,,92,2,5,22,,,,,
Profit & Loss,OPM %,25%,,,,30%,,,,36%,,,,37%,12%,22%,29%,,,,,
Profit & Loss,Other Income,1,,,,0,,,,1,,,,2,0,0,1,,,,,
Profit & Loss,Interest,2,,,,5,,,,4,,,,3,1,1,2,,,,,
Profit & Loss,Depreciation,4,,,,6,,,,8,,,,12,1,1,3,,,,,
Profit & Loss,Profit before tax,22,,,,37,,,,72,,,,79,1,3,18,,,,,
Profit & Loss,Tax %,20%,,,,27%,,,,27%,,,,29%,10%,34%,17%,,,,,
Profit & Loss,Net Profit,18,,,,27,,,,53,,,,56,1,2,15,,,,,
Profit & Loss,EPS in Rs,0.68,,,,1.02,,,,2.00,,,,2.13,0.03,0.06,0.58,,,,,
Profit & Loss,Dividend Payout %,9%,,,,6%,,,,9%,,,,9%,0%,24%,11%,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4,,,,16,,,,49,,,,49,5,5,4,,,,,
Balance Sheet,Reserves,78,,,,91,,,,115,,,,188,6,8,62,,,,,
Balance Sheet,Borrowings,16,,,,30,,,,18,,,,26,0,0,3,,,,,
Balance Sheet,Other Liabilities,11,,,,12,,,,34,,,,26,9,6,17,,,,,
Balance Sheet,Total Liabilities,109,,,,149,,,,216,,,,290,21,19,87,,,,,
Balance Sheet,Fixed Assets,27,,,,31,,,,48,,,,115,7,8,16,,,,,
Balance Sheet,CWIP,7,,,,9,,,,18,,,,5,0,0,1,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,,,,,
Balance Sheet,Other Assets,75,,,,110,,,,149,,,,171,14,12,70,,,,,
Balance Sheet,Total Assets,109,,,,149,,,,216,,,,290,21,19,87,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-32,,,,2,,,,65,,,,50,4,-1,45,,,,,
Cash Flows,Cash from Investing Activity,23,,,,-10,,,,-42,,,,-57,-1,-1,-42,,,,,
Cash Flows,Cash from Financing Activity,9,,,,8,,,,-23,,,,8,-0,-0,-3,,,,,
Cash Flows,Net Cash Flow,-0,,,,-0,,,,1,,,,1,3,-2,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,126,,,,94,,,,104,,,,104,134,93,62,,,,,
Ratios,Inventory Days,131,,,,258,,,,218,,,,345,143,122,34,,,,,
Ratios,Days Payable,6,,,,18,,,,28,,,,24,329,112,4,,,,,
Ratios,Cash Conversion Cycle,251,,,,334,,,,295,,,,426,-52,103,91,,,,,
Ratios,Working Capital Days,211,,,,227,,,,162,,,,197,33,81,24,,,,,
Ratios,ROCE %,29%,,,,35%,,,,47%,,,,37%,,33%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,40.14%,40.14%,40.14%,40.10%,40.10%,40.10%,40.06%,40.06%,40.06%,38.58%,38.57%,,,,38.51%,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.11%,0.18%,0.48%,,,,0.46%,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.03%,0.01%,0.01%,0.00%,0.36%,0.65%,0.92%,0.43%,,,,0.37%,,,,
Shareholding Pattern (Quarterly),Public,,,59.86%,59.87%,59.86%,59.88%,59.89%,59.89%,59.94%,59.56%,59.18%,60.33%,60.52%,,,,60.65%,,,,
