Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,376,200,123,368,797,571,198,76,526,341,308,350,719,,,,,,,,,
Quarterly Results,Expenses,338,153,129,394,624,481,209,116,548,313,292,324,612,,,,,,,,,
Quarterly Results,Operating Profit,38,47,-6,-26,173,90,-11,-40,-21,28,16,26,106,,,,,,,,,
Quarterly Results,OPM %,10%,23%,-5%,-7%,22%,16%,-6%,-53%,-4%,8%,5%,7%,15%,,,,,,,,,
Quarterly Results,Other Income,7,4,14,6,7,7,7,8,1,12,14,20,6,,,,,,,,,
Quarterly Results,Interest,9,8,11,14,6,37,9,31,21,19,11,6,6,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,4,4,4,2,3,4,,,,,,,,,
Quarterly Results,Profit before tax,34,40,-6,-37,172,58,-17,-67,-45,17,17,36,101,,,,,,,,,
Quarterly Results,Tax %,20%,34%,11%,-27%,29%,17%,55%,-6%,-41%,62%,40%,27%,35%,,,,,,,,,
Quarterly Results,Net Profit,27,26,-7,-27,121,48,-26,-63,-26,6,10,26,66,,,,,,,,,
Quarterly Results,EPS in Rs,3.53,2.79,-1.16,-3.39,15.45,6.05,-3.33,-8.27,-3.57,0.82,1.28,3.33,8.59,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1117,,,,1488,,,,1371,,,,1717,764,697,754,964,1403,866,1130,692,
Profit & Loss,Expenses,931,,,,1301,,,,1354,,,,1542,543,492,555,726,1100,619,896,629,
Profit & Loss,Operating Profit,186,,,,188,,,,18,,,,176,221,204,198,238,303,247,234,62,
Profit & Loss,OPM %,17%,,,,13%,,,,1%,,,,10%,29%,29%,26%,25%,22%,29%,21%,9%,
Profit & Loss,Other Income,12,,,,33,,,,23,,,,51,15,12,17,10,14,11,47,17,
Profit & Loss,Interest,50,,,,41,,,,98,,,,42,46,44,84,86,99,92,80,70,
Profit & Loss,Depreciation,10,,,,12,,,,14,,,,14,7,10,15,15,15,15,17,12,
Profit & Loss,Profit before tax,138,,,,168,,,,-71,,,,171,183,162,116,147,203,151,184,-3,
Profit & Loss,Tax %,37%,,,,33%,,,,-5%,,,,36%,36%,37%,46%,42%,24%,34%,46%,22%,
Profit & Loss,Net Profit,85,,,,113,,,,-67,,,,109,117,102,62,85,154,99,100,-5,
Profit & Loss,EPS in Rs,10.45,,,,13.69,,,,-9.12,,,,14.02,12.15,8.62,7.77,11.51,16.03,9.95,9.55,-0.73,
Profit & Loss,Dividend Payout %,19%,,,,29%,,,,-44%,,,,0%,25%,23%,19%,14%,12%,24%,0%,0%,
