Section,,Mar 2024,Dec 2024,Mar 2025,Sep 2023,Dec 2023,Jun 2024,Sep 2024
Quarterly Results,Sales,489.16,622.39,801.42,,,,
Quarterly Results,Expenses,481.31,607.75,780.68,,,,
Quarterly Results,Operating Profit,7.85,14.64,20.74,,,,
Quarterly Results,OPM %,1.60%,2.35%,2.59%,,,,
Quarterly Results,Other Income,10.39,7.45,6.60,,,,
Quarterly Results,Interest,10.07,15.45,16.95,,,,
Quarterly Results,Depreciation,1.75,3.21,4.06,,,,
Quarterly Results,Profit before tax,6.42,3.43,6.33,,,,
Quarterly Results,Tax %,-10.28%,57.43%,23.85%,,,,
Quarterly Results,Net Profit,7.07,1.46,4.82,,,,
Quarterly Results,EPS in Rs,0.61,0.13,0.42,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,1169,,2598,,,,
Profit & Loss,Expenses,1159,,2539,,,,
Profit & Loss,Operating Profit,10,,59,,,,
Profit & Loss,OPM %,1%,,2%,,,,
Profit & Loss,Other Income,18,,31,,,,
Profit & Loss,Interest,19,,54,,,,
Profit & Loss,Depreciation,6,,13,,,,
Profit & Loss,Profit before tax,4,,24,,,,
Profit & Loss,Tax %,-17%,,35%,,,,
Profit & Loss,Net Profit,4,,15,,,,
Profit & Loss,EPS in Rs,0.37,,1.34,,,,
Profit & Loss,Dividend Payout %,0%,,0%,,,,
,,,,,,,,
Balance Sheet,Equity Capital,23,,23,,,,
Balance Sheet,Reserves,543,,643,,,,
Balance Sheet,Borrowings,15,,140,,,,
Balance Sheet,Other Liabilities,762,,1269,,,,
Balance Sheet,Total Liabilities,1343,,2075,,,,
Balance Sheet,Fixed Assets,69,,98,,,,
Balance Sheet,CWIP,0,,0,,,,
Balance Sheet,Investments,3,,82,,,,
Balance Sheet,Other Assets,1271,,1895,,,,
Balance Sheet,Total Assets,1343,,2075,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,195,,69,,,,
Cash Flows,Cash from Investing Activity,-135,,-128,,,,
Cash Flows,Cash from Financing Activity,-15,,68,,,,
Cash Flows,Net Cash Flow,46,,9,,,,
,,,,,,,,
Ratios,Debtor Days,190,,136,,,,
Ratios,Inventory Days,42,,24,,,,
Ratios,Days Payable,201,,145,,,,
Ratios,Cash Conversion Cycle,31,,15,,,,
Ratios,Working Capital Days,63,,6,,,,
Ratios,ROCE %,,,11%,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.75%,62.59%,62.57%,62.85%,62.85%,62.72%,62.61%
Shareholding Pattern (Quarterly),FIIs,0.51%,0.28%,0.31%,10.51%,10.46%,0.29%,0.50%
Shareholding Pattern (Quarterly),DIIs,8.07%,9.54%,9.60%,11.98%,12.03%,7.83%,8.29%
Shareholding Pattern (Quarterly),Public,28.67%,27.59%,27.51%,14.66%,14.66%,29.17%,28.59%
Shareholding Pattern (Quarterly),No. of Shareholders,83268,89929,88561,63363,62796,90106,90725
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.75%,,62.57%,,,,
Shareholding Pattern (Yearly),FIIs,0.51%,,0.31%,,,,
Shareholding Pattern (Yearly),DIIs,8.07%,,9.60%,,,,
Shareholding Pattern (Yearly),Public,28.67%,,27.51%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,83268,,88561,,,,
,,,,,,,,
