Section,,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,216.45,137.91,158.69,152.38,,,,,,,,,,,,,,
Quarterly Results,Expenses,208.12,129.44,147.16,140.45,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,8.33,8.47,11.53,11.93,,,,,,,,,,,,,,
Quarterly Results,OPM %,3.85%,6.14%,7.27%,7.83%,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,0.24,0.31,,,,,,,,,,,,,,
Quarterly Results,Interest,2.38,2.82,1.99,2.15,,,,,,,,,,,,,,
Quarterly Results,Depreciation,3.20,3.16,3.16,3.28,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.75,2.49,6.62,6.81,,,,,,,,,,,,,,
Quarterly Results,Tax %,104.73%,-51.41%,24.92%,25.70%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-0.13,3.77,4.96,5.05,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.01,0.16,0.22,0.22,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,908,,,,602,,,,,,,,,,,,,
Profit & Loss,Expenses,877,,,,559,,,,,,,,,,,,,
Profit & Loss,Operating Profit,31,,,,43,,,,,,,,,,,,,
Profit & Loss,OPM %,3%,,,,7%,,,,,,,,,,,,,
Profit & Loss,Other Income,3,,,,1,,,,,,,,,,,,,
Profit & Loss,Interest,9,,,,10,,,,,,,,,,,,,
Profit & Loss,Depreciation,13,,,,13,,,,,,,,,,,,,
Profit & Loss,Profit before tax,12,,,,21,,,,,,,,,,,,,
Profit & Loss,Tax %,46%,,,,17%,,,,,,,,,,,,,
Profit & Loss,Net Profit,7,,,,18,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.29,,,,0.77,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,23,,,,23,,,,,,,,,,,,,
Balance Sheet,Reserves,57,,,,74,,,,,,,,,,,,,
Balance Sheet,Borrowings,125,,,,118,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,38,,,,30,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,243,,,,246,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,80,,,,94,,,,,,,,,,,,,
Balance Sheet,CWIP,25,,,,0,,,,,,,,,,,,,
Balance Sheet,Investments,0,,,,0,,,,,,,,,,,,,
Balance Sheet,Other Assets,138,,,,152,,,,,,,,,,,,,
Balance Sheet,Total Assets,243,,,,246,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2,,,,19,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-21,,,,-3,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,12,,,,-17,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-7,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,40,,,,59,,,,,,,,,,,,,
Ratios,Inventory Days,11,,,,31,,,,,,,,,,,,,
Ratios,Days Payable,10,,,,13,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,41,,,,77,,,,,,,,,,,,,
Ratios,Working Capital Days,42,,,,75,,,,,,,,,,,,,
Ratios,ROCE %,,,,,15%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,50.29%,50.29%,50.29%,51.51%,51.51%,45.54%,45.54%,45.54%,45.54%,45.54%,45.54%,50.29%,,,,,,
Shareholding Pattern (Quarterly),FIIs,6.12%,6.12%,6.12%,6.12%,6.12%,0.00%,6.70%,6.70%,6.70%,6.70%,6.70%,6.12%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,1.74%,2.18%,6.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,43.59%,43.59%,43.59%,40.63%,40.20%,47.76%,47.75%,47.76%,47.76%,47.76%,47.76%,43.59%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,3221,3446,3833,3140,2962,1181,1707,3126,2980,2794,2449,2671,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.29%,,,,51.51%,,,,45.54%,,,,36.31%,38.41%,37.59%,34.36%,35.82%,40.55%
Shareholding Pattern (Yearly),FIIs,6.12%,,,,6.12%,,,,6.70%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,2.18%,,,,0.00%,,,,0.00%,0.00%,0.00%,6.70%,6.70%,6.70%
Shareholding Pattern (Yearly),Public,43.59%,,,,40.20%,,,,47.76%,,,,63.69%,61.58%,62.42%,58.93%,57.48%,52.75%
Shareholding Pattern (Yearly),No. of Shareholders,3221,,,,2962,,,,2980,,,,67,75,64,55,73,797
,,,,,,,,,,,,,,,,,,,
