Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Revenue,23,26,30,34,33,38,43,40,41,52,58,52,35,,,,,
Quarterly Results,Interest,8,10,12,14,15,17,18,21,23,26,27,25,21,,,,,
Quarterly Results,Expenses,13,14,16,18,15,17,20,22,24,22,26,25,71,,,,,
Quarterly Results,Financing Profit,2,2,2,2,3,3,4,-3,-5,4,4,2,-56,,,,,
Quarterly Results,Financing Margin %,8%,9%,8%,7%,9%,9%,10%,-7%,-12%,7%,7%,4%,-159%,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,9,12,0,1,1,1,,,,,
Quarterly Results,Depreciation,2,2,2,2,2,2,2,3,2,2,2,2,21,,,,,
Quarterly Results,Profit before tax,0,1,0,0,1,1,3,3,4,2,3,1,-76,,,,,
Quarterly Results,Tax %,146%,121%,31%,91%,47%,29%,47%,13%,-39%,35%,61%,-25%,-11%,,,,,
Quarterly Results,Net Profit,-0,-0,0,0,0,1,1,3,6,1,1,1,-68,,,,,
Quarterly Results,EPS in Rs,-0.02,-0.01,0.02,0.00,0.04,0.09,0.12,0.24,0.49,0.10,0.09,0.08,-5.79,,,,,
Quarterly Results,Gross NPA %,3.14%,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,2.10%,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,76,,,,123,,,,162,,,,197,19,19,30,,
Profit & Loss,Interest,24,,,,51,,,,79,,,,99,5,2,4,,
Profit & Loss,Expenses,40,,,,63,,,,83,,,,144,12,12,22,,
Profit & Loss,Financing Profit,12,,,,10,,,,-0,,,,-46,2,6,4,,
Profit & Loss,Financing Margin %,15%,,,,8%,,,,-0%,,,,-24%,12%,31%,12%,,
Profit & Loss,Other Income,0,,,,1,,,,21,,,,3,0,0,0,,
Profit & Loss,Depreciation,5,,,,8,,,,9,,,,28,0,0,1,,
Profit & Loss,Profit before tax,7,,,,2,,,,11,,,,-71,2,6,3,,
Profit & Loss,Tax %,45%,,,,74%,,,,4%,,,,-17%,12%,27%,53%,,
Profit & Loss,Net Profit,4,,,,1,,,,11,,,,-59,2,4,1,,
Profit & Loss,EPS in Rs,0.45,,,,0.05,,,,0.94,,,,-5.07,0.32,0.60,0.17,,
Profit & Loss,Dividend Payout %,2%,,,,18%,,,,1%,,,,0%,16%,3%,6%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,23,,,,23,,,,23,14,14,15,,
Balance Sheet,Reserves,154,,,,193,,,,189,,,,139,13,18,85,,
Balance Sheet,Borrowing,286,,,,443,,,,686,,,,520,25,16,81,,
Balance Sheet,Other Liabilities,13,,,,13,,,,23,,,,17,2,2,6,,
Balance Sheet,Total Liabilities,472,,,,671,,,,921,,,,699,54,48,186,,
Balance Sheet,Fixed Assets,23,,,,24,,,,31,,,,26,1,3,11,,
Balance Sheet,CWIP,24,,,,29,,,,23,,,,0,1,0,4,,
Balance Sheet,Investments,26,,,,49,,,,28,,,,31,0,1,11,,
