Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2022
Quarterly Results,Sales,0.00,0.00,0.38,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.28,0.01,0.00,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,0.23,0.13,0.49,0.92,0.60,-0.33,0.94,0.76,0.91,-0.02,0.22,1.54,0.88,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.23,-0.13,-0.11,-0.92,-0.60,0.33,-0.75,-0.76,-0.91,0.02,0.06,-1.53,-0.88,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,-28.95%,,,,-394.74%,,,,21.43%,-15300.00%,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.22,0.14,0.34,0.00,0.00,0.65,0.00,0.00,0.25,-2.05,1.36,1.17,0.80,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.45,0.38,0.38,0.28,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.03,-0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-0.04,0.07,0.22,-0.93,-0.61,0.97,-0.76,-0.77,-0.93,-2.49,1.03,-0.75,-0.37,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,975.00%,-57.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.67%,0.00%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-0.43,0.11,0.22,-0.92,-0.60,0.97,-0.76,-0.77,-0.93,-2.49,1.04,-0.76,-0.36,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.72,0.19,0.37,-1.55,-1.01,1.63,-1.28,-1.30,-1.57,-4.19,1.75,-1.28,-0.61,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,0.17,,,,0.38,,,,0.19,,,,0.29,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,1.05,,,,1.61,,,,0.78,,,,2.62,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,-0.88,,,,-1.23,,,,-0.59,,,,-2.33,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,-517.65%,,,,-323.68%,,,,-310.53%,,,,-803.45%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,0.79,,,,0.92,,,,-1.64,,,,1.28,,,,,,,,,,,,,,,
Profit & Loss,Interest,,0.00,,,,0.00,,,,0.72,,,,1.49,,,,,,,,,,,,,,,
