Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,224,243,281,325,288,279,354,385,311,300,343,388,,
Quarterly Results,Expenses,189,209,241,254,239,237,292,300,264,258,285,300,,
Quarterly Results,Operating Profit,35,34,41,72,49,42,62,85,47,42,57,87,,
Quarterly Results,OPM %,16%,14%,14%,22%,17%,15%,18%,22%,15%,14%,17%,23%,,
Quarterly Results,Other Income,0,3,4,3,4,3,3,4,4,5,3,6,,
Quarterly Results,Interest,0,0,0,0,0,1,1,0,1,1,1,2,,
Quarterly Results,Depreciation,8,8,9,9,10,11,15,16,15,15,15,13,,
Quarterly Results,Profit before tax,27,28,35,65,42,33,50,73,36,31,45,79,,
Quarterly Results,Tax %,26%,-31%,26%,26%,26%,24%,25%,25%,25%,27%,20%,27%,,
Quarterly Results,Net Profit,20,37,26,49,32,25,38,54,27,22,36,57,,
Quarterly Results,EPS in Rs,4.19,7.80,5.52,10.23,6.52,5.32,7.82,11.27,5.50,4.75,7.56,11.95,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1073,,,,1306,,,,1341,,
Profit & Loss,Expenses,,,,892,,,,1068,,,,1107,,
Profit & Loss,Operating Profit,,,,182,,,,238,,,,233,,
Profit & Loss,OPM %,,,,17%,,,,18%,,,,17%,,
Profit & Loss,Other Income,,,,10,,,,14,,,,18,,
Profit & Loss,Interest,,,,1,,,,2,,,,4,,
Profit & Loss,Depreciation,,,,34,,,,52,,,,59,,
Profit & Loss,Profit before tax,,,,156,,,,199,,,,190,,
Profit & Loss,Tax %,,,,15%,,,,25%,,,,25%,,
Profit & Loss,Net Profit,,,,132,,,,149,,,,142,,
Profit & Loss,EPS in Rs,,,,27.73,,,,30.94,,,,29.76,,
Profit & Loss,Dividend Payout %,,,,13%,,,,11%,,,,12%,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,48,,,,48,,,,48,,
Balance Sheet,Reserves,,,,729,,,,855,,,,983,,
Balance Sheet,Borrowings,,,,12,,,,21,,,,27,,
Balance Sheet,Other Liabilities,,,,274,,,,347,,,,352,,
Balance Sheet,Total Liabilities,,,,1062,,,,1270,,,,1410,,
Balance Sheet,Fixed Assets,,,,265,,,,591,,,,568,,
Balance Sheet,CWIP,,,,251,,,,17,,,,136,,
Balance Sheet,Investments,,,,132,,,,167,,,,226,,
Balance Sheet,Other Assets,,,,414,,,,495,,,,481,,
Balance Sheet,Total Assets,,,,1062,,,,1270,,,,1410,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,116,,,,151,,,,206,,
Cash Flows,Cash from Investing Activity,,,,-84,,,,-142,,,,-178,,
Cash Flows,Cash from Financing Activity,,,,-20,,,,-23,,,,-24,,
Cash Flows,Net Cash Flow,,,,12,,,,-14,,,,4,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,68,,,,62,,,,66,,
Ratios,Inventory Days,,,,72,,,,91,,,,77,,
Ratios,Days Payable,,,,122,,,,122,,,,89,,
Ratios,Cash Conversion Cycle,,,,18,,,,31,,,,55,,
Ratios,Working Capital Days,,,,27,,,,41,,,,101,,
Ratios,ROCE %,,,,,,,,23%,,,,20%,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,54.00%,54.00%,54.00%,53.98%,53.98%,53.95%,53.94%,53.94%,53.94%,53.93%,53.93%,53.93%,,
Shareholding Pattern (Quarterly),FIIs,9.08%,8.82%,10.19%,8.80%,8.90%,8.75%,8.77%,7.73%,8.28%,12.31%,12.50%,12.41%,,
Shareholding Pattern (Quarterly),DIIs,3.40%,3.07%,3.34%,3.20%,2.88%,2.29%,1.77%,1.96%,1.07%,16.14%,17.06%,16.74%,,
Shareholding Pattern (Quarterly),Public,33.52%,34.10%,32.47%,33.99%,34.23%,35.00%,35.54%,36.37%,36.73%,17.64%,16.52%,16.93%,,
Shareholding Pattern (Quarterly),No. of Shareholders,86808,94158,112218,122785,121986,136982,140003,143588,145181,149623,156800,158925,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,53.98%,,,,53.94%,,,,53.93%,54.00%,54.00%
Shareholding Pattern (Yearly),FIIs,,,,8.80%,,,,7.73%,,,,12.41%,10.67%,8.94%
Shareholding Pattern (Yearly),DIIs,,,,3.20%,,,,1.96%,,,,16.74%,3.15%,3.61%
Shareholding Pattern (Yearly),Public,,,,33.99%,,,,36.37%,,,,16.93%,32.18%,33.46%
Shareholding Pattern (Yearly),No. of Shareholders,,,,122785,,,,143588,,,,158925,86097,86835
,,,,,,,,,,,,,,,
