Section,,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0.00,0.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1.08,1.04,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-1.08,-1.04,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.72,0.72,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.00,0.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.11,0.09,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-0.47,-0.41,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,0.00%,0.00%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-0.46,-0.41,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18.96,18.96,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-24.13,-24.77,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0.00,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,15.27,15.21,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,10.10,9.40,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,4.61,3.98,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.38,1.04,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,5.11,4.38,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,10.10,9.40,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.63,-0.28,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0.84,-0.46,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,0.33,1.21,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-1.14,0.47,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
