Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,1070,1226,1346,1463,1583,1198,1409,1311,1302,1301,1491,1268,1629,,,,,,,,,
Quarterly Results,Expenses,895,1112,1301,1269,1319,1073,1346,1118,1057,1214,1486,1191,1321,,,,,,,,,
Quarterly Results,Operating Profit,175,114,45,193,263,125,63,193,246,86,5,77,308,,,,,,,,,
Quarterly Results,OPM %,16%,9%,3%,13%,17%,10%,4%,15%,19%,7%,0%,6%,19%,,,,,,,,,
Quarterly Results,Other Income,4,18,1421,37,22,12,12,22,16,11,14,24,9,,,,,,,,,
Quarterly Results,Interest,15,22,17,8,10,21,10,6,18,26,16,11,30,,,,,,,,,
Quarterly Results,Depreciation,20,22,23,24,24,25,26,26,27,29,32,33,32,,,,,,,,,
Quarterly Results,Profit before tax,143,89,1426,199,251,91,39,182,217,42,-30,58,255,,,,,,,,,
Quarterly Results,Tax %,24%,25%,3%,26%,24%,26%,26%,25%,26%,26%,-26%,26%,27%,,,,,,,,,
Quarterly Results,Net Profit,109,66,1388,147,190,68,29,137,161,31,-22,43,187,,,,,,,,,
Quarterly Results,EPS in Rs,4.52,2.75,57.40,6.09,8.69,3.09,1.33,6.28,7.36,1.43,-0.88,2.20,8.36,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4291,,,,5617,,,,5220,,,,5689,3153,2061,1915,2824,3370,3152,4437,4674,
Profit & Loss,Expenses,3655,,,,4999,,,,4593,,,,5213,3083,2079,1789,2302,3094,2842,3893,4112,
Profit & Loss,Operating Profit,636,,,,618,,,,627,,,,476,70,-18,126,522,276,309,543,562,
Profit & Loss,OPM %,15%,,,,11%,,,,12%,,,,8%,2%,-1%,7%,18%,8%,10%,12%,12%,
Profit & Loss,Other Income,73,,,,1496,,,,62,,,,58,45,30,41,-36,33,83,56,28,
Profit & Loss,Interest,55,,,,57,,,,56,,,,83,187,122,115,127,85,68,79,52,
Profit & Loss,Depreciation,81,,,,93,,,,104,,,,126,119,59,59,57,55,57,75,79,
Profit & Loss,Profit before tax,574,,,,1964,,,,529,,,,324,-191,-169,-7,302,169,268,446,460,
Profit & Loss,Tax %,26%,,,,9%,,,,25%,,,,27%,-8%,-10%,-1%,16%,29%,19%,25%,36%,
Profit & Loss,Net Profit,424,,,,1792,,,,395,,,,238,-176,-152,-7,253,119,216,335,295,
Profit & Loss,EPS in Rs,17.54,,,,81.86,,,,18.05,,,,11.11,-6.84,-5.90,-0.28,9.81,4.62,8.38,13.52,12.19,
Profit & Loss,Dividend Payout %,19%,,,,4%,,,,32%,,,,22%,0%,0%,0%,0%,5%,8%,8%,14%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,22,,,,22,,,,22,,26,26,26,26,26,25,24,26
Balance Sheet,Reserves,1889,,,,2643,,,,2879,,,,3089,,633,561,810,921,1115,1314,1532,814
Balance Sheet,Borrowings,1575,,,,929,,,,1424,,,,1972,,1472,1678,1721,1240,1684,1530,990,1176
Balance Sheet,Other Liabilities,815,,,,865,,,,799,,,,1159,,834,740,554,850,985,1181,1078,1005
Balance Sheet,Total Liabilities,4303,,,,4459,,,,5124,,,,6242,,2965,3006,3111,3036,3810,4050,3624,3021
Balance Sheet,Fixed Assets,1077,,,,1470,,,,1517,,,,2334,,875,862,858,847,842,1087,1073,950
Balance Sheet,CWIP,257,,,,28,,,,226,,,,32,,18,9,2,10,205,26,22,2
Balance Sheet,Investments,193,,,,6,,,,55,,,,10,,81,99,109,116,113,142,146,68
Balance Sheet,Other Assets,2775,,,,2955,,,,3326,,,,3867,,1990,2036,2142,2063,2650,2796,2383,2000
Balance Sheet,Total Assets,4303,,,,4459,,,,5124,,,,6242,,2965,3006,3111,3036,3810,4050,3624,3021
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-173,,,,397,,,,100,,,,,,-141,-93,145,621,-169,510,791,23
Cash Flows,Cash from Investing Activity,-257,,,,1414,,,,-359,,,,,,-33,-28,-39,-41,-215,-107,-108,14
Cash Flows,Cash from Financing Activity,442,,,,-1762,,,,263,,,,,,172,119,-102,-583,394,-386,-704,-40
Cash Flows,Net Cash Flow,12,,,,49,,,,4,,,,,,-2,-2,4,-3,11,17,-21,-2
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,25,,,,24,,,,33,,41,48,36,34,27,22,16,26
Ratios,Inventory Days,261,,,,179,,,,246,,,,242,,275,372,333,223,347,215,185,216
Ratios,Days Payable,45,,,,37,,,,36,,,,49,,147,118,51,89,104,85,66,126
Ratios,Cash Conversion Cycle,239,,,,167,,,,234,,,,226,,169,302,318,168,271,152,135,116
Ratios,Working Capital Days,162,,,,128,,,,167,,,,171,,144,196,181,118,187,120,104,71
Ratios,ROCE %,21%,,,,18%,,,,15%,,,,9%,,-2%,5%,21%,11%,13%,18%,19%,-0%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.43%,68.25%,61.22%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,5.62%,4.43%,5.29%,4.67%,4.23%,4.32%,4.42%,4.91%,4.84%,4.66%,5.18%,5.57%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,4.85%,6.02%,8.10%,8.54%,8.21%,8.47%,8.47%,8.60%,8.82%,9.99%,9.71%,9.49%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,21.10%,21.28%,25.40%,25.80%,26.58%,26.24%,26.13%,25.52%,25.35%,24.38%,24.15%,23.96%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,94862,96359,107526,89198,94966,105195,109835,115453,113927,114355,113941,111748,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.43%,,,,60.98%,,,,60.98%,,,,60.98%,,,,68.21%,68.21%,68.21%,68.35%,68.43%,
Shareholding Pattern (Yearly),FIIs,5.28%,,,,4.67%,,,,4.91%,,,,5.57%,,,,3.10%,4.03%,3.69%,4.07%,2.78%,
Shareholding Pattern (Yearly),DIIs,4.70%,,,,8.54%,,,,8.60%,,,,9.49%,,,,5.57%,1.82%,2.22%,3.68%,4.07%,
Shareholding Pattern (Yearly),Public,21.59%,,,,25.80%,,,,25.52%,,,,23.96%,,,,23.12%,25.93%,25.87%,23.91%,24.72%,
Shareholding Pattern (Yearly),No. of Shareholders,95171,,,,89198,,,,115453,,,,111748,,,,33781,50316,45695,45887,50862,
,,,,,,,,,,,,,,,,,,,,,,,
