Section,,Mar 2009,Mar 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,13.29,19.63,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,10.44,14.39,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,2.85,5.24,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,21.44%,26.69%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,3.03,2.76,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.00,1.60,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,1.32,2.38,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,4.56,4.02,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,26.10%,37.81%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,3.37,2.50,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.72,0.46,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,87.03%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4.66,6.07,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,54.26,74.46,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0.00,17.20,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,6.19,23.54,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,65.11,121.27,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,28.63,86.11,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1.30,13.78,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,32.17,11.60,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,3.01,9.78,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,65.11,121.27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2.01,3.53,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-21.56,20.15,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,20.57,-25.45,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1.02,-1.77,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,7.96,25.66,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,36.29,69.05,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,93.92,349.50,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-49.67,-254.78,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-12.36,-173.30,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,61.20%,62.78%,62.78%,62.78%,62.78%,62.78%,62.67%,62.67%,62.67%,62.67%,62.67%,62.67%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.05%,0.15%,0.06%,0.07%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,,38.80%,37.23%,37.22%,37.22%,37.22%,37.17%,37.28%,37.29%,37.18%,37.28%,37.26%,37.32%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,12042,11749,11608,11186,10888,13831,12838,19242,19962,19755,18729,18375,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,62.78%,,,,62.67%,,,,62.67%,52.28%,56.96%,59.18%,62.84%,62.84%,62.84%
Shareholding Pattern (Yearly),FIIs,,,,,,0.00%,,,,0.05%,,,,0.01%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,0.00%,,,,0.00%,,,,0.00%,41.96%,0.04%,0.04%,0.04%,0.04%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,37.22%,,,,37.29%,,,,37.32%,5.76%,42.63%,40.78%,37.12%,37.12%,37.16%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,11186,,,,19242,,,,18375,2650,5570,5203,5363,7097,10944
,,,,,,,,,,,,,,,,,,,,,
