Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,49.65,53.87,55.53,50.72,51.49,53.62,57.69,59.39,58.39,63.82,,,,,,,,,,,
Quarterly Results,Expenses,37.16,40.26,43.16,40.56,41.98,43.66,47.02,47.89,48.65,53.81,,,,,,,,,,,
Quarterly Results,Operating Profit,12.49,13.61,12.37,10.16,9.51,9.96,10.67,11.50,9.74,10.01,,,,,,,,,,,
Quarterly Results,OPM %,25.16%,25.26%,22.28%,20.03%,18.47%,18.58%,18.50%,19.36%,16.68%,15.68%,,,,,,,,,,,
Quarterly Results,Other Income,0.68,0.20,0.00,0.98,0.90,1.18,0.70,0.96,1.15,1.68,,,,,,,,,,,
Quarterly Results,Interest,0.80,0.68,0.58,0.88,0.93,0.88,0.88,1.13,1.23,0.52,,,,,,,,,,,
Quarterly Results,Depreciation,2.05,1.90,2.08,2.25,2.20,2.18,2.26,2.35,2.35,1.85,,,,,,,,,,,
Quarterly Results,Profit before tax,10.32,11.23,9.71,8.01,7.28,8.08,8.23,8.98,7.31,9.32,,,,,,,,,,,
Quarterly Results,Tax %,24.81%,19.32%,25.54%,25.59%,24.86%,30.32%,25.15%,25.39%,25.17%,29.18%,,,,,,,,,,,
Quarterly Results,Net Profit,7.75,9.06,7.24,5.97,5.47,5.62,6.16,6.70,5.47,6.61,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.38,1.62,1.29,1.07,0.98,1.00,1.10,1.20,0.98,1.18,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,219,,,,213,,,,239,25,33,39,,,,,,,,
Profit & Loss,Expenses,,166,,,,169,,,,197,20,26,32,,,,,,,,
Profit & Loss,Operating Profit,,53,,,,43,,,,42,5,6,7,,,,,,,,
Profit & Loss,OPM %,,24%,,,,20%,,,,18%,21%,19%,19%,,,,,,,,
Profit & Loss,Other Income,,0,,,,2,,,,4,1,1,1,,,,,,,,
Profit & Loss,Interest,,3,,,,3,,,,4,1,2,3,,,,,,,,
Profit & Loss,Depreciation,,8,,,,9,,,,9,2,2,2,,,,,,,,
Profit & Loss,Profit before tax,,42,,,,33,,,,34,3,3,4,,,,,,,,
Profit & Loss,Tax %,,23%,,,,26%,,,,26%,56%,58%,46%,,,,,,,,
Profit & Loss,Net Profit,,33,,,,24,,,,25,1,1,2,,,,,,,,
Profit & Loss,EPS in Rs,,5.82,,,,4.35,,,,4.45,0.25,0.19,0.35,,,,,,,,
Profit & Loss,Dividend Payout %,,34%,,,,52%,,,,45%,73%,108%,60%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,6,,,,6,,,,6,5,5,5,,,,,,,,
Balance Sheet,Reserves,,128,,,,139,,,,153,10,10,10,,,,,,,,
Balance Sheet,Borrowings,,15,,,,34,,,,43,24,26,27,,,,,,,,
Balance Sheet,Other Liabilities,,26,,,,28,,,,29,13,16,21,,,,,,,,
Balance Sheet,Total Liabilities,,174,,,,207,,,,231,52,56,63,,,,,,,,
Balance Sheet,Fixed Assets,,76,,,,80,,,,102,17,21,23,,,,,,,,
Balance Sheet,CWIP,,8,,,,14,,,,9,4,1,1,,,,,,,,
Balance Sheet,Investments,,1,,,,4,,,,5,0,0,0,,,,,,,,
Balance Sheet,Other Assets,,87,,,,109,,,,114,30,34,38,,,,,,,,
Balance Sheet,Total Assets,,174,,,,207,,,,231,52,56,63,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,50,,,,28,,,,27,2,-3,9,,,,,,,,
Cash Flows,Cash from Investing Activity,,-23,,,,-19,,,,-26,-7,-4,-4,,,,,,,,
Cash Flows,Cash from Financing Activity,,-23,,,,4,,,,-7,5,3,-3,,,,,,,,
Cash Flows,Net Cash Flow,,4,,,,13,,,,-6,0,-3,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,83,,,,94,,,,92,101,120,119,,,,,,,,
Ratios,Inventory Days,,90,,,,102,,,,101,193,182,161,,,,,,,,
Ratios,Days Payable,,52,,,,57,,,,57,115,73,90,,,,,,,,
Ratios,Cash Conversion Cycle,,121,,,,139,,,,136,180,230,189,,,,,,,,
Ratios,Working Capital Days,,85,,,,99,,,,101,150,163,116,,,,,,,,
Ratios,ROCE %,,,,,,22%,,,,20%,,12%,15%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.25%,71.25%,70.18%,70.18%,70.18%,70.18%,70.18%,68.44%,68.44%,68.44%,,,,71.25%,71.25%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.59%,1.64%,1.00%,0.57%,0.54%,0.56%,0.58%,0.45%,0.46%,0.46%,,,,2.13%,1.85%,,,,,,
Shareholding Pattern (Quarterly),Public,27.16%,27.10%,28.82%,29.25%,29.28%,29.26%,29.24%,31.11%,31.10%,31.11%,,,,26.62%,26.90%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,24337,22699,25020,26256,27188,28340,26795,28280,28030,27552,,,,25334,25408,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,71.25%,,,,70.18%,,,,68.44%,,,,,,74.67%,70.70%,70.91%,71.08%,71.25%,71.25%
Shareholding Pattern (Yearly),FIIs,,1.64%,,,,0.56%,,,,0.46%,,,,,,0.00%,0.00%,0.40%,2.07%,2.42%,2.13%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,1.22%,1.20%,1.08%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,1.11%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,27.10%,,,,29.26%,,,,31.11%,,,,,,25.33%,26.97%,27.49%,25.77%,26.33%,26.62%
Shareholding Pattern (Yearly),No. of Shareholders,,22699,,,,28340,,,,27552,,,,,,9814,12190,14207,13917,14916,25948
,,,,,,,,,,,,,,,,,,,,,,
