Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,0,0,7,4,0,5,9,12,3,9,4,2,56,,,,,,
Quarterly Results,Expenses,0,0,0,0,1,0,0,2,4,0,0,0,64,,,,,,
Quarterly Results,Operating Profit,-0,0,6,4,-1,5,8,10,-0,8,3,1,-8,,,,,,
Quarterly Results,OPM %,-144%,16%,94%,89%,-2550%,91%,95%,85%,-9%,95%,88%,76%,-14%,,,,,,
Quarterly Results,Other Income,11,37,12,11,4,5,10,0,0,10,11,11,1,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
Quarterly Results,Profit before tax,10,37,18,15,3,9,18,10,-1,18,15,12,-11,,,,,,
Quarterly Results,Tax %,-7%,-0%,6%,1%,-2%,4%,7%,15%,-41%,5%,21%,9%,12%,,,,,,
Quarterly Results,Net Profit,11,37,17,15,3,9,17,8,-0,17,12,11,-13,,,,,,
Quarterly Results,EPS in Rs,110.70,365.70,165.50,145.10,27.90,90.30,166.80,84.50,-3.10,173.30,115.00,110.20,-126.30,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6,,,,11,,,,29,,,,70,18,44,79,2,2,7
Profit & Loss,Expenses,1,,,,2,,,,2,,,,53,16,31,64,2,8,2
Profit & Loss,Operating Profit,5,,,,9,,,,27,,,,18,2,13,15,0,-6,6
Profit & Loss,OPM %,79%,,,,85%,,,,93%,,,,25%,13%,30%,19%,16%,-241%,77%
Profit & Loss,Other Income,69,,,,63,,,,11,,,,21,0,0,1,9,0,54
Profit & Loss,Interest,0,,,,0,,,,0,,,,3,0,0,0,0,0,0
Profit & Loss,Depreciation,0,,,,0,,,,1,,,,2,0,0,0,0,0,1
Profit & Loss,Profit before tax,73,,,,72,,,,37,,,,34,2,13,15,9,-6,58
Profit & Loss,Tax %,0%,,,,2%,,,,8%,,,,19%,-1%,19%,20%,4%,-16%,2%
Profit & Loss,Net Profit,73,,,,70,,,,34,,,,27,-18,86,31,9,-5,57
Profit & Loss,EPS in Rs,730.30,,,,704.20,,,,338.40,,,,272.20,-180.40,862.30,308.00,90.20,-54.40,571.50
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,1%,,,,0%,-1%,0%,1%,3%,-2%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1,,,,1,,,,1,,,,1,1,1,1,1,1,1
Balance Sheet,Reserves,640,,,,712,,,,865,,,,1280,87,231,271,409,364,490
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,258,0,0,0,0,0,0
Balance Sheet,Other Liabilities,9,,,,10,,,,19,,,,281,2,5,8,1,5,6
Balance Sheet,Total Liabilities,650,,,,722,,,,885,,,,1820,91,237,280,411,370,497
Balance Sheet,Fixed Assets,11,,,,11,,,,11,,,,734,1,1,1,6,12,12
Balance Sheet,CWIP,0,,,,0,,,,0,,,,79,0,0,0,0,0,0
Balance Sheet,Investments,629,,,,704,,,,861,,,,850,70,215,239,397,341,473
Balance Sheet,Other Assets,9,,,,7,,,,13,,,,156,20,22,39,8,17,12
Balance Sheet,Total Assets,650,,,,722,,,,885,,,,1820,91,237,280,411,370,497
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2,,,,-1,,,,5,,,,-8,-8,1,-8,1,6,-7
Cash Flows,Cash from Investing Activity,0,,,,-0,,,,0,,,,-6,8,1,10,-4,3,-1
Cash Flows,Cash from Financing Activity,-1,,,,-1,,,,-1,,,,4,-1,-2,1,-0,-0,-0
Cash Flows,Net Cash Flow,2,,,,-2,,,,4,,,,-10,-1,1,3,-4,9,-8
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,121,0,0,0,0,0,0
Ratios,Inventory Days,,,,,,,,,,,,,,342,136,114,,,
Ratios,Days Payable,,,,,,,,,,,,,,0,3,0,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,121,342,133,114,0,0,0
Ratios,Working Capital Days,88,,,,64,,,,24,,,,-17,254,91,93,1123,216,327
Ratios,ROCE %,13%,,,,11%,,,,5%,,,,3%,,8%,6%,3%,-2%,14%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,73.58%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.04%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.43%,0.43%,,,,,,
Shareholding Pattern (Quarterly),Public,,26.38%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,25.98%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1851,1950,1903,1892,2219,2278,2347,2245,2447,2508,2810,2837,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.58%,,,,73.58%,,,,73.58%,,,,73.58%,,73.58%,73.58%,73.58%,73.58%,73.58%
Shareholding Pattern (Yearly),DIIs,0.04%,,,,0.44%,,,,0.44%,,,,0.43%,,0.17%,0.17%,0.04%,0.04%,0.04%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.03%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,26.37%,,,,25.98%,,,,25.98%,,,,25.98%,,26.24%,26.25%,26.35%,26.38%,26.38%
