Section,,Jun 2006,Sep 2006,Dec 2006,Mar 2007,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,60.46,65.72,75.78,69.01,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,51.79,56.82,65.96,60.56,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,8.67,8.90,9.82,8.45,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14.34%,13.54%,12.96%,12.24%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.19,0.11,0.06,0.10,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.67,2.63,3.02,3.81,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.24,2.28,2.49,2.34,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.95,4.10,4.37,2.40,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,14.43%,21.22%,26.32%,69.58%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,3.38,3.23,3.22,0.73,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.39,1.33,1.33,0.30,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,271,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,235,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,36,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,13%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,12,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,15,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,11,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,4.35,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.18%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,34.07%,34.07%,34.24%,34.24%,34.24%,34.24%,34.24%,34.24%,34.24%,34.23%,34.24%,34.24%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,12415,12107,12438,12442,12824,13891,13284,13711,13562,14387,14577,14592,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,65.76%,,,,65.76%,,,,65.76%,64.03%,64.04%,64.82%,65.52%,65.76%,65.76%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%
Shareholding Pattern (Yearly),Public,,,,,,,,,34.24%,,,,34.24%,,,,34.24%,35.79%,35.79%,35.00%,34.31%,34.07%,34.07%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,12442,,,,13711,,,,14592,9460,8895,8686,8649,9947,13001
,,,,,,,,,,,,,,,,,,,,,,,,
