Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,165,157,179,210,243,185,194,162,286,,,
Quarterly Results,Expenses,142,143,155,180,209,160,164,156,223,,,
Quarterly Results,Operating Profit,23,14,24,30,35,25,30,6,64,,,
Quarterly Results,OPM %,14%,9%,13%,14%,14%,13%,15%,3%,22%,,,
Quarterly Results,Other Income,10,2,8,3,6,3,16,-1,3,,,
Quarterly Results,Interest,9,8,10,10,12,11,7,10,12,,,
Quarterly Results,Depreciation,9,11,11,12,12,13,13,12,12,,,
Quarterly Results,Profit before tax,15,-3,11,11,16,4,26,-17,42,,,
Quarterly Results,Tax %,20%,78%,9%,16%,28%,28%,15%,-24%,26%,,,
Quarterly Results,Net Profit,12,-5,10,9,12,3,22,-13,32,,,
Quarterly Results,EPS in Rs,11.36,-4.32,1.86,1.70,2.24,0.46,3.22,-1.93,4.56,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,596,,,,789,,,,827,723,495,461
Profit & Loss,Expenses,522,,,,679,,,,704,635,439,393
Profit & Loss,Operating Profit,74,,,,109,,,,124,87,57,68
Profit & Loss,OPM %,12%,,,,14%,,,,15%,12%,11%,15%
Profit & Loss,Other Income,19,,,,18,,,,21,16,18,10
Profit & Loss,Interest,34,,,,47,,,,40,43,30,28
Profit & Loss,Depreciation,38,,,,45,,,,49,33,36,36
Profit & Loss,Profit before tax,20,,,,36,,,,55,27,9,13
Profit & Loss,Tax %,36%,,,,26%,,,,21%,54%,-60%,38%
Profit & Loss,Net Profit,13,,,,26,,,,44,13,14,8
Profit & Loss,EPS in Rs,12.23,,,,4.94,,,,6.32,8.52,9.06,7.73
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,6%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,53,,,,69,16,16,11
Balance Sheet,Reserves,413,,,,398,,,,732,422,439,401
Balance Sheet,Borrowings,364,,,,460,,,,431,313,257,290
Balance Sheet,Other Liabilities,176,,,,296,,,,362,162,122,141
Balance Sheet,Total Liabilities,963,,,,1208,,,,1594,913,834,843
Balance Sheet,Fixed Assets,381,,,,414,,,,422,388,365,354
Balance Sheet,CWIP,3,,,,66,,,,148,2,2,4
Balance Sheet,Investments,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,579,,,,727,,,,1024,523,467,484
Balance Sheet,Total Assets,963,,,,1208,,,,1594,913,834,843
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,14,,,,103,,,,-60,71,96,67
Cash Flows,Cash from Investing Activity,-52,,,,-145,,,,-164,-19,-7,-22
Cash Flows,Cash from Financing Activity,40,,,,43,,,,227,-65,-88,-50
Cash Flows,Net Cash Flow,1,,,,1,,,,3,-13,1,-5
,,,,,,,,,,,,,
Ratios,Debtor Days,106,,,,90,,,,109,99,146,122
Ratios,Inventory Days,555,,,,533,,,,738,226,284,514
Ratios,Days Payable,253,,,,300,,,,313,65,120,220
Ratios,Cash Conversion Cycle,407,,,,323,,,,534,259,311,416
Ratios,Working Capital Days,228,,,,183,,,,257,180,260,256
Ratios,ROCE %,7%,,,,10%,,,,9%,,5%,6%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,70.18%,70.17%,70.17%,70.29%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,5.85%,2.23%,0.83%,0.65%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,12.11%,16.16%,16.53%,17.43%,,,
Shareholding Pattern (Quarterly),Public,,,,,,11.86%,11.43%,12.46%,11.63%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,67136,55246,54609,51116,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,70.29%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.65%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,17.43%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,11.63%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,51116,,,
,,,,,,,,,,,,,
