Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,120,192,197,234,253,224,227,290,327,268,284,355,379,,,,,,,
Quarterly Results,Expenses,98,104,103,107,113,118,125,149,156,153,154,171,175,,,,,,,
Quarterly Results,Operating Profit,22,88,94,126,140,106,102,141,171,115,131,184,203,,,,,,,
Quarterly Results,OPM %,18%,46%,48%,54%,55%,47%,45%,49%,52%,43%,46%,52%,54%,,,,,,,
Quarterly Results,Other Income,8,1,1,1,2,1,3,1,4,0,1,1,1,,,,,,,
Quarterly Results,Interest,42,43,45,44,45,48,47,53,53,52,51,50,47,,,,,,,
Quarterly Results,Depreciation,27,24,25,24,24,23,23,33,33,35,35,35,35,,,,,,,
Quarterly Results,Profit before tax,-39,21,25,59,73,36,35,56,89,29,45,100,122,,,,,,,
Quarterly Results,Tax %,-1%,34%,22%,18%,20%,24%,25%,21%,6%,31%,23%,20%,12%,,,,,,,
Quarterly Results,Net Profit,-39,14,19,49,59,28,26,44,84,20,35,80,108,,,,,,,
Quarterly Results,EPS in Rs,-0.31,0.17,0.21,0.50,0.56,0.30,0.29,0.45,0.85,0.25,0.37,0.79,1.07,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,402,,,,875,,,,1071,,,,1286,290,368,412,484,550,669,252
Profit & Loss,Expenses,283,,,,427,,,,548,,,,652,239,268,295,348,381,429,194
Profit & Loss,Operating Profit,119,,,,448,,,,523,,,,634,51,100,117,136,169,241,57
Profit & Loss,OPM %,30%,,,,51%,,,,49%,,,,49%,18%,27%,28%,28%,31%,36%,23%
Profit & Loss,Other Income,22,,,,10,,,,13,,,,2,13,5,12,13,15,11,22
Profit & Loss,Interest,181,,,,182,,,,208,,,,201,72,72,78,78,85,162,190
Profit & Loss,Depreciation,104,,,,97,,,,112,,,,139,52,52,51,53,54,92,108
Profit & Loss,Profit before tax,-145,,,,178,,,,216,,,,296,-60,-19,-0,18,45,-2,-219
Profit & Loss,Tax %,-5%,,,,21%,,,,16%,,,,18%,5%,35%,1452%,21%,-25%,499%,-15%
Profit & Loss,Net Profit,-137,,,,141,,,,182,,,,243,-63,-26,-5,15,56,-13,-187
Profit & Loss,EPS in Rs,-1.10,,,,1.45,,,,1.87,,,,2.48,-0.81,-0.35,-0.08,0.18,0.67,-0.12,-1.60
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,791,,,,792,,,,792,,,,792,776,778,781,786,789,790,790
Balance Sheet,Reserves,40,,,,62,,,,175,,,,372,34,30,27,28,86,199,127
Balance Sheet,Borrowings,2128,,,,2177,,,,2336,,,,2148,571,625,799,1011,1196,2017,2159
Balance Sheet,Other Liabilities,674,,,,698,,,,725,,,,771,515,572,604,632,701,756,738
Balance Sheet,Total Liabilities,3633,,,,3729,,,,4028,,,,4082,1896,2004,2212,2458,2772,3763,3815
Balance Sheet,Fixed Assets,3051,,,,2957,,,,3641,,,,3569,1236,1231,1418,1460,1604,3307,3194
Balance Sheet,CWIP,297,,,,482,,,,25,,,,45,167,259,351,559,664,190,242
Balance Sheet,Investments,10,,,,6,,,,13,,,,45,31,6,6,15,35,14,6
Balance Sheet,Other Assets,276,,,,284,,,,348,,,,422,462,508,436,425,469,252,374
Balance Sheet,Total Assets,3633,,,,3729,,,,4028,,,,4082,1896,2004,2212,2458,2772,3763,3815
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,135,,,,385,,,,465,,,,542,-51,68,122,115,187,151,41
