Section,,Mar 2017,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2016,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,177.53,154.79,144.49,152.10,189.30,15.21,47.45,88.88,75.83,36.02,39.28,63.27,91.09,,,,,,,,,,,,,,,
Quarterly Results,Expenses,175.13,151.44,141.47,148.50,181.94,13.10,44.36,87.71,74.51,34.23,37.69,61.86,91.47,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.40,3.35,3.02,3.60,7.36,2.11,3.09,1.17,1.32,1.79,1.59,1.41,-0.38,,,,,,,,,,,,,,,
Quarterly Results,OPM %,1.35%,2.16%,2.09%,2.37%,3.89%,13.87%,6.51%,1.32%,1.74%,4.97%,4.05%,2.23%,-0.42%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.46,0.77,0.20,0.04,0.09,0.04,0.13,0.07,0.24,-0.62,0.60,0.07,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.91,2.72,3.62,3.18,3.41,0.76,0.90,0.68,0.76,1.66,0.51,0.40,-0.23,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.17,0.61,0.28,0.36,3.47,0.99,0.99,0.38,0.07,0.11,0.09,0.09,0.13,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.33,0.48,-0.11,0.26,0.52,0.45,1.24,0.24,0.56,0.26,0.37,1.52,-0.21,,,,,,,,,,,,,,,
Quarterly Results,Tax %,39.39%,20.83%,0.00%,23.08%,55.77%,0.00%,16.94%,45.83%,37.50%,38.46%,113.51%,16.45%,19.05%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.21,0.38,-0.11,0.20,0.23,0.45,1.03,0.12,0.95,1.07,0.19,1.28,-0.25,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.10,3.00,-1.10,2.00,2.30,4.50,10.30,-5.30,9.50,10.70,1.90,12.80,-2.50,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,446,,,,641,,,,226,,,,229,524,706,901,,,,,,,,,,,,
Profit & Loss,Expenses,440,,,,623,,,,219,,,,225,518,694,880,,,,,,,,,,,,
Profit & Loss,Operating Profit,6,,,,17,,,,8,,,,4,6,12,21,,,,,,,,,,,,
Profit & Loss,OPM %,1%,,,,3%,,,,3%,,,,2%,1%,2%,2%,,,,,,,,,,,,
Profit & Loss,Other Income,1,,,,1,,,,0,,,,0,0,0,0,,,,,,,,,,,,
Profit & Loss,Interest,6,,,,13,,,,3,,,,2,5,10,18,,,,,,,,,,,,
Profit & Loss,Depreciation,1,,,,5,,,,2,,,,0,1,2,2,,,,,,,,,,,,
Profit & Loss,Profit before tax,1,,,,1,,,,2,,,,2,1,1,1,,,,,,,,,,,,
Profit & Loss,Tax %,32%,,,,40%,,,,22%,,,,41%,32%,35%,24%,,,,,,,,,,,,
Profit & Loss,Net Profit,1,,,,1,,,,2,,,,2,1,1,1,,,,,,,,,,,,
Profit & Loss,EPS in Rs,5.50,,,,6.90,,,,18.00,,,,22.90,6.20,5.80,7.10,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1,,,,1,,,,1,,,,1,1,1,1,,,,,,,,,,,,
Balance Sheet,Reserves,6,,,,8,,,,10,,,,12,5,6,7,,,,,,,,,,,,
Balance Sheet,Borrowings,51,,,,21,,,,32,,,,23,45,174,158,,,,,,,,,,,,
Balance Sheet,Other Liabilities,31,,,,4,,,,52,,,,35,18,13,30,,,,,,,,,,,,
Balance Sheet,Total Liabilities,88,,,,34,,,,95,,,,71,69,194,197,,,,,,,,,,,,
Balance Sheet,Fixed Assets,7,,,,6,,,,4,,,,4,7,9,13,,,,,,,,,,,,
Balance Sheet,CWIP,2,,,,0,,,,0,,,,0,0,4,0,,,,,,,,,,,,
Balance Sheet,Investments,0,,,,4,,,,6,,,,3,0,0,0,,,,,,,,,,,,
Balance Sheet,Other Assets,79,,,,24,,,,85,,,,64,63,180,183,,,,,,,,,,,,
Balance Sheet,Total Assets,88,,,,34,,,,95,,,,71,69,194,197,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,44,,,,3,,,,-1,-2,3,27,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-5,,,,1,,,,-4,,,,4,-1,-6,4,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,4,,,,-45,,,,9,,,,-12,0,4,-32,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0,,,,-1,,,,8,,,,-9,-2,2,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,47,,,,8,,,,22,,,,54,26,35,27,,,,,,,,,,,,
Ratios,Inventory Days,13,,,,4,,,,98,,,,43,15,44,40,,,,,,,,,,,,
Ratios,Days Payable,16,,,,1,,,,34,,,,54,10,2,7,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,44,,,,11,,,,86,,,,43,32,77,60,,,,,,,,,,,,
Ratios,Working Capital Days,37,,,,11,,,,86,,,,45,29,84,61,,,,,,,,,,,,
Ratios,ROCE %,12%,,,,13%,,,,15%,,,,12%,,9%,11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%,53.14%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%,46.86%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,484,484,484,484,484,483,480,474,468,467,467,467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.14%,,,,53.14%,,,,53.14%,,,,53.14%,,53.14%,53.14%,,,,53.14%,,,,53.14%,,,,53.14%
Shareholding Pattern (Yearly),Public,46.86%,,,,46.86%,,,,46.86%,,,,46.86%,,46.86%,46.86%,,,,46.86%,,,,46.86%,,,,46.86%
Shareholding Pattern (Yearly),No. of Shareholders,494,,,,484,,,,484,,,,484,,494,484,,,,484,,,,474,,,,467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
